Experiment,Treatment,Block,Plant,Leaf,Egg,Gallery/ Blotch Mine,Tent Mine,Leaf Tip Fold,Leaf   Edge Fold,Notes
w,e,5,4,4,h,fresh but stiff,,,,* all in one mine,
w,e,5,4,5,h,living,,,,** all in one mine (1/2) leaf,
w,e,5,4,5,h,dead,,,,** all in one mine (1/2) leaf,
w,e,5,4,5,h,dead,,,,** all in one mine (1/2) leaf,
w,e,5,4,5,h,living,,,,* in one mine,
w,e,5,4,5,h,dead,,,,* in one mine,
w,e,5,4,6,uh?,,,,,shiny like others but still round,
w,e,5,4,6,h,living,,,,,
w,e,5,4,6,h,living,,,,,
w,e,5,4,6,h,living,,,,,
w,e,5,4,6,h,living,,,,,
w,e,5,4,6,h,missing,,,,* checked underside of fragment,
w,e,5,4,6,h,missing,,,,* checked underside of fragment,
w,e,5,4,7,h,living,,,,**all one mine,
w,e,5,4,7,h,living,,,,**all one mine,
w,e,5,4,7,h,dead,,,,**all one mine
w,e,5,4,7,h,living,,,,**all one mine
w,e,5,4,7,h,missing,,,,**all one mine
w,e,5,4,7,h,living,,,,* all one mine
w,e,5,4,7,h,missing,,,,* all one mine
w,e,5,4,7,uh?,,,,,shiny like others but still round
w,u,6,1,5,0,0,0,empty with frass,,
w,u,5,10,1,h,living 323,,,,
w,u,5,10,1,h,assume,empty with frass,,,"2 head molts, opening along edge mine"
w,u,5,10,1,h,assume,dead,,,possible old parasitoid edd on its side
w,e,5,5,1,0,0,0,empty with frass,,several large holes on LTF
w,e,5,5,1,0,0,0,parasitized by # 329,,part of 4-leaf bundle
w,e,5,5,1,0,assume,living,,,"very little amount of silk, 1 head molt * part of 4-leaf bundle"
w,e,5,5,1,0,assume,living,,,very little silk * part of 4-leaf bundle
w,u,5,1,1,h,assume,empty with frass,,,large hole at edge of mine
w,u,5,1,2,m,assume,dead,,,1 head molt
w,u,5,1,2,m,assume,living,,,
w,e,6,1,1,m,assume,living? see note,,,exit hole. Living larva found in bagcrawled inside the mine after
w,e,6,1,1,m,0,0,empty with few bits of frass,,"several holes, some dissection < 1 mm."
w,u,5,8,1,h,assume,living,,,very small hole on gall surface <0.5 mm.
w,u,5,8,1,h,assume,empty with frass,,,"gall open on one side, very little silk"
w,u,5,8,1,h,assume,living,,,
w,u,5,8,1,h,,,,,living larva found in bag (of caloptilia) added LN 6 for food
w,u,5,8,1,h,assume,living,,,
w,u,5,8,1,h,assume,living,,,very little silk
w,u,5,8,1,h,missing,,,,"hole in gall surface - definitely a blotch mine that seems small, maybe got eaten"
w,u,5,8,1,h,missing,,,,no hole in gall
w,e,10,10,1,h,living,,,,
w,e,10,10,1,h,dead,,,,mine is tiny
w,e,10,10,1,h,empty,,,,very large hole/tear in gall
w,u,7,6,3,h,dead,,,,
w,u,7,6,3,h,living,,,,gallery mine only
w,u,7,6,3,h,living,,,,gallery mine only
w,u,7,6,3,h,living,,,,gallery mine only
w,u,7,6,3,h,dead,,,,gallery mine only
w,u,7,6,3,h,assume,dead,,,potential eggs seen. Possibly parasitized. Not much silk
w,u,7,6,3,h,living,,,,
w,u,7,6,3,h,0,0,empty,,added to LN unk for food
w,u,7,6,3,h,0,0,LTF? Empty with frass,,may have been morpho #11
w,u,5,5,1,h,dead,,,,
w,u,5,5,1,h,dead,,,,
w,u,3,6,1,0,0,0,empty with frass,,
w,u,3,6,1,0,assume,living,,,no hole sin mine (probably unrelated to LTF on same leaf) recent tent.
w,e,5,7,1,h,assume,living,,,
w,e,5,7,1,h,living,,,,
w,e,5,7,1,h,assume,living,,,
w,u,5,6,4,0,0,0,empty with frass,,
w,e,3,10,5,h,living,,,,
w,e,3,10,6,h,assume,empty,,,a bit of frass (not much at all) hole along mine edge
w,e,3,10,6,h,fresh but stiff,stiff,,,
w,e,3,10,6,h,missing,,,,"*h? eggs layed in middle of gall surface and appeared to have been hatched for this reason, but maybe not. This observation is common  for leaves with many eggs and large mines. From now on will be labeled as ""h?"""
w,e,3,10,10,h,missing,,,,*h?
w,e,3,10,6,h,dead,,,,
w,e,3,10,6,m,assume,empty with frass,,,Hole along edge of mine
w,e,3,10,7,h,living,,,,
w,e,3,10,7,h,fresh but stiff,,,,
w,e,3,10,7,uh,,,,,Matt took pic (could see head inside egg)
w,e,3,10,7,h,assume,living,,,
w,e,3,10,unk,,,,,,3 tent mine larva in bag. Given random leaf
w,e,3,8,1,h,living,,,,
w,u,2,4,2,m,living,,,,
w,u,2,8,1,h,living,,,,
w,u,2,8,1,h,assume,living,,,
w,u,2,5,2,m,living,,,,"2 holes on surface - 1 tiny, 1 medium"
w,u,2,5,2,h,living,,,,1 med sized hole in mine
w,e,7,1,1,h,living,,,,
w,e,7,1,1,h,dead,,,,
w,e,7,1,1,h,missing,,,,
w,e,7,1,1,h,living,,,,
w,e,7,1,2,m,missing,,,,
w,e,7,1,3,h,assume,living,,,
w,u,8,7,1,h,assume,dead,,,early tent mine (little silk / dmg)
w,u,8,7,1,h,dead,,,,
w,u,8,7,2,h,dead,,,,
w,u,8,7,2,uh,,,,,egg is depressed but no mine extends from it.
w,u,8,7,3,h,assume,parasitized,,,hole at edge of mine (exit?) 2 larva of #323 in mine
w,u,8,7,4,,,,,,leaf is moldy
w,u,8,7,6,h,assume,fresh but stiff,,,small tear at edge of mine
w,u,8,7,7,h,assume,empty with frass,,,hole along midrib on surface of mine
w,u,2,7,1,h,fresh but stiff,,,,"almost entire leaf is blackened, even where mine is"
w,u,2,7,2,,,,,,2 spider disk egg sacks
w,u,2,7,3,0,0,0,parasitized 329,,small hole on folded-under part of LTF. 1 cocoon of # 329.
w,e,3,4,1,h,freshly dead,,,,
w,e,3,4,1,h,dead,,,,
w,e,3,4,2,h,living,,,,
w,e,3,1,1,h,living,,,,
w,e,3,1,2,0,0,0,empty with frass,,
w,u,6,8,2,h,assume,empty with frass,,,large hole/gap at edge of mine (probably exit)
w,u,6,8,3,h,living,,,,hole on surface of gall
w,u,6,8,3,m,assume,empty with frass,,,hole along edge
w,u,6,8,4,h,assume,empty with frass,,,hole along edge
w,u,6,8,5,m,assume,empty with frass,,,hole along edge (very large)
w,u,6,8,5,h,dead,,,,
w,u,6,8,6,h,assume,living,,,"possibly empty parasitoid cocoon on mine surface (small, white, papery, but damaged)"
w,u,6,8,7,h,assume,living,,,larva appears to be carving out exit hole
w,u,6,8,8,h,dead,,,,
w,u,6,8,9,h,assume,living,,,
w,u,6,8,10,h,dead,,,,* same mine
w,u,6,8,10,h,dead,,,,* same mine
w,u,6,8,10,h,assume,empty with frass,,,very large hole along edge of mine
w,u,6,8,11,0,0,0,empty with little frass,,LTF seems very fresh to be empty (no damage but sealed off) 
w,u,6,8,unk,,,,,,"2 tent mine stage in larva bag, given garbage leaves for food"
w,e,5,1,1,0,0,0,0,emerged,320 also inside with parasitoid larva on its back
w,e,3,10,1,h,living,,,,
w,e,3,10,1,h,living,,,,* same mine
w,e,3,10,1,h,dead,,,,* same mine
w,e,3,10,1,h,assume,living,,,** same mine. Producing silk in early tent mine
w,e,3,10,1,h,assume,living,,,** same mine. Producing silk in early tent mine
w,e,3,10,1,h,missing,,,,** same mine. No sign of body in mine or top peel
w,e,3,10,1,h,missing,,,,** same mine. 
w,e,3,10,2,h,assume,living,,,
w,e,3,10,2,h,living,,,,
w,e,3,10,2,h,dead,,,,* same mine
w,e,3,10,2,h,dead,,,,* same mine
w,e,3,10,2,h?,missing,,,,* same mine. 
w,e,3,10,2,h?,missing,,,,* same mine
w,e,3,10,2,h?,missing,,,,* same mine
w,e,3,10,3,h,dead,,,,
w,e,3,10,3,h,living,,,,
w,e,3,10,4,h,assume,empty with frass,,,
w,e,3,10,4,h?,missing,,,,again appeared hatched because of shape and position in gall (but no evidence of larva)
w,e,3,10,4,h?,missing,,,,
w,e,3,10,4,h,dead,,,,
w,e,3,10,4,h,fresh but stiff,,,,
w,e,3,10,4,h,assume,living,,,
w,e,3,10,5,h,assume,living,,,early tent mine (very little silk)
w,e,3,10,5,h,assume,living,,,
w,e,3,10,5,h,assume,empty with frass,,,
w,e,7,9,1,h,dead?,,,,"possible body found, but very damaged"
w,e,7,9,2,m,dead,,,,
w,u,5,4,1,h,fresh but stiff,,,,
w,u,5,4,3,h,dead,,,,
w,u,5,4,4,m,assume,living,,,
w,u,5,4,5,h,dead,,,,
w,u,6,9,1,h,assume,dead,,,
w,u,6,9,2,h,freshly dead,,,,
w,u,6,9,3,m,assume,empty with frass,,,large opening (like a tear along seam of leaf mine) at edge.
w,u,3,1,1,h,dead,,,,leaf given to LN unk for food.
w,e,8,9,1,h,dead,,,,* in one mine
w,e,8,9,2,h,living,,,,* in one mine
w,e,8,9,4,h,assume,living,,,
w,e,8,9,6,h,assume,living,,,
w,e,8,9,7,h,fresh but stiff,,,,
w,e,8,9,7,h,assume,living,,,
w,e,8,9,8,h,dead,,,,
w,e,8,9,8,uh?,,,,,egg is slightly depressed and has orange tinge
w,e,8,9,9,m,living,,,,trichomes too dense to see an egg
w,u,5,7,1,0,0,0,empty,,
w,e,6,7,1,h,assume,living,,,
w,e,6,7,2,h,assume,living,,,
w,e,6,7,3,h,assume,living,,,
w,e,6,7,4,m,missing,,,,"blotch mine seemed very flattened and dry (difficult to peel) the entire half of the leaf where the mine was, was completely brown"
w,e,6,7,5,h,empty,,,,hole in mine before disection. Was facing inward to a sandwich
w,e,6,7,unk,,,,,,living larva (blotch) given LN 5
w,e,6,7,6,h,assume,living,,,
w,e,6,7,6,h,assume,living,,,
w,e,6,7,6,uh?,,,,,"egg slightly depressed, 2 orange tinged"
w,u,3,2,1,h,dead,,,,
w,u,3,2,2,h,dead,,,,
w,u,3,2,3,m,,empty with frass,,,surface of gall had large hole in it
w,u,3,2,4,h,dead,,,,
w,u,3,3,1,m,assume,missing,,,
w,u,3,3,4,0,0,0,empty,empty,"no exit hole on tent mine, but no larva found inside. Looked old and dry"
w,u,3,3,3,h,assume,living,,,"old LTF on same leaf, no pupa case."
w,u,3,3,7,h,dead,,,,
w,u,3,10,1,0,0,0,0,,"1 orange larva, 1 dead eulophid. 3 eulophid cocoons, 1 dead larva. Get info from Matt. Eulophig appeared to be # 21. hatched egg, assumed gallery minje, tent mine empty with frass. 1 small circular cocoon was open."
w,u,3,10,2,m,assume,parasitized,,,chalcid - shaped shell inside tent mine (which had an exit hole) 
w,u,6,3,8,h,assume,empty with frass,,,"2 exits (1 small on top, 1 large on edge) "
w,e,7,8,3,m,assume,living,,,"larva was in bag with leaf, but almost certainly from this leaf. M=missing, h=hatched."
w,u,7,1,1,m,dead,,,,bagged to see if parasitoids emerge
w,u,7,1,2,h,dead,,,,
w,u,7,1,3,h,assume,dead,,,
w,u,7,1,4,0,0,0,empty with frass,,
w,u,7,1,5,0,0,0,empty with frass,,exit hole on LTF
w,e,7,2,1,h,missing,,,,
w,e,7,2,2,?,,,,,possible unhatched eggs
w,e,7,2,2,h,dead,,,,
w,e,7,2,2,h,living,,,,
w,e,7,2,2,h,parasitoid,,,,
w,e,7,2,8,m,dead,,,,
w,u,10,7,1,0,0,0,empty with frass,,
w,u,10,7,2,m,assume,empty with frass,,,
w,u,10,7,2,0,0,0,0,intact,
w,u,10,7,3,0,0,0,empty with frass,,
w,u,10,7,4,0,0,0,empty with frass,,
w,e,2,8,1,h,assume,living,,,
w,e,2,8,1,m,fresh but stiff,,,,
w,e,2,8,2,h,assume,living,,,
w,e,2,8,3,0,0,0,empty,,very old
w,e,10,4,1,h,dead,,,,*
w,e,10,4,3,h,living,,,,"* 1 loose miner larva in bag, from one of these."
w,e,10,4,4,h,dead,,,,*
w,u,10,2,1,h,fresh but stiff,,,,body of larva white and less translucient than normal. Head white too with head molt attached to body. Also 1 empty parasitoid cocoon on leaf.
w,u,10,2,2,h,assume,living,,,"early in tent mine stage, head molt inside mine.old TM, much of surface is torn up."
w,u,10,2,3,m,assume,empty,,,
w,u,10,2,4,0,0,0,empty with frass,,
w,u,10,2,6,0,0,0,0,emerged,
w,u,10,2,7,0,0,0,0,live adult,
w,e,8,2,1,h,living,,,,
w,e,8,2,2,h,assume,living,,,early tent mine (silk in  bottom)
w,e,8,2,3,m,assume,empty with frass,,,opening at tip of mine.
w,u,10,9,1,h,assume,empty,,,2 mm hole (irregular shape)on top of mine. Head molt inside of tent mine. Little damage or frass.
w,u,10,9,4,uh?,,,,,
w,u,10,9,4,uh?,,,,,
w,u,6,1,1,h,assume,dead,,,larva looked a bit suspicious (dark head  and darkened nape)
w,u,6,1,2,h,missing,,,,mine extends up to LTF on same leaf.
w,u,6,1,2,0,0,0,frass and head molt,,
w,u,6,1,3,0,0,0,0,emerged,
w,u,6,1,4,h,assume,living,,,
w,e,8,8,1,m,assume,living,,,TM larva loose on LN 1(but appears that its mine may have been eaten by fatest 320)
w,e,8,8,unk3,,,living,,,part of bundle. Appears partly chewed.
w,e,8,8,2,m,assume,empty,,,"trichomes are dense so egg couldnÕt be seen, early TM. "
w,e,2,7,1,m,assume,living,,,opening along edge of mine
w,e,2,7,2,h,missing,,,,* made up sandwich bundle (given to #319)
w,e,2,7,4,0,0,0,empty with frass,,* 
w,e,2,7,5,,,,empty with frass,,
w,u,10,8,1,0,0,0,empty with frass,,
w,u,10,8,2,m,assume,empty with frass,,,"3 small holes in top of mine, and one opening along edge."
w,u,10,8,3,0,0,0,0,parasitized,"5 black europhid cocoons, 1 small white parasitoid arva? Matt took pic."
w,u,10,6,1,m,assume,parasitized 2x323,,,tear in surface of gall - looks like caused by drying. These larva are slightly smaller and more opaque than normal 323
w,u,10,6,2,m,assume,empty with frass,,,~1/2 of mine opened up
w,u,8,8,1,m,assume,empty with frass,,,
w,u,8,8,unk,,,living,,,loose in bag. Given LN 1 for food
w,u,8,8,2,0,0,0,0,dead larva,extremely decayed
w,u,8,8,3,h,assume,dead,,,
w,u,8,8,4,0,0,0,empty with frass,,small hole along seem (definitely round) 
w,u,8,8,5,0,0,0,sp. 329 cocoon,,hole on topside of fold
w,u,8,8,6,0,0,0,empty with frass,,
w,u,8,8,7,0,0,0,sp. 347,,
w,u,8,8,8,0,0,0,empty,,
w,u,9,7,1,0,0,0,sp 329 cocoon,,round hole on topside
w,u,9,7,2,0,0,0,empty with frass,,
w,u,9,7,3,m,assume,empty,,,large opening on surface prior to dissection 
w,u,9,7,4,0,0,0,empty with frass,,opening along seem
w,u,9,7,5,0,0,0,empty with frass,,round hole on topside of fold
w,u,9,7,6,0,0,0,0,emerged,
w,e,2,1,1,m,assume,living,,,"currently alive, but appears parasitized, early TM. Left out overnight and appears like it may have dried up over night (inside bag though)."
w,e,2,1,2,h,assume,empty with frass,,,2 holes on mine surface
w,e,2,1,2,m,assume,empty with frass,,,3 holes on mine surface
w,e,2,1,2,m,assume,empty with frass,,,2 holes on mine surface
w,e,2,1,unk1,,,living,,,* probably all from LN 2 - given for food
w,e,2,1,unk2,,,living,,,*
w,e,2,1,unk3,,,living,,,*
w,e,1,2,1,0,0,0,sp. 329 cocoon,,round hole in topside of fold
w,e,1,2,2,h,,different moth?,,,damage looks spotted throughout (diff from normal TM) Started on JULY 30.
w,e,1,2,3,0,0,0,empty with frass,,"LTF? Very small, might not be"
w,e,4,5,1,h,assume,living,,,
w,e,4,5,2,h,dead,,,,
w,e,4,5,2,h,missing,,,,small mine
w,e,7,5,3,h,living,,,,
w,e,7,5,4,h,living,,,,
w,e,7,5,4,h,living,,,,
w,e,7,5,4,h,living,,,,
w,e,7,5,5,h,fresh but stiff,,,,
w,e,7,4,1,h,living,,,,"the larva disappeared, may have accidentaly moved it off leaf"
w,e,7,4,1,h,living,,,,
w,e,7,4,1,h,living,,,,
w,e,7,4,2,h,living,,,,
w,e,7,4,3,h,living,,,,mine was looking wrinkly may be new TM
w,e,10,9,1,h,assume,parasitized,,,"fresh but stiff, unk. White parasitoid larva inside? Small for TM."
w,e,10,9,2,h,fresh but stiff,,,,
w,e,10,9,3,h,dead,,,,
w,e,10,9,3,m,fresh but stiff,,,,
w,e,10,9,4,h,assume,living larva,,,just started silking tent mine
w,e,10,9,5,h,assume,living,,,just started silking tent mine
w,u,9,3,1,m,,,open,,no larva/frass/silk
w,u,9,3,2,m,dead,,,,
w,u,9,3,3,h,parasitized,,,,"leaf edge was slightly bent over. Head leftover, parasitoid larva inside mine"
w,u,7,9,1,h,living,,,,
w,u,7,9,2,h,assume,empty,,,exit hole seen at mine base
w,u,7,9,3,0,0,0,empty with frass,,*1 loose larva (LTF larva)
w,u,7,9,4,0,0,0,empty with frass,,*found inside this bundle
w,u,7,9,5,h,missing,,,,*mine was ripped into
w,u,7,9,6,m,living,,,,larva stopped moving during disection (died)
w,u,10,5,1,m,assume,empty with frass,,,psyllid numphs collected. Exit seen on mine.
w,u,10,5,2,m,assume,empty with frass,,,
w,u,10,5,3,0,0,0,empty with frass,,
w,u,10,5,4,0,0,0,0,intact,not on leaf edge - along midrib
w,e,10,3,1,h,living,,,,
w,e,10,3,2,h,dead,,,,
w,e,10,3,3,h,living,,,,
w,e,10,3,4,h,unknown,,,,didnÕt become TM so presumed dead - may have found dead larva but not sure.
w,e,10,3,5,h,dead,,,,
w,e,10,3,5,h,living,,,,mine crossed the midrib at the tip of the leaf
w,e,10,3,6,h,dead,,,,
w,e,7,3,1,0,0,0,0,empty,hole at end (pupa may have fallen) possible head molt ( too poor condition to tell) 
w,e,7,3,2,0,0,0,empty with frass,,LMF formed outside LTF but appeared distinct
w,e,7,3,3,0,0,0,empty with frass,,
w,e,7,8,1,0,0,0,empty with frass,,
w,e,7,8,2,m,dead,,,,underside of leaf too hairy to see eggs
