"# all of the data from the original excel file was copied into here so I could easily make new columns for each category of relevant data. For ""white disc egg sacs"" I counted them as one, even if they had multiple eggs inside. Code of ""LT"" denotes only that this column of data comes from the ""leaf tie"" data set, which may include arthropods other than leaf tiers.  There are currently WAY too many categories than there should be. I also altered the category name for ""Treatments"" to match my ""Wind Exposure"" column for my visual survey of arthropods. Made leaf damage categories for LMF (leaf middle fold), LER (leaf edge roll) and LB (leaf bundle, various types included) in order to compare abundance/damage across years.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment,Treatment,Block,Plant,Leaf,Morpho Dam,Contents,Questionable Morpho,leaf_dam_LER,leaf_dam_LB,leaf_dam_LMF,LT_white_disk_egg_sac,LT_sp_328,LT_dead_unknown_larva,LT_dead_319,LT_dead_320,empty_LT,other_LT,empty_343_pupa_LT,empty_352,empty_with_frass_LT,live_320_LT,sp_327_LT,F_sp_203_LT,frass_some_silk_LT,fresh_but_stiff_336_LT,dead_fresh_320_321,LB_moth_pupa_LT,live_larva_unknown_morphospecies_LT,sp_126_LT,living_319_LT,living_320_LT,living_320_321_LT,living_321_LT,living_322,living_343_LT,living_350,living_391,living_sawfly_LT,other_tent_mine_pupa,parasitized?_LT,sp_327_LT,letter_T_moth_LT,unknown_larva_LT,white_parasitoid_LT,possible_327_cocoon_LT,possible_328,Notes
w,Exposed,10,4,1,?,possible 328,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,looks like larva chewed up leaf and then pupated.
w,Unexposed,5,6,3,MLG2,para?,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,appears to have parasitoid larva attached. Photo taken
w,Unexposed,5,4,2,LER/LEF,F sp. 203,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,have matt check damage and inside species. Parasitoid wasp match? Head molt s wasp body molt? Inside roll
w,Unexposed,5,4,6,LB sando,living 319,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2 leaves sandwiched together
w,Unexposed,6,9,4,entire LER,empty,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a few grains of frass
w,Unexposed,6,9,5,entire LER,empty,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
w,Unexposed,6,9,unk,?,living 322,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,added garbage leaves for food
w,Unexposed,3,1,unk,?,living 319,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,given LN 1 for food
w,Unexposed,3,1,2,LB 2,living 319,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2 leaves sandwiched together 
w,Unexposed,3,1,3,LB 2,empty,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2 leaves sandwiched together ( part of bundle as well)
w,Unexposed,3,1,4,LB sando,living 320,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3 leaf bundle
w,Exposed,8,9,3,LMF,living 319,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LMF-like but not along midrib and wierdly silked.
w,Exposed,8,9,5,LMF,living 319,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
w,Unexposed,5,7,2,long LER,living 320,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"attached to another leaf (bundle-like), but did not appear to be a true bundle"
w,Unexposed,3,2,5,entire LER,tent mine larva,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
w,Unexposed,3,9,1,12,living 319,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
w,Unexposed,3,3,unk,?,living 319,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,found in bag. Given part of bundle from LN 2 to eat.
w,Unexposed,3,3,2,LB,living 319,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
w,Unexposed,3,3,3,LB,LB moth pupa,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,multiple leaf sandwich
w,Unexposed,3,3,5,LER,empty,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
w,Unexposed,3,3,5,LB,living 320,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sandwich bundle. Larva's nape very faded
w,Unexposed,3,3,6,entire LER,empty,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"looked old, had some leaves silked to it, (bundle like)"
w,Unexposed,3,3,unk,?,living 320,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,given a random leaf for food.
w,Unexposed,10,3,1,LB,living 320,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"not a sandwich, basically a ton of silk with tiny pieces of silk stuck to it."
w,Unexposed,3,8,1,LB,living 320,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"sandwich, larva's nape is faded"
w,Exposed,5,1,1,?,living 320,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,parasitoid larva on its back. Found inside an LEF
w,Unexposed,2,4,1,LB,t moth?,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,sp. TBD. Moth pupa case inside bundle
w,Unexposed,2,4,3,LB,empty with parasitoid cocoon,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sp. 327's parasitoid cocoon.
w,Unexposed,2,8,2,LER,empty,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,leaf is very blackened
w,Unexposed,2,5,1,MLG2,living 343 larva,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Matt took picture, wait for species. Looks like pupating."
w,Exposed,7,1,3,BLTM,living 126,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Matt took picture, wait for sp."
w,Unexposed,8,7,5,MLG2,living 343 ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,half pupa half larva. Matt took pic.
w,Unexposed,3,4,3,LMF,empty,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
w,Unexposed,3,4,4,BLTM,living 343 ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,rolled up inside aleaf - not in a mine/silked structure
w,Exposed,3,1,2,LMF,living 319,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
w,Exposed,3,3,1,MLG2,living 343 ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
w,Exposed,3,3,1,MLG2,living 343 ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
w,Exposed,3,2,1,entire LER,empty,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
w,Exposed,3,2,2,12,empty,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,silked over but empty. Almost half of the leaf was skeletoned w/o silk.
w,Exposed,3,2,3,LER,empty,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,hole along seem of roll
w,Exposed,3,2,4,12,empty,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,silked over
w,Exposed,3,2,5,long LER,empty,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
w,Exposed,3,2,6,LER,living 320-321,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no black spotting on sides (nape only) 
w,Exposed,7,5,6,LMF,live larva,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
w,Exposed,7,4,4,LB,white parasitoid,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,small leaves within two large leaves sandwiched together. 3 cocoons
w,Unexposed,9,3,4,11,"frass, some silk",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,seems like it had been open for a while
w,Unexposed,9,3,5,entire LER,"frass, some silk",,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,opening at tip and base (larger at base)
w,Unexposed,9,3,6,long LER,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
w,Unexposed,9,3,7,long LER,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
w,Unexposed,9,3,8,entire LER,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
w,Unexposed,7,9,6,LER,living 319,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,frass inside roll
w,Exposed,7,3,2,LMF,living 319,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,formed inside LTF (empty)
w,Exposed,7,3,4,LER,living 319,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
w,Unexposed,7,1,5,LER,living 320,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,exit at base of LER  (large). Killed durring dissection.
w,Exposed,7,2,3,entire LER,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
w,Exposed,7,2,4,long LER,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
w,Exposed,7,2,5,entire LER,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
w,Exposed,7,2,6,long LER,living____,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,matt took picture. B/W  320 and 321
w,Exposed,7,2,7,long LER,living 321,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,roll went to midrib but not the whole way down.
w,Exposed,7,2,unk,unk,living 322,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,added leaves that would have been tossed
w,Unexposed,10,7,3,LMF,living 319,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,inside an LTF (old) 
w,Exposed,10,4,2,long LER,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,only extends halfway down leaf
w,Exposed,10,4,5,LB4,living 320,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,head molt cought in silk ouside of roll. Made with new leaves
w,Unexposed,10,2,5,LER,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"very old, tappers off near leaf tip like LER."
w,Exposed,8,2,3,LER,empty with frass,,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"living 320 found in bag, probably from here"
w,Unexposed,10,9,2,leaf chew,living sawfly,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
w,Unexposed,10,9,2,12,empty,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"mine, moslty opened, a bit of frass on the inside."
w,Unexposed,10,9,3,12,empty,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,same as above
w,Unexposed,10,9,5,12,fresh but stiff # 336,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matt took picture. Small hole on surface of mine. Wait for morpho # until pic taken.
w,Unexposed,6,1,5,LMF,living 319,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
w,Exposed,5,5,4,LB2,living 319,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*
w,Exposed,5,5,5,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,* part of same bundle as above leaf. 4 -leaf bundle
w,Unexposed,5,8,7,12,empty,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
w,Unexposed,5,8,9,12,empty,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
