2,Unexposed,L,4,0,0,30.5,26,1,1,0.5,2,1.4,1.5,0.5,0.5,0.1,2.5,1.5,6.5,6,3,1.9,0,0,0,0,0,0,
2,Unexposed,X,5,0,0,35,25,5.5,5.5,4.5,4.2,2,3.7,3.2,2.1,6.3,6,5.4,3.7,1.5,2,2.5,2,2,0,0,0,0,
2,Unexposed,S,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2,Unexposed,U,7,0,0,13,23.9,1,3.5,3.7,8,7.1,8,7.1,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,"the second 7.1 cm shoot was pulled off by accident but good quality (had 8 mature leafs, an active apical meristem, and 3 inactive buds below leafs)"
2,Unexposed,T,8,0,0,14,26,10,6,2.5,0.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,Unexposed,J,9,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2,Unexposed,G,10,0,0,8,24.9,5.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,Exposed,W,1,0,0,9,24,1.5,0.5,5.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,Exposed,F,2,0,0,7,20.7,2.1,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,Exposed,L,3,0,0,12.5,19.4,0.5,1,1,1,1.5,2.5,2,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,Exposed,I,4,0,0,6.9,27,1.5,0.5,0.1,2.1,0.5,5.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,Exposed,U,5,0,0,10,25.5,2.5,2.5,2,4.5,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,Exposed,X,6,0,0,11,25.5,1.5,1.7,1.7,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,Exposed,S,7,1,1,,,,,,,,,,,,,,,,,,,,,,,
3,Exposed,J,8,0,0,9.1,28.5,3.2,3.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Exposed,T,9,0,0,3,28.2,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Exposed,G,10,0,0,6.5,25.5,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Unexposed,W,1,0,0,31.5,28.2,1.5,1.5,1.5,1.5,1.5,2,2,2,0.5,2.5,1.5,0.5,0,0,0,0,0,0,0,0,0
3,Unexposed,F,2,0,0,20.5,24.1,2,1.5,1.7,2.5,0.7,2.7,3.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Unexposed,L,3,0,0,8.5,27,0.1,0.1,0.1,1.5,7.5,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Unexposed,I,4,0,0,20.5,23,1.5,1.5,1,0.5,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Unexposed,S,5,1,1,,,,,,,,,,,,,,,,,,,,,,,
3,Unexposed,U,6,0,0,29,24.7,0.5,3,2.5,3,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Unexposed,X,7,0,0,30,26,3.5,3.5,0.5,1.5,1.5,3,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Unexposed,J,8,1,1,,,,,,,,,,,,,,,,,,,,,,,
3,Unexposed,T,9,0,0,45.5,30.5,2.5,3,2,0.1,0.5,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Unexposed,G,10,0,0,4.5,23.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Exposed,W,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
4,Exposed,F,2,0,0,8,25.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Exposed,L,3,0,0,3,29,2.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Exposed,S,4,1,1,,,,,,,,,,,,,,,,,,,,,,,
4,Exposed,I,5,0,0,15,23,0.5,0.5,1,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Exposed,J,6,0,0,18,25,0.1,0.1,0.1,0.1,0.1,0.5,0.1,0.5,0.1,1,0,0,0,0,0,0,0,0,0,0,0
4,Exposed,X,7,0,0,9.5,29.5,2.5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Exposed,U,8,0,0,8,21,0.5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Exposed,T,9,0,0,12,25,4.5,3,0.1,1.5,0.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Exposed,G,10,1,1,,,,,,,,,,,,,,,,,,,,,,,
4,Unexposed,F,1,0,0,28,26,4,2.5,2,2.5,2,2,2,0.5,3,1,1.5,0.1,0.1,0,0,0,0,0,0,0,0
4,Unexposed,W,2,0,0,41,30.5,3,3,1.5,2.5,2.5,2,1.5,2,2,0.5,1,1,1,1,1,2,1,0,0,0,0
4,Unexposed,L,3,0,0,31.5,29,1.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.1,0.1,2,1.5,6,5.5,0,0,0,0,0
4,Unexposed,J,4,0,0,4,25.9,0.5,0.5,1.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Unexposed,I,5,0,0,29,26,0.5,1.5,1.5,1.5,0.5,1.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Unexposed,X,6,1,1,,,,,,,,,,,,,,,,,,,,,,,
4,Unexposed,U,7,1,1,,,,,,,,,,,,,,,,,,,,,,,
4,Unexposed,T,8,0,0,42.5,27.5,1.5,1.5,1,1,0.5,4.5,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Unexposed,S,9,0,0,6,21.5,1.5,0.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Unexposed,G,10,0,0,21.5,18,1.5,1,0.5,2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Exposed,W,1,0,0,13,28,3,3.5,3.5,0.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Exposed,F,2,0,0,10.5,22.5,4,1.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Exposed,L,3,0,0,5,23.5,5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Exposed,U,4,1,1,,,,,,,,,,,,,,,,,,,,,,,
5,Exposed,X,5,0,0,5,27.5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Exposed,J,6,0,0,12,22,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Exposed,S,7,1,0,1,22.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Exposed,T,8,0,0,12,30.5,7.5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Exposed,I,9,0,0,4,23,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Exposed,G,10,1,1,,,,,,,,,,,,,,,,,,,,,,,
5,Unexposed,W,1,0,0,37.5,28,2,2,2,1,2.5,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0
5,Unexposed,F,2,0,0,28,25,2,2,1,0.5,0.5,0.1,0.1,0.5,0.5,0.1,1.5,1,0.5,0.1,0,0,0,0,0,0,0
5,Unexposed,U,3,1,1,,,,,,,,,,,,,,,,,,,,,,,
5,Unexposed,J,4,0,0,33,27.5,1,1,0.5,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Unexposed,X,5,0,0,33,26.5,2,2,1.5,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Unexposed,L,6,0,0,24.5,26,1,0.5,0.5,0.5,1,1,0.5,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0
5,Unexposed,S,7,0,0,29,27,0.5,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Unexposed,T,8,0,0,22.5,29,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.1,0.5,4.5,0,0,0,0,0,0,0,0,0,0
5,Unexposed,I,9,0,0,19,26,0.5,0.5,0.1,0.1,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Unexposed,G,10,0,0,6.5,23.5,3.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Exposed,W,1,0,0,16,24.5,3,2,1.5,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Exposed,F,2,0,0,6,25.5,0.5,0.1,4.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Exposed,L,3,0,0,2,28,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Exposed,J,4,0,0,3,25,3,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Exposed,U,5,0,0,3.5,26.5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Exposed,X,6,1,1,,,,,,,,,,,,,,,,,,,,,,,
6,Exposed,T,7,0,0,7,27.5,0.7,0.1,0.1,0.1,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Exposed,S,8,1,1,,,,,,,,,,,,,,,,,,,,,,,
6,Exposed,I,9,1,1,,,,,,,,,,,,,,,,,,,,,,,
6,Exposed,G,10,1,1,,,,,,,,,,,,,,,,,,,,,,,
6,Unexposed,F,1,0,0,3.5,26,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Unexposed,W,2,0,0,31.5,26.5,2,1.5,0.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Unexposed,U,3,1,1,,,,,,,,,,,,,,,,,,,,,,,
6,Unexposed,J,4,0,0,9,28.5,0.1,2.5,2,2,0.1,0.1,0.1,2,2.5,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0
6,Unexposed,L,5,0,0,6,28,1,1.7,2.5,3,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Unexposed,T,6,0,0,7.5,30.5,0.1,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Unexposed,X,7,1,1,,,,,,,,,,,,,,,,,,,,,,,
6,Unexposed,S,8,0,0,8,20.5,1,1.5,0.5,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Unexposed,I,9,0,0,6,26,0.1,0.1,0.1,0.1,1,1,2.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Unexposed,G,10,0,0,3.5,29.5,3,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Exposed,W,1,0,0,8.5,26,2.5,1,5,5.5,2.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Exposed,F,2,0,0,8.5,22.5,2,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Exposed,U,3,0,0,11.5,27,3,2,6.5,6.5,12,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Exposed,L,4,0,0,11,28,3,3,3,0.5,3,1,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Exposed,J,5,0,0,16,25.5,1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Exposed,S,6,1,1,,,,,,,,,,,,,,,,,,,,,,,
7,Exposed,T,7,0,0,9,27.5,1,3.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,Exposed,X,8,0,0,12.5,28.5,0.1,0.1,3,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"one of the 0.5 may be a ""5"""
7,Exposed,I,9,0,0,6,26,1.5,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,Exposed,G,10,1,1,,,,,,,,,,,,,,,,,,,,,,,,
7,Unexposed,W,1,0,0,37.5,28.5,1.5,1.5,0.5,1.5,1.5,1.8,1.5,1.5,1.5,0.5,0,0,0,0,0,0,0,0,0,0,0,
7,Unexposed,F,2,0,0,30.5,28,2,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,Unexposed,J,3,0,0,42.5,29,1.5,2,1,0.1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,Unexposed,S,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,
7,Unexposed,L,5,0,0,36,27,3.5,3,2,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,Unexposed,U,6,0,0,21.5,25.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,Unexposed,T,7,0,0,36.5,28.5,1.5,0.5,0.8,0.5,1.5,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,Unexposed,X,8,1,1,,,,,,,,,,,,,,,,,,,,,,,,
7,Unexposed,I,9,0,0,13,23.5,1.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,
7,Unexposed,G,10,0,0,18,25,1.5,2,1,0.5,0.5,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,
8,Exposed,F,1,0,0,15,29,2.5,1.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,Exposed,W,2,0,0,25.5,28,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,Exposed,J,3,0,0,5.5,25.5,1.5,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Exposed,S,4,0,0,12.5,25,2,2.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Exposed,T,5,0,0,6.5,24,0.1,3,0.5,5.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Exposed,U,6,1,1,,,,,,,,,,,,,,,,,,,,,,,
8,Exposed,L,7,0,0,13.5,29,0.5,0.5,0.5,2.5,0.5,1,1,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Exposed,I,8,0,0,8,26.5,0.5,1,2.5,3,2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Exposed,X,9,1,1,,,,,,,,,,,,,,,,,,,,,,,
8,Exposed,G,10,0,0,10,25,0.5,0.1,1.5,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Unexposed,W,1,0,0,38.5,27,1.5,1,1.5,1,1,1.5,1,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0
8,Unexposed,J,2,0,0,20,27.5,1,0.5,1,1,0.5,0.1,1.5,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0
8,Unexposed,F,3,0,0,27,24,2.5,2.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Unexposed,L,4,0,0,31.5,24.5,0.5,1,1,1,0.5,0.1,0.5,1,1,0.5,0.1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.1,0.1,0.1
8,Unexposed,T,5,0,0,37,28,2.5,2.5,1.5,1.5,0.5,0.5,2,2,1,1,1,0.1,0,0,0,0,0,0,0,0,0
8,Unexposed,G,6,0,0,30.5,25.5,3.5,0.5,0.5,0.5,4,3.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Unexposed,U,7,0,0,28,29.5,1,0.1,4,0.5,0.5,2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Unexposed,S,8,1,0,3.5,24,3,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Unexposed,I,9,1,0,0.5,25,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Unexposed,X,10,1,0,0.5,26.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Exposed,W,1,0,0,11,27,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Exposed,J,2,1,0,0.5,24.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Exposed,F,3,0,0,6,24,3,0.5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Exposed,L,4,1,1,,,,,,,,,,,,,,,,,,,,,,,
9,Exposed,G,5,0,0,1.5,22,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Exposed,T,6,0,0,4,24.5,2.5,2,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Exposed,I,7,1,1,,,,,,,,,,,,,,,,,,,,,,,
9,Exposed,X,8,1,0,3,25.5,3.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Exposed,S,9,1,1,,,,,,,,,,,,,,,,,,,,,,,
9,Exposed,U,10,1,0,3.5,29,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Unexposed,J,1,0,0,28.5,22.5,0.5,0.5,1,1,0.5,2.5,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Unexposed,W,2,0,0,39.5,27,3,3,2,2,1,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Unexposed,F,3,0,0,28.5,26.5,2,2.5,0.5,0.1,0.1,3,1,1.5,0.1,0.1,1,0.1,0.1,0,0,0,0,0,0,0,0
9,Unexposed,L,4,0,0,35,27,1.5,1,1.5,1,1,0.5,0.1,0.1,0.1,1,1,0.5,0.1,0,0,0,0,0,0,0,0
9,Unexposed,G,5,0,0,17,24,4,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Unexposed,T,6,0,0,37.5,29,1,1,1,0.5,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Unexposed,S,7,0,0,34,23.5,2,2,0.5,1,1,0.5,0.5,0.1,0.1,2,1.5,0.5,0.5,1.5,0.1,0.1,0.1,0,0,0,0
9,Unexposed,X,8,0,0,33.5,27,3,2,3,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Unexposed,I,9,0,0,35.5,24.5,3.5,3.5,0.5,0.1,1,1,1.5,0.5,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0
9,Unexposed,U,10,0,0,32,24,3,1.5,2.5,1.5,1,0.5,0.5,2,2,0.1,0.1,0,0,0,0,0,0,0,0,0,0
10,Exposed,J,1,1,0,2,29.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Exposed,W,2,0,0,9,29,1.5,0.5,1,1.5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Exposed,F,3,0,0,5,26,3.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Exposed,G,4,0,0,2,23,1,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Exposed,T,5,0,0,8.5,28,0.5,0.5,0.5,1,2,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Exposed,I,6,0,0,3.5,22.5,0.5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Exposed,L,7,0,0,8,26,0.1,0.1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Exposed,S,8,1,1,,,,,,,,,,,,,,,,,,,,,,,
10,Exposed,U,9,0,0,3,26.5,0.5,0.1,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Exposed,X,10,0,0,32,27.5,2.5,2,1.5,1.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Unexposed,J,1,0,0,36,27.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0
10,Unexposed,W,2,0,0,36,23.5,1.5,1.5,0.5,0.5,0.1,0.1,1.5,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0
10,Unexposed,F,3,1,0,1.5,19.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Unexposed,G,4,1,0,2.5,26,2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Unexposed,T,5,0,0,38,32,0.5,0.5,0.1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Unexposed,I,6,0,0,34,27.5,0.5,0.5,0.5,0.5,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0
10,Unexposed,L,7,0,0,18.5,27.5,1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Unexposed,S,8,0,0,32,23,0.5,0.5,0.5,1,0.5,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Unexposed,U,9,0,0,23,28,2,2,2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Unexposed,X,10,0,0,36.5,25.5,2.5,1,1.5,0.1,1.5,0.5,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
