# soil moisture = soil volumetric water content (vwc) measured in m^3/m^3. Measurements taken at 3 predetermined points (random though) in each garden plot.,,,,,,,
experiment,date,survey.time,block,treatment,moisture.vwc,temp.C,electrical.conductivity
wind,07-Jul-13,1245_1320,1,U,0.069,26.6,0
wind,07-Jul-13,1245_1320,1,U,0.078,26.7,0.01
wind,07-Jul-13,1245_1320,1,E,0.055,27.6,0
wind,07-Jul-13,1245_1320,1,E,0.065,28,0
wind,07-Jul-13,1245_1320,1,E,0.088,28,0.02
wind,07-Jul-13,1245_1320,4,E,0.09,26.9,0.02
wind,07-Jul-13,1245_1320,4,E,0.113,27.3,0.03
wind,07-Jul-13,1245_1320,4,E,0.103,27.5,0.06
wind,07-Jul-13,1245_1320,4,U,0.065,28.5,0
wind,07-Jul-13,1245_1320,4,U,0.064,28.9,0
wind,07-Jul-13,1245_1320,4,U,0.044,29.1,0
ant_aphid,09-Jul-13,1355_1419,1,1,0.043,,
ant_aphid,09-Jul-13,1355_1419,1,1,0.043,,
ant_aphid,09-Jul-13,1355_1419,1,1,0.04,,
ant_aphid,09-Jul-13,1355_1419,1,1,0.039,,
ant_aphid,09-Jul-13,1355_1419,1,1,0.04,,
ant_aphid,09-Jul-13,1355_1419,1,6,0.05,,
ant_aphid,09-Jul-13,1355_1419,1,6,0.033
ant_aphid,09-Jul-13,1355_1419,1,6,0.039
ant_aphid,09-Jul-13,1355_1419,1,6,0.046
ant_aphid,09-Jul-13,1355_1419,1,6,0.043
ant_aphid,09-Jul-13,1355_1419,1,12,0.043
ant_aphid,09-Jul-13,1355_1419,1,12,0.043
ant_aphid,09-Jul-13,1355_1419,1,12,0.043
ant_aphid,09-Jul-13,1355_1419,1,12,0.045
ant_aphid,09-Jul-13,1355_1419,1,12,0.044
ant_aphid,09-Jul-13,1355_1419,2,1,0.02
ant_aphid,09-Jul-13,1355_1419,2,1,0.029
ant_aphid,09-Jul-13,1355_1419,2,1,0.029
ant_aphid,09-Jul-13,1355_1419,2,1,0.029
ant_aphid,09-Jul-13,1355_1419,2,1,0.035
ant_aphid,09-Jul-13,1355_1419,2,6,0.029
ant_aphid,09-Jul-13,1355_1419,2,6,0.034
ant_aphid,09-Jul-13,1355_1419,2,6,0.036
ant_aphid,09-Jul-13,1355_1419,2,6,0.038
ant_aphid,09-Jul-13,1355_1419,2,6,0.038
ant_aphid,09-Jul-13,1355_1419,2,12,0.04
ant_aphid,09-Jul-13,1355_1419,2,12,0.038
ant_aphid,09-Jul-13,1355_1419,2,12,0.038
ant_aphid,09-Jul-13,1355_1419,2,12,0.033
ant_aphid,09-Jul-13,1355_1419,2,12,0.041
ant_aphid,09-Jul-13,1355_1419,3,1,0.034
ant_aphid,09-Jul-13,1355_1419,3,1,0.033
ant_aphid,09-Jul-13,1355_1419,3,1,0.033
ant_aphid,09-Jul-13,1355_1419,3,1,0.037
ant_aphid,09-Jul-13,1355_1419,3,1,0.036
ant_aphid,09-Jul-13,1355_1419,3,6,0.04
ant_aphid,09-Jul-13,1355_1419,3,6,0.049
ant_aphid,09-Jul-13,1355_1419,3,6,0.035
ant_aphid,09-Jul-13,1355_1419,3,6,0.042
ant_aphid,09-Jul-13,1355_1419,3,6,0.03
ant_aphid,09-Jul-13,1355_1419,3,12,0.053
ant_aphid,09-Jul-13,1355_1419,3,12,0.046
ant_aphid,09-Jul-13,1355_1419,3,12,0.05
ant_aphid,09-Jul-13,1355_1419,3,12,0.046
ant_aphid,09-Jul-13,1355_1419,3,12,0.037
ant_aphid,09-Jul-13,1355_1419,4,1,0.039
ant_aphid,09-Jul-13,1355_1419,4,1,0.034
ant_aphid,09-Jul-13,1355_1419,4,1,0.036
ant_aphid,09-Jul-13,1355_1419,4,1,0.027
ant_aphid,09-Jul-13,1355_1419,4,1,0.027
ant_aphid,09-Jul-13,1355_1419,4,6,0.032
ant_aphid,09-Jul-13,1355_1419,4,6,0.038
ant_aphid,09-Jul-13,1355_1419,4,6,0.036
ant_aphid,09-Jul-13,1355_1419,4,6,0.032
ant_aphid,09-Jul-13,1355_1419,4,6,0.026
ant_aphid,09-Jul-13,1355_1419,4,12,0.03
ant_aphid,09-Jul-13,1355_1419,4,12,0.029
ant_aphid,09-Jul-13,1355_1419,4,12,0.047
ant_aphid,09-Jul-13,1355_1419,4,12,0.028
ant_aphid,09-Jul-13,1355_1419,4,12,0.029
ant_aphid,09-Jul-13,1355_1419,5,1,0.062
ant_aphid,09-Jul-13,1355_1419,5,1,0.054
ant_aphid,09-Jul-13,1355_1419,5,1,0.072
ant_aphid,09-Jul-13,1355_1419,5,1,0.046
ant_aphid,09-Jul-13,1355_1419,5,1,0.048
ant_aphid,09-Jul-13,1355_1419,5,6,0.032
ant_aphid,09-Jul-13,1355_1419,5,6,0.036
ant_aphid,09-Jul-13,1355_1419,5,6,0.038
ant_aphid,09-Jul-13,1355_1419,5,6,0.028
ant_aphid,09-Jul-13,1355_1419,5,6,0.031
ant_aphid,09-Jul-13,1355_1419,5,12,0.038,,
ant_aphid,09-Jul-13,1355_1419,5,12,0.029,,
ant_aphid,09-Jul-13,1355_1419,5,12,0.031,,
ant_aphid,09-Jul-13,1355_1419,5,12,0.057,,
ant_aphid,09-Jul-13,1355_1419,5,12,0.059,,
wind,09-Jul-13,1430_1500,7,E,0.041,,0
wind,09-Jul-13,1430_1500,7,E,0.04,,0
wind,09-Jul-13,1430_1500,7,E,0.033,,0
wind,09-Jul-13,1430_1500,7,U,0.042,,0
wind,09-Jul-13,1430_1500,7,U,0.055,,0.01
wind,09-Jul-13,1430_1500,7,U,0.101,,0.01
wind,09-Jul-13,1430_1500,8,E,0.049,,0
wind,09-Jul-13,1430_1500,8,E,0.073,,0
wind,09-Jul-13,1430_1500,8,E,0.04,,0
wind,09-Jul-13,1430_1500,8,U,0.106,,0.02
wind,09-Jul-13,1430_1500,8,U,0.05,,0
wind,09-Jul-13,1430_1500,8,U,0.132,,0.03
wind,09-Jul-13,1430_1500,9,U,0.178,,0.08
wind,09-Jul-13,1430_1500,9,U,0.166,,0.09
wind,09-Jul-13,1430_1500,9,U,0.189,,0.05
wind,09-Jul-13,1430_1500,9,E,0.047,,0
wind,09-Jul-13,1430_1500,9,E,0.039,,0
wind,09-Jul-13,1430_1500,9,E,0.043,,0
wind,09-Jul-13,1430_1500,10,U,0.145,,0.15
wind,09-Jul-13,1430_1500,10,U,0.067,,0.01
wind,09-Jul-13,1430_1500,10,U,0.045,,0
wind,09-Jul-13,1430_1500,10,E,0.03,,0
wind,09-Jul-13,1430_1500,10,E,0.051,,0.01
wind,09-Jul-13,1430_1500,10,E,0.042,,0
wind,09-Jul-13,1430_1500,6,E,0.044,,0
wind,09-Jul-13,1430_1500,6,E,0.044,,0
wind,09-Jul-13,1430_1500,6,E,0.035,,0
wind,09-Jul-13,1430_1500,6,U,0.035,,0
wind,09-Jul-13,1430_1500,6,U,0.051,,0
wind,09-Jul-13,1430_1500,6,U,0.095,,0
wind,09-Jul-13,1430_1500,5,E,0.089,,0.02
wind,09-Jul-13,1430_1500,5,E,0.051,,0
wind,09-Jul-13,1430_1500,5,E,0.062,,0.01
wind,09-Jul-13,1430_1500,5,U,0.073,,0.01
wind,09-Jul-13,1430_1500,5,U,0.139,,0.06
wind,09-Jul-13,1430_1500,5,U,0.117,,0.09
wind,09-Jul-13,1430_1500,3,U,0.055,,0
wind,09-Jul-13,1430_1500,3,U,0.043,,0
wind,09-Jul-13,1430_1500,3,U,0.043,,0
wind,09-Jul-13,1430_1500,3,E,0.084,,0.082
wind,09-Jul-13,1430_1500,3,E,0.083,,0.02
wind,09-Jul-13,1430_1500,3,E,0.051,,0
wind,09-Jul-13,1430_1500,2,U,0.052,,0
wind,09-Jul-13,1430_1500,2,U,0.057,,0
wind,09-Jul-13,1430_1500,2,U,0.054,,0
wind,09-Jul-13,1430_1500,2,E,0.042,,0
wind,09-Jul-13,1430_1500,2,E,0.069,,0
wind,09-Jul-13,1430_1500,2,E,0.115,,0.05
wind,09-Jul-13,1430_1500,1,E,0.093,,0.02
wind,09-Jul-13,1430_1500,1,E,0.089,,0.02
wind,09-Jul-13,1430_1500,1,E,0.112,,0.05
wind,09-Jul-13,1430_1500,1,U,0.062,,0.01
wind,09-Jul-13,1430_1500,1,U,0.044,,0
wind,09-Jul-13,1430_1500,1,U,0.057,,0.01
wind,09-Jul-13,1430_1500,4,E,0.087,,0.01
wind,09-Jul-13,1430_1500,4,E,0.055,,0
wind,09-Jul-13,1430_1500,4,E,0.052,,0
wind,09-Jul-13,1430_1500,4,U,0.049,,0
wind,09-Jul-13,1430_1500,4,U,0.051,,0
wind,09-Jul-13,1430_1500,4,U,0.055,,0
