,Date -->,,,,,,,,,,,,,,,,,,,,
6,Unexposed,U,3,1,,,,,,,,,,,,,,,,,
6,Unexposed,J,4,0,,,,,,,,,,,,,,,,,
6,Unexposed,L,5,0,,,,,,,,,,,,,,,,,
6,Unexposed,T,6,0,,,,,,,,,,,,,,,,,
6,Unexposed,X,7,1,,,,,,,,,,,,,,,,,
6,Unexposed,S,8,0,,,,,,,,,,,,,,,,,
6,Unexposed,I,9,0,,,,,,,,,,,,,,,,,
6,Unexposed,G,10,0,,,,,,,,,,,,,,,,,
7,Exposed,W,1,0,,,,,,,,,,,,,,,,,
7,Exposed,F,2,0,,,,,,,,,,,,,,,,,
7,Exposed,U,3,0,,,,,,,,,,,,,,,,,
7,Exposed,L,4,0,,,,,,,,,,,,,,,,,
7,Exposed,J,5,0,,,,,,,,,,,,,,,,,
7,Exposed,S,6,1,,,,,,,,,,,,,,,,,
7,Exposed,T,7,0,,,,,,,,,,,,,,,,,
7,Exposed,X,8,0,,,,,,,,,,,,,,,,,
7,Exposed,I,9,0,,,,,,,,,,,,,,,,,
7,Exposed,G,10,1,,,,,,,,,,,,,,,,,
7,Unexposed,W,1,0,,,,,,,,,,,,,,,,,
7,Unexposed,F,2,0,,,,,,,,,,,,,,,,,
7,Unexposed,J,3,0,,,,,,,,,,,,,,,,,
7,Unexposed,S,4,1,,,,,,,,,,,,,,,,,
7,Unexposed,L,5,0,,,,,,,,,,,,,,,,,
7,Unexposed,U,6,0,,,,,,,,,,,,,,,,,
7,Unexposed,T,7,0,,,,,,,,,,,,,,,,,
7,Unexposed,X,8,1,,,,,,,,,,,,,,,,,
7,Unexposed,I,9,0,,,,,,,,,,,,,,,,,
7,Unexposed,G,10,0,,,,,,,,,,,,,,,,,
8,Exposed,F,1,0,,,,,,,,,,,,,,,,,
8,Exposed,W,2,0,,,,,,,,,,,,,,,,,
8,Exposed,J,3,0,,,,,,,,,,,,,,,,,
8,Exposed,S,4,0,,,,,,,,,,,,,,,,,
8,Exposed,T,5,0,,,,,,,,,,,,,,,,,
8,Exposed,U,6,1,,,,,,,,,,,,,,,,,
8,Exposed,L,7,0,,,,,,,,,,,,,,,,,
8,Exposed,I,8,0,,,,,,,,,,,,,,,,,
8,Exposed,X,9,1,,,,,,,,,,,,,,,,,
8,Exposed,G,10,0,,,,,,,,,,,,,,,,,
8,Unexposed,W,1,0,,,,,,,,,,,,,,,,,
8,Unexposed,J,2,0,,,,,,,,,,,,,,,,,
8,Unexposed,F,3,0,,,,,,,,,,,,,,,,,
8,Unexposed,L,4,0,,,,,,,,,,,,,,,,,
8,Unexposed,T,5,0,,,,,,,,,,,,,,,,,
8,Unexposed,G,6,0,,,,,,,,,,,,,,,,,
8,Unexposed,U,7,0,,,,,,,,,,,,,,,,,
8,Unexposed,S,8,1,,,,,,,,,,,,,,,,,
8,Unexposed,I,9,1,,,,,,,,,,,,,,,,,
8,Unexposed,X,10,1,,,,,,,,,,,,,,,,,
9,Exposed,W,1,0,,,,,,,,,,,,,,,,,
9,Exposed,J,2,1,,,,,,,,,,,,,,,,,
9,Exposed,F,3,0,,,,,,,,,,,,,,,,,
9,Exposed,L,4,1,,,,,,,,,,,,,,,,,
9,Exposed,G,5,0,,,,,,,,,,,,,,,,,
9,Exposed,T,6,0,,,,,,,,,,,,,,,,,
9,Exposed,I,7,1,,,,,,,,,,,,,,,,,
9,Exposed,X,8,1,,,,,,,,,,,,,,,,,
9,Exposed,S,9,1,,,,,,,,,,,,,,,,,
9,Exposed,U,10,1,,,,,,,,,,,,,,,,,
9,Unexposed,J,1,0,,,,,,,,,,,,,,,,,
9,Unexposed,W,2,0,,,,,,,,,,,,,,,,,
9,Unexposed,F,3,0,,,,,,,,,,,,,,,,,
9,Unexposed,L,4,0,,,,,,,,,,,,,,,,,
9,Unexposed,G,5,0,,,,,,,,,,,,,,,,,
9,Unexposed,T,6,0,,,,,,,,,,,,,,,,,
9,Unexposed,S,7,0,,,,,,,,,,,,,,,,,
9,Unexposed,X,8,0,,,,,,,,,,,,,,,,,
9,Unexposed,I,9,0,,,,,,,,,,,,,,,,,
9,Unexposed,U,10,0,,,,,,,,,,,,,,,,,
10,Exposed,J,1,1,,,,,,,,,,,,,,,,,
10,Exposed,W,2,0,,,,,,,,,,,,,,,,,
10,Exposed,F,3,0,,,,,,,,,,,,,,,,,
10,Exposed,G,4,0,,,,,,,,,,,,,,,,,
10,Exposed,T,5,0,,,,,,,,,,,,,,,,,
10,Exposed,I,6,0,,,,,,,,,,,,,,,,,
10,Exposed,L,7,0,,,,,,,,,,,,,,,,,
10,Exposed,S,8,1,,,,,,,,,,,,,,,,,
10,Exposed,U,9,0,,,,,,,,,,,,,,,,,
10,Exposed,X,10,0,,,,,,,,,,,,,,,,,
10,Unexposed,J,1,0,,,,,,,,,,,,,,,,,
10,Unexposed,W,2,0,,,,,,,,,,,,,,,,,
10,Unexposed,F,3,1,,,,,,,,,,,,,,,,,
10,Unexposed,G,4,1,,,,,,,,,,,,,,,,,
10,Unexposed,T,5,0,,,,,,,,,,,,,,,,,
10,Unexposed,I,6,0,,,,,,,,,,,,,,,,,
10,Unexposed,L,7,0,,,,,,,,,,,,,,,,,
10,Unexposed,S,8,0,,,,,,,,,,,,,,,,,
10,Unexposed,U,9,0,,,,,,,,,,,,,,,,,
10,Unexposed,X,10,0,,,,,,,,,,,,,,,,,
