"","experiment","response","term","test","df","Df.res","statistic","p.value","Pr..Chisq."
"41","wind","leaf_C_N","(Intercept)","F",1,10.3443970125028,8359.18091511678,2.20598236399891e-16,NA
"42","wind","leaf_C_N","treatment","F",1,9.74683595572176,0.736001346570999,0.411543901090571,NA
"43","wind","leaf_C_N","genotype","F",9,71.6353890305209,4.98423871806072,3.30508933593642e-05,NA
"44","wind","leaf_C_N","treatment:genotype","F",9,71.6373168602129,1.30105134896217,0.251698053276476,NA
"45","ant-aphid","Height","(Intercept)","F",1,4.04765019908434,246.717394047462,8.85742157236504e-05,NA
"46","ant-aphid","Height","Aphid.Treatment","F",1,204.753192107331,0.193217943109395,0.660715316761905,NA
"47","ant-aphid","Height","scale(Ant.Mound.Dist)","F",1,9.15940040758074,0.377605090590203,0.553843724613231,NA
"48","ant-aphid","Height","Genotype","F",9,204.38787824346,15.3942921853981,4.73944096480752e-19,NA
"49","ant-aphid","Height","Aphid.Treatment:scale(Ant.Mound.Dist)","F",1,204.748380896003,0.164711447086114,0.685279137514081,NA
"50","ant-aphid","Height","Aphid.Treatment:Genotype","F",9,204.591357307159,0.933283585742232,0.497190492854813,NA
"51","ant-aphid","Height","scale(Ant.Mound.Dist):Genotype","F",9,204.450737264849,0.954343482111709,0.47917929088498,NA
"52","ant-aphid","Height","Aphid.Treatment:scale(Ant.Mound.Dist):Genotype","F",9,204.650857712132,1.6231221644336,0.110435916435998,NA
"53","ant-aphid","all.shoot.count","(Intercept)","Chisq",1,NA,212.113976856285,NA,4.74970576749278e-48
"54","ant-aphid","all.shoot.count","Aphid.Treatment","Chisq",1,NA,0.597499228458138,NA,0.439533777593241
"55","ant-aphid","all.shoot.count","scale(Ant.Mound.Dist)","Chisq",1,NA,0.377630869645503,NA,0.53887388989778
"56","ant-aphid","all.shoot.count","Genotype","Chisq",9,NA,60.3981037071074,NA,1.12351808368961e-09
"57","ant-aphid","all.shoot.count","Aphid.Treatment:scale(Ant.Mound.Dist)","Chisq",1,NA,2.76380533273372,NA,0.0964186440636487
"58","ant-aphid","all.shoot.count","Aphid.Treatment:Genotype","Chisq",9,NA,10.6726411956371,NA,0.298816655573024
"59","ant-aphid","all.shoot.count","scale(Ant.Mound.Dist):Genotype","Chisq",9,NA,8.28562473276946,NA,0.505638189326047
"60","ant-aphid","all.shoot.count","Aphid.Treatment:scale(Ant.Mound.Dist):Genotype","Chisq",9,NA,9.17364419162666,NA,0.421402291997943
"61","ant-aphid","mature.shoot.avg.length","(Intercept)","F",1,3.54925108973878,46.1475107246427,0.00373939609658086,NA
"62","ant-aphid","mature.shoot.avg.length","Aphid.Treatment","F",1,204.553223692707,1.66787907898931,0.198000279200447,NA
"63","ant-aphid","mature.shoot.avg.length","scale(Ant.Mound.Dist)","F",1,8.28079758919103,0.298365911532399,0.599313040627885,NA
"64","ant-aphid","mature.shoot.avg.length","Genotype","F",9,204.286750780022,6.55389922593143,3.35358804588973e-08,NA
"65","ant-aphid","mature.shoot.avg.length","scale(moisture.vwc.July9_13)","F",1,11.8717162509853,0.516658515522079,0.486178061422538,NA
"66","ant-aphid","mature.shoot.avg.length","Aphid.Treatment:scale(Ant.Mound.Dist)","F",1,204.486133433607,0.877712042960123,0.349934248112988,NA
"67","ant-aphid","mature.shoot.avg.length","Aphid.Treatment:Genotype","F",9,204.47929656429,1.06714599206841,0.388566241330293,NA
"68","ant-aphid","mature.shoot.avg.length","scale(Ant.Mound.Dist):Genotype","F",9,204.35159638239,0.682593025462649,0.724233605981668,NA
"69","ant-aphid","mature.shoot.avg.length","Aphid.Treatment:scale(Ant.Mound.Dist):Genotype","F",9,204.502213946853,0.55628753584548,0.831650599983102,NA
"70","ant-aphid","leaf_WC","(Intercept)","F",1,4.23120476268074,320.824667449971,3.76917789322537e-05,NA
"71","ant-aphid","leaf_WC","Aphid.Treatment","F",1,84.3502263924867,0.00632039716593944,0.936822505510667,NA
"72","ant-aphid","leaf_WC","scale(Ant.Mound.Dist)","F",1,9.82538900928078,0.168973061293987,0.689847946719827,NA
"73","ant-aphid","leaf_WC","Genotype","F",9,84.9384182272229,1.55721640652835,0.141490658912009,NA
"74","ant-aphid","leaf_WC","Aphid.Treatment:scale(Ant.Mound.Dist)","F",1,85.794386866006,0.438319309039813,0.509709219226882,NA
"75","ant-aphid","leaf_WC","scale(Ant.Mound.Dist):Genotype","F",9,84.267548877962,0.86980130066463,0.555335695200548,NA
"76","ant-aphid","leaf_trichome.density","(Intercept)","Chisq",1,NA,115.126235746197,NA,7.38439181044837e-27
"77","ant-aphid","leaf_trichome.density","Aphid.Treatment","Chisq",1,NA,0.222770222821885,NA,0.636937205996072
"78","ant-aphid","leaf_trichome.density","scale(Ant.Mound.Dist)","Chisq",1,NA,0.337666446816689,NA,0.561179300007766
"79","ant-aphid","leaf_trichome.density","Genotype","Chisq",9,NA,46.9893860987561,NA,3.94256372258173e-07
"80","ant-aphid","leaf_trichome.density","Aphid.Treatment:scale(Ant.Mound.Dist)","Chisq",1,NA,0.428778110542645,NA,0.512589120612124
"81","ant-aphid","leaf_trichome.density","scale(Ant.Mound.Dist):Genotype","Chisq",9,NA,8.7859665721418,NA,0.457261503869336
