,,sample,sample amount,N retent time,N weight,N % wt,C retent time,C wt,C % wt
_08_11_2013 3_12_35 PM_048,Colibrick - 1,5E6,5.949,2.093,0.072,1.21,3.427,2.993,50.31
_08_11_2013 3_18_36 PM_049,Colibrick - 1,7U6,5.426,2.087,0.032,0.58,3.447,2.481,45.72
_08_11_2013 3_24_37 PM_050,Colibrick - 1,8U4,5.745,2.1,0.05,0.87,3.467,2.735,47.61
_08_11_2013 3_30_38 PM_051,Colibrick - 1,8U10,4.973,2.08,0.065,1.31,3.46,2.21,44.44
_08_11_2013 3_36_38 PM_052,Colibrick - 1,9U6,5.99,2.1,0.092,1.54,3.453,2.816,47
_08_11_2013 3_42_39 PM_053,Colibrick - 1,1E6,5.529,2.093,0.075,1.35,3.447,2.768,50.06
_08_11_2013 3_48_40 PM_054,Colibrick - 1,4E1,5.328,2.1,0.047,0.87,3.447,2.462,46.21
_08_11_2013 3_54_40 PM_055,Colibrick - 1,blind std,4.259,2.073,0.204,4.78,3.307,2.983,70.05
_08_11_2013 4_00_41 PM_056,Colibrick - 1,7U3,5.912,2.093,0.038,0.64,3.447,2.809,47.51
_08_11_2013 4_06_42 PM_057,Colibrick - 1,2E1,5.56,2.073,0.061,1.09,3.433,2.714,48.82
_08_11_2013 4_12_43 PM_058,Colibrick - 1,10E2,5.242,2.093,0.056,1.07,3.46,2.568,48.98
_08_11_2013 4_18_44 PM_059,Colibrick - 1,7U7,5.145,2.087,0.05,0.97,3.467,2.454,47.69
_08_11_2013 4_24_45 PM_060,Colibrick - 1,2U4,5.701,2.093,0.051,0.89,3.467,2.79,48.95
_08_11_2013 4_30_46 PM_061,Colibrick - 1,8E5,5.531,2.087,0.055,1,3.44,2.597,46.95
_08_11_2013 4_36_47 PM_062,Colibrick - 1,4U3,5.43,2.087,0.053,0.97,3.46,2.654,48.88
_08_11_2013 4_42_48 PM_063,Colibrick - 1,2U2,5.598,2.093,0.083,1.49,3.473,2.888,51.58
_08_11_2013 4_48_49 PM_064,Colibrick - 1,7U5,5.373,2.087,0.035,0.65,3.447,2.549,47.45
_08_11_2013 4_54_50 PM_065,Colibrick - 1,10E10,5.259,2.087,0.076,1.44,3.46,2.54,48.3
_08_11_2013 5_00_51 PM_066,Colibrick - 1,4E9,5.895,2.093,0.101,1.71,3.433,2.886,48.95
_08_11_2013 5_06_52 PM_067,Colibrick - 1,blind std,4.293,2.067,0.165,3.84,3.353,2.433,56.68
_08_11_2013 5_12_53 PM_068,Colibrick - 1,5U4,5.865,2.087,0.047,0.8,3.42,2.771,47.24
_08_11_2013 5_18_54 PM_069,Colibrick - 1,9U4,5.348,2.087,0.05,0.93,3.467,2.577,48.18
_08_11_2013 5_24_55 PM_070,Colibrick - 1,9U1,5.887,2.093,0.077,1.3,3.44,2.747,46.67
_08_11_2013 5_30_57 PM_071,Colibrick - 1,9E10,5.421,2.053,0.05,0.92,3.373,2.532,46.71
_08_11_2013 5_36_57 PM_072,Colibrick - 1,5U8,5.556,2.087,0.031,0.55,3.453,2.672,48.09
_08_11_2013 5_42_58 PM_073,Colibrick - 1,10U1,5.175,2.087,0.054,1.05,3.473,2.378,45.96
_08_11_2013 5_48_59 PM_074,Colibrick - 1,6U9,5.547,2.093,0.07,1.27,3.44,2.789,50.28
_08_11_2013 5_55_00 PM_075,Colibrick - 1,5U10,5.618,2.093,0.054,0.96,3.453,2.808,49.97
_08_11_2013 6_01_01 PM_076,Colibrick - 1,8E10,5.874,2.087,0.042,0.72,3.44,2.802,47.7
_08_11_2013 6_07_02 PM_077,Colibrick - 1,4U9,4.722,2.08,0.03,0.63,3.473,2.174,46.03
_08_11_2013 6_13_03 PM_078,Colibrick - 1,8E7,5.198,2.087,0.046,0.89,3.467,2.451,47.15
_08_11_2013 6_19_04 PM_079,Colibrick - 1,blind std,4.853,2.047,0.233,4.81,3.247,3.395,69.96
