,,,Date -->,,,,,,,,,,,,,,,,,,,
1,12,L,aphid,53,0,,,,,,,,,,,,,,,,,
1,12,F,aphid,54,0,,,,,,,,,,,,,,,,,
1,12,F,none,55,1,,,,,,,,,,,,,,,,,
1,12,U,aphid,56,1,,,,,,,,,,,,,,,,,
1,12,I,aphid,57,1,,,,,,,,,,,,,,,,,
1,12,I,none,58,1,,,,,,,,,,,,,,,,,
1,12,U,none,59,1,,,,,,,,,,,,,,,,,
1,12,L,none,60,1,,,,,,,,,,,,,,,,,
2,1,W,aphid,1,1,,,,,,,,,,,,,,,,,
2,1,X,aphid,2,1,,,,,,,,,,,,,,,,,
2,1,G,aphid,3,1,,,,,,,,,,,,,,,,,
2,1,G,none,4,1,,,,,,,,,,,,,,,,,
2,1,X,none,5,1,,,,,,,,,,,,,,,,,
2,1,W,none,6,1,,,,,,,,,,,,,,,,,
2,1,T,aphid,7,1,,,,,,,,,,,,,,,,,
2,1,T,none,8,0,,,,,,,,,,,,,,,,,
2,1,S,aphid,9,1,,,,,,,,,,,,,,,,,
2,1,F,aphid,10,0,,,,,,,,,,,,,,,,,
2,1,J,aphid,11,0,,,,,,,,,,,,,,,,,
2,1,S,none,12,1,,,,,,,,,,,,,,,,,
2,1,I,aphid,13,1,,,,,,,,,,,,,,,,,
2,1,F,none,14,0,,,,,,,,,,,,,,,,,
2,1,I,none,15,0,,,,,,,,,,,,,,,,,
2,1,U,aphid,16,1,,,,,,,,,,,,,,,,,
2,1,J,none,17,0,,,,,,,,,,,,,,,,,
2,1,U,none,18,0,,,,,,,,,,,,,,,,,
2,1,L,aphid,19,1,,,,,,,,,,,,,,,,,
2,1,L,none,20,0,,,,,,,,,,,,,,,,,
2,6,X,aphid,21,1,,,,,,,,,,,,,,,,,
2,6,G,aphid,22,0,,,,,,,,,,,,,,,,,
2,6,X,none,23,1,,,,,,,,,,,,,,,,,
2,6,G,none,24,0,,,,,,,,,,,,,,,,,
2,6,W,aphid,25,0,,,,,,,,,,,,,,,,,
2,6,T,aphid,26,0,,,,,,,,,,,,,,,,,
2,6,T,none,27,1,,,,,,,,,,,,,,,,,
2,6,W,none,28,1,,,,,,,,,,,,,,,,,
2,6,S,aphid,29,0,,,,,,,,,,,,,,,,,
2,6,S,none,30,1,,,,,,,,,,,,,,,,,
2,6,I,aphid,31,0,,,,,,,,,,,,,,,,,
2,6,I,none,32,0,,,,,,,,,,,,,,,,,
2,6,F,aphid,33,1,,,,,,,,,,,,,,,,,
2,6,U,aphid,34,1,,,,,,,,,,,,,,,,,
2,6,J,aphid,35,0,,,,,,,,,,,,,,,,,
2,6,J,none,36,0,,,,,,,,,,,,,,,,,
2,6,F,none,37,0,,,,,,,,,,,,,,,,,
2,6,U,none,38,1,,,,,,,,,,,,,,,,,
2,6,L,aphid,39,0,,,,,,,,,,,,,,,,,
2,6,L,none,40,0,,,,,,,,,,,,,,,,,
2,12,X,aphid,41,0,,,,,,,,,,,,,,,,,
2,12,X,none,42,0,,,,,,,,,,,,,,,,,
2,12,G,aphid,43,0,,,,,,,,,,,,,,,,,
2,12,T,aphid,44,0,,,,,,,,,,,,,,,,,
2,12,T,none,45,1,,,,,,,,,,,,,,,,,
2,12,G,none,46,0,,,,,,,,,,,,,,,,,
2,12,S,aphid,47,1,,,,,,,,,,,,,,,,,
2,12,S,none,48,1,,,,,,,,,,,,,,,,,
2,12,I,aphid,49,0,,,,,,,,,,,,,,,,,
2,12,I,none,50,1,,,,,,,,,,,,,,,,,
2,12,W,aphid,51,1,,,,,,,,,,,,,,,,,
2,12,W,none,52,1,,,,,,,,,,,,,,,,,
2,12,J,aphid,53,1,,,,,,,,,,,,,,,,,
2,12,J,none,54,1,,,,,,,,,,,,,,,,,
2,12,F,aphid,55,1,,,,,,,,,,,,,,,,,
2,12,L,aphid,56,1,,,,,,,,,,,,,,,,,
2,12,F,none,57,1,,,,,,,,,,,,,,,,,
2,12,U,aphid,58,1,,,,,,,,,,,,,,,,,
2,12,U,none,59,1,,,,,,,,,,,,,,,,,
2,12,L,none,60,0,,,,,,,,,,,,,,,,,
3,1,X,aphid,1,1,,,,,,,,,,,,,,,,,
3,1,X,none,2,1,,,,,,,,,,,,,,,,,
3,1,T,aphid,3,1,,,,,,,,,,,,,,,,,
3,1,T,none,4,1,,,,,,,,,,,,,,,,,
3,1,G,aphid,5,1,,,,,,,,,,,,,,,,,
3,1,G,none,6,1,,,,,,,,,,,,,,,,,
3,1,S,aphid,7,1,,,,,,,,,,,,,,,,,
3,1,S,none,8,1,,,,,,,,,,,,,,,,,
3,1,I,aphid,9,1,,,,,,,,,,,,,,,,,
3,1,J,aphid,10,1,,,,,,,,,,,,,,,,,
3,1,I,none,11,1,,,,,,,,,,,,,,,,,
3,1,W,aphid,12,0,,,,,,,,,,,,,,,,,
3,1,F,aphid,13,0,,,,,,,,,,,,,,,,,
3,1,W,none,14,0,,,,,,,,,,,,,,,,,
3,1,U,aphid,15,1,,,,,,,,,,,,,,,,,
3,1,F,none,16,1,,,,,,,,,,,,,,,,,
3,1,U,none,17,1,,,,,,,,,,,,,,,,,
3,1,J,none,18,1,,,,,,,,,,,,,,,,,
3,1,L,aphid,19,1,,,,,,,,,,,,,,,,,
3,1,L,none,20,0,,,,,,,,,,,,,,,,,
3,6,X,aphid,21,1,,,,,,,,,,,,,,,,,
3,6,X,none,22,1,,,,,,,,,,,,,,,,,
3,6,T,aphid,23,0,,,,,,,,,,,,,,,,,
3,6,T,none,24,1,,,,,,,,,,,,,,,,,
3,6,G,aphid,25,0,,,,,,,,,,,,,,,,,
3,6,G,none,26,1,,,,,,,,,,,,,,,,,
3,6,S,aphid,27,1,,,,,,,,,,,,,,,,,
3,6,S,none,28,1,,,,,,,,,,,,,,,,,
3,6,I,aphid,29,0,,,,,,,,,,,,,,,,,
3,6,I,none,30,1,,,,,,,,,,,,,,,,,
3,6,W,aphid,31,0,,,,,,,,,,,,,,,,,
3,6,U,aphid,32,0,,,,,,,,,,,,,,,,,
3,6,J,aphid,33,1,,,,,,,,,,,,,,,,,
3,6,F,aphid,34,0,,,,,,,,,,,,,,,,,
3,6,F,none,35,0,,,,,,,,,,,,,,,,,
3,6,U,none,36,0,,,,,,,,,,,,,,,,,
3,6,L,aphid,37,0,,,,,,,,,,,,,,,,,
3,6,W,none,38,0,,,,,,,,,,,,,,,,,
3,6,L,none,39,0,,,,,,,,,,,,,,,,,
3,6,J,none,40,0,,,,,,,,,,,,,,,,,
3,12,T,aphid,41,1,,,,,,,,,,,,,,,,,
3,12,X,aphid,42,1,,,,,,,,,,,,,,,,,
3,12,S,aphid,43,1,,,,,,,,,,,,,,,,,
3,12,G,aphid,44,0,,,,,,,,,,,,,,,,,
3,12,I,aphid,45,1,,,,,,,,,,,,,,,,,
3,12,T,none,46,0,,,,,,,,,,,,,,,,,
3,12,G,none,47,1,,,,,,,,,,,,,,,,,
3,12,I,none,48,1,,,,,,,,,,,,,,,,,
3,12,X,none,49,1,,,,,,,,,,,,,,,,,
3,12,F,aphid,50,0,,,,,,,,,,,,,,,,,
3,12,U,aphid,51,1,,,,,,,,,,,,,,,,,
3,12,F,none,52,0,,,,,,,,,,,,,,,,,
3,12,S,none,53,1,,,,,,,,,,,,,,,,,
3,12,W,aphid,54,0,,,,,,,,,,,,,,,,,
3,12,W,none,55,1,,,,,,,,,,,,,,,,,
3,12,J,aphid,56,1,,,,,,,,,,,,,,,,,
3,12,U,none,57,1,,,,,,,,,,,,,,,,,
3,12,J,none,58,1,,,,,,,,,,,,,,,,,
3,12,L,aphid,59,1,,,,,,,,,,,,,,,,,
3,12,L,none,60,1,,,,,,,,,,,,,,,,,
4,1,G,aphid,1,1,,,,,,,,,,,,,,,,,
4,1,X,aphid,2,1,,,,,,,,,,,,,,,,,
4,1,X,none,3,0,,,,,,,,,,,,,,,,,
4,1,I,aphid,4,1,,,,,,,,,,,,,,,,,
4,1,I,none,5,0,,,,,,,,,,,,,,,,,
4,1,G,none,6,1,,,,,,,,,,,,,,,,,
4,1,T,aphid,7,1,,,,,,,,,,,,,,,,,
4,1,T,none,8,1,,,,,,,,,,,,,,,,,
4,1,F,aphid,9,1,,,,,,,,,,,,,,,,,
4,1,F,none,10,1,,,,,,,,,,,,,,,,,
4,1,W,aphid,11,0,,,,,,,,,,,,,,,,,
4,1,U,aphid,12,1,,,,,,,,,,,,,,,,,
4,1,S,aphid,13,1,,,,,,,,,,,,,,,,,
4,1,J,aphid,14,1,,,,,,,,,,,,,,,,,
4,1,U,none,15,1,,,,,,,,,,,,,,,,,
4,1,J,none,16,0,,,,,,,,,,,,,,,,,
4,1,W,none,17,0,,,,,,,,,,,,,,,,,
4,1,L,aphid,18,1,,,,,,,,,,,,,,,,,
4,1,L,none,19,1,,,,,,,,,,,,,,,,,
4,1,S,none,20,1,,,,,,,,,,,,,,,,,
4,6,I,aphid,21,0,,,,,,,,,,,,,,,,,
4,6,I,none,22,1,,,,,,,,,,,,,,,,,
4,6,X,aphid,23,1,,,,,,,,,,,,,,,,,
4,6,X,none,24,1,,,,,,,,,,,,,,,,,
4,6,F,aphid,25,1,,,,,,,,,,,,,,,,,
4,6,F,none,26,1,,,,,,,,,,,,,,,,,
4,6,U,aphid,27,1,,,,,,,,,,,,,,,,,
4,6,G,aphid,28,1,,,,,,,,,,,,,,,,,
4,6,W,aphid,29,0,,,,,,,,,,,,,,,,,
4,6,W,none,30,1,,,,,,,,,,,,,,,,,
4,6,U,none,31,1,,,,,,,,,,,,,,,,,
4,6,T,aphid,32,1,,,,,,,,,,,,,,,,,
4,6,L,aphid,33,1,,,,,,,,,,,,,,,,,
4,6,G,none,34,1,,,,,,,,,,,,,,,,,
4,6,T,none,35,1,,,,,,,,,,,,,,,,,
4,6,L,none,36,1,,,,,,,,,,,,,,,,,
4,6,J,aphid,37,0,,,,,,,,,,,,,,,,,
4,6,J,none,38,0,,,,,,,,,,,,,,,,,
4,6,S,aphid,39,0,,,,,,,,,,,,,,,,,
4,6,S,none,40,1,,,,,,,,,,,,,,,,,
4,12,I,aphid,41,0,,,,,,,,,,,,,,,,,
4,12,X,aphid,42,0,,,,,,,,,,,,,,,,,
4,12,X,none,43,1,,,,,,,,,,,,,,,,,
4,12,I,none,44,1,,,,,,,,,,,,,,,,,
4,12,F,aphid,45,0,,,,,,,,,,,,,,,,,
4,12,W,aphid,46,0,,,,,,,,,,,,,,,,,
4,12,F,none,47,1,,,,,,,,,,,,,,,,,
4,12,W,none,48,1,,,,,,,,,,,,,,,,,
4,12,U,aphid,49,1,,,,,,,,,,,,,,,,,
4,12,U,none,50,1,,,,,,,,,,,,,,,,,
4,12,G,aphid,51,1,,,,,,,,,,,,,,,,,
4,12,G,none,52,1,,,,,,,,,,,,,,,,,
4,12,L,aphid,53,1,,,,,,,,,,,,,,,,,
4,12,T,aphid,54,0,,,,,,,,,,,,,,,,,
4,12,T,none,55,0,,,,,,,,,,,,,,,,,
4,12,L,none,56,1,,,,,,,,,,,,,,,,,
4,12,J,aphid,57,0,,,,,,,,,,,,,,,,,
4,12,S,aphid,58,0,,,,,,,,,,,,,,,,,
4,12,J,none,59,0,,,,,,,,,,,,,,,,,
4,12,S,none,60,1,,,,,,,,,,,,,,,,,
5,1,X,aphid,1,1,,,,,,,,,,,,,,,,,
5,1,I,aphid,2,1,,,,,,,,,,,,,,,,,
5,1,I,none,3,0,,,,,,,,,,,,,,,,,
5,1,F,aphid,4,0,,,,,,,,,,,,,,,,,
5,1,F,none,5,0,,,,,,,,,,,,,,,,,
5,1,W,aphid,6,0,,,,,,,,,,,,,,,,,
5,1,W,none,7,0,,,,,,,,,,,,,,,,,
5,1,G,aphid,8,0,,,,,,,,,,,,,,,,,
5,1,U,aphid,9,1,,,,,,,,,,,,,,,,,
5,1,X,none,10,1,,,,,,,,,,,,,,,,,
5,1,T,aphid,11,0,,,,,,,,,,,,,,,,,
5,1,J,aphid,12,1,,,,,,,,,,,,,,,,,
5,1,J,none,13,0,,,,,,,,,,,,,,,,,
5,1,U,none,14,1,,,,,,,,,,,,,,,,,
5,1,S,aphid,15,0,,,,,,,,,,,,,,,,,
5,1,L,aphid,16,1,,,,,,,,,,,,,,,,,
5,1,G,none,17,0,,,,,,,,,,,,,,,,,
5,1,L,none,18,0,,,,,,,,,,,,,,,,,
5,1,T,none,19,1,,,,,,,,,,,,,,,,,
5,1,S,none,20,1,,,,,,,,,,,,,,,,,
5,6,F,aphid,21,0,,,,,,,,,,,,,,,,,
5,6,W,aphid,22,0,,,,,,,,,,,,,,,,,
5,6,W,none,23,0,,,,,,,,,,,,,,,,,
5,6,F,none,24,0,,,,,,,,,,,,,,,,,
5,6,X,aphid,25,1,,,,,,,,,,,,,,,,,
5,6,J,aphid,26,0,,,,,,,,,,,,,,,,,
5,6,J,none,27,0,,,,,,,,,,,,,,,,,
5,6,X,none,28,1,,,,,,,,,,,,,,,,,
5,6,L,aphid,29,1,,,,,,,,,,,,,,,,,
5,6,G,aphid,30,1,,,,,,,,,,,,,,,,,
5,6,I,aphid,31,1,,,,,,,,,,,,,,,,,
5,6,S,aphid,32,1,,,,,,,,,,,,,,,,,
5,6,S,none,33,1,,,,,,,,,,,,,,,,,
5,6,T,aphid,34,0,,,,,,,,,,,,,,,,,
5,6,G,none,35,0,,,,,,,,,,,,,,,,,
5,6,U,aphid,36,0,,,,,,,,,,,,,,,,,
5,6,T,none,37,0,,,,,,,,,,,,,,,,,
5,6,U,none,38,0,,,,,,,,,,,,,,,,,
5,6,I,none,39,0,,,,,,,,,,,,,,,,,
5,6,L,none,40,0,,,,,,,,,,,,,,,,,
5,12,W,aphid,41,0,,,,,,,,,,,,,,,,,
5,12,X,aphid,42,1,,,,,,,,,,,,,,,,,
5,12,W,none,43,0,,,,,,,,,,,,,,,,,
5,12,X,none,44,1,,,,,,,,,,,,,,,,,
5,12,G,aphid,45,1,,,,,,,,,,,,,,,,,
5,12,T,aphid,46,0,,,,,,,,,,,,,,,,,
5,12,F,aphid,47,0,,,,,,,,,,,,,,,,,
5,12,J,aphid,48,0,,,,,,,,,,,,,,,,,
5,12,J,none,49,0,,,,,,,,,,,,,,,,,
5,12,I,aphid,50,0,,,,,,,,,,,,,,,,,
5,12,I,none,51,0,,,,,,,,,,,,,,,,,
5,12,T,none,52,1,,,,,,,,,,,,,,,,,
5,12,S,aphid,53,1,,,,,,,,,,,,,,,,,
5,12,G,none,54,1,,,,,,,,,,,,,,,,,
5,12,L,aphid,55,1,,,,,,,,,,,,,,,,,
5,12,U,aphid,56,0,,,,,,,,,,,,,,,,,
5,12,U,none,57,1,,,,,,,,,,,,,,,,,
5,12,S,none,58,0,,,,,,,,,,,,,,,,,
5,12,L,none,59,0,,,,,,,,,,,,,,,,,
5,12,F,none,60,0,,,,,,,,,,,,,,,,,
