"","experiment","response","term","test","df","Df.res","statistic","p.value","Pr..Chisq."
"33","wind","Tortricidiae_leaftier","Wind.Exposure","Chisq",1,NA,1.33923882123398,NA,0.247168248224052
"34","wind","Tortricidiae_leaftier","Year","Chisq",1,NA,117.190750939018,NA,2.60744527198793e-27
"35","wind","Tortricidiae_leaftier","Genotype","Chisq",9,NA,24.7794130827409,NA,0.00322512999043555
"36","wind","Tortricidiae_leaftier","Wind.Exposure:Year","Chisq",1,NA,2.65297999333537,NA,0.103355978806227
"37","wind","Tortricidiae_leaftier","Wind.Exposure:Genotype","Chisq",9,NA,11.4955417580706,NA,0.243264022680939
"38","wind","Spider","(Intercept)","Chisq",1,NA,78.4617239435325,NA,8.15634020967186e-19
"39","wind","Spider","Wind.Exposure","Chisq",1,NA,6.03630684667477,NA,0.0140145720550308
"40","wind","Spider","Year","Chisq",1,NA,6.54228502231086,NA,0.0105339960304307
"41","wind","Spider","Genotype","Chisq",9,NA,8.27166659862516,NA,0.507017685314931
"42","wind","Spider","Wind.Exposure:Year","Chisq",1,NA,0.197107155841898,NA,0.657066069229686
"43","wind","Aphididae","(Intercept)","Chisq",1,NA,29.4974816542724,NA,5.59894057412663e-08
"44","wind","Aphididae","Wind.Exposure","Chisq",1,NA,0.324496843248853,NA,0.568917656833086
"45","wind","Aphididae","Genotype","Chisq",9,NA,4.30876665655999,NA,0.889940953892338
"46","ant-aphid","total.abund","(Intercept)","Chisq",1,NA,192.021737926143,NA,1.15090981012942e-43
"47","ant-aphid","total.abund","scale(Ant.mound.dist)","Chisq",1,NA,0.79200242392085,NA,0.373495322499202
"48","ant-aphid","total.abund","Aphid.treatment","Chisq",1,NA,3.08013503254129,NA,0.0792539458504454
"49","ant-aphid","total.abund","Genotype","Chisq",9,NA,43.4403123055747,NA,1.78929172503836e-06
"50","ant-aphid","total.abund","scale(Ant.mound.dist):Aphid.treatment","Chisq",1,NA,7.96017003328648,NA,0.00478179217727537
"51","ant-aphid","total.abund","scale(Ant.mound.dist):Genotype","Chisq",9,NA,10.1317471390751,NA,0.339925262124113
"52","ant-aphid","total.abund","Aphid.treatment:Genotype","Chisq",9,NA,18.1533578608987,NA,0.0334354325084731
"53","ant-aphid","total.abund","scale(Ant.mound.dist):Aphid.treatment:Genotype","Chisq",9,NA,9.84819848611442,NA,0.362913725469082
"54","ant-aphid","total.rich","(Intercept)","Chisq",1,NA,70.4598220777294,NA,4.69736570305983e-17
"55","ant-aphid","total.rich","scale(Ant.mound.dist)","Chisq",1,NA,0.677407160761686,NA,0.410480991304965
"56","ant-aphid","total.rich","Aphid.treatment","Chisq",1,NA,2.49009060676447,NA,0.114565128880163
"57","ant-aphid","total.rich","Genotype","Chisq",9,NA,46.7369559188723,NA,4.39314312167126e-07
"58","ant-aphid","total.rich","scale(Ant.mound.dist):Aphid.treatment","Chisq",1,NA,0.864912466610089,NA,0.352367614231218
"59","ant-aphid","total.rich","scale(Ant.mound.dist):Genotype","Chisq",9,NA,8.9104320404171,NA,0.445582918477673
"60","ant-aphid","total.rich","Aphid.treatment:Genotype","Chisq",9,NA,7.66659874689704,NA,0.568062334284223
"61","ant-aphid","total.rich","scale(Ant.mound.dist):Aphid.treatment:Genotype","Chisq",9,NA,6.59992204521642,NA,0.678693853837035
"62","ant-aphid","total.rarerich","(Intercept)","F",1,5.36745048427534,132.298173659268,5.51678105802833e-05,NA
"63","ant-aphid","total.rarerich","scale(Ant.mound.dist)","F",1,17.6167588744469,2.0382895484241,0.170869266716434,NA
"64","ant-aphid","total.rarerich","Aphid.treatment","F",1,110.250637010296,1.4927159306133,0.224401458685486,NA
"65","ant-aphid","total.rarerich","Genotype","F",9,109.878300487109,1.0916952621484,0.374830389500218,NA
"66","ant-aphid","total.rarerich","scale(Ant.mound.dist):Aphid.treatment","F",1,114.798761745702,0.0275759251649944,0.868401838643992,NA
"67","ant-aphid","total.rarerich","scale(Ant.mound.dist):Genotype","F",9,110.068329799103,0.877442794330858,0.5477340997507,NA
"68","ant-aphid","total.rarerich","Aphid.treatment:Genotype","F",9,110.413786000076,1.53947763772668,0.142919846844338,NA
"69","ant-aphid","total.rarerich","scale(Ant.mound.dist):Aphid.treatment:Genotype","F",9,110.761089139577,0.669008440113056,0.73529694636727,NA
"70","ant-aphid","aphid_Aphis","(Intercept)","Chisq",1,NA,0.539433040550305,NA,0.462667787827916
"71","ant-aphid","aphid_Aphis","scale(Ant.mound.dist)","Chisq",1,NA,1.21155496265558,NA,0.271024384036922
"72","ant-aphid","aphid_Aphis","Genotype","Chisq",9,NA,18.173772150342,NA,0.0332101686783174
"73","ant-aphid","aphid_Aphis","scale(Ant.mound.dist):Genotype","Chisq",9,NA,9.3269926668741,NA,0.407653758256354
"74","ant-aphid","ant_F_obscuripes","(Intercept)","Chisq",1,NA,20.4425312481717,NA,6.14488883227638e-06
"75","ant-aphid","ant_F_obscuripes","scale(Ant.mound.dist)","Chisq",1,NA,3.1005923919112,NA,0.0782638104184061
"76","ant-aphid","ant_F_obscuripes","Aphid.treatment","Chisq",1,NA,7.44753917311461,NA,0.00635232389871894
"77","ant-aphid","LTF_Caloptilia","(Intercept)","Chisq",1,NA,40.543255778476,NA,1.9231117496817e-10
"78","ant-aphid","LTF_Caloptilia","scale(Ant.mound.dist)","Chisq",1,NA,5.20588501784677,NA,0.0225105522413602
"79","ant-aphid","LTF_Caloptilia","Aphid.treatment","Chisq",1,NA,1.55694816079261,NA,0.212112628246919
"80","ant-aphid","LTF_Caloptilia","Genotype","Chisq",9,NA,35.4347721752584,NA,4.99269713269934e-05
"81","ant-aphid","LTF_Caloptilia","scale(Ant.mound.dist):Aphid.treatment","Chisq",1,NA,4.18568379142269,NA,0.0407667639492274
"82","ant-aphid","LTF_Caloptilia","scale(Ant.mound.dist):Genotype","Chisq",9,NA,15.0551064934358,NA,0.0894333749682719
"83","ant-aphid","LTF_Caloptilia","Aphid.treatment:Genotype","Chisq",9,NA,11.4090915119983,NA,0.24870624471153
"84","ant-aphid","Aphids_nonAphis","(Intercept)","Chisq",1,NA,26.0966093994856,NA,3.24753794619954e-07
"85","ant-aphid","Aphids_nonAphis","scale(Ant.mound.dist)","Chisq",1,NA,0.518890873277299,NA,0.471315187692118
"86","ant-aphid","Aphids_nonAphis","Aphid.treatment","Chisq",1,NA,0.0706804306068532,NA,0.790348638444658
"87","ant-aphid","Aphids_nonAphis","Genotype","Chisq",9,NA,30.889960593453,NA,0.000309176556157361
"88","ant-aphid","Aphids_nonAphis","scale(Ant.mound.dist):Aphid.treatment","Chisq",1,NA,3.821387814404,NA,0.0506023089099465
"89","ant-aphid","Aphids_nonAphis","scale(Ant.mound.dist):Genotype","Chisq",9,NA,5.86832729670087,NA,0.753020935418568
"90","ant-aphid","Aphids_nonAphis","Aphid.treatment:Genotype","Chisq",9,NA,19.0045615179258,NA,0.0251541374345052
"91","ant-aphid","Aphids_nonAphis","scale(Ant.mound.dist):Aphid.treatment:Genotype","Chisq",9,NA,6.8825296293419,NA,0.649348369707634
"92","ant-aphid","leafhopper","(Intercept)","Chisq",1,NA,23.4437906767019,NA,1.28617184123222e-06
"93","ant-aphid","leafhopper","scale(Ant.mound.dist)","Chisq",1,NA,2.13117843442711,NA,0.144329758214496
"94","ant-aphid","leafhopper","Aphid.treatment","Chisq",1,NA,0.847718297602607,NA,0.357198622657735
"95","ant-aphid","leafhopper","Genotype","Chisq",9,NA,18.8827851393114,NA,0.0262081994440152
"96","ant-aphid","leafhopper","scale(Ant.mound.dist):Aphid.treatment","Chisq",1,NA,1.6752250045944,NA,0.195560147237199
"97","ant-aphid","leafhopper","scale(Ant.mound.dist):Genotype","Chisq",9,NA,10.153950853296,NA,0.338166470085592
"98","ant-aphid","leafhopper","Aphid.treatment:Genotype","Chisq",9,NA,6.65444818829297,NA,0.673045808242436
"99","ant-aphid","spiders","(Intercept)","Chisq",1,NA,22.8313627468081,NA,1.76855993424266e-06
"100","ant-aphid","spiders","scale(Ant.mound.dist)","Chisq",1,NA,0.926764590617129,NA,0.335705057799468
"101","ant-aphid","spiders","Aphid.treatment","Chisq",1,NA,0.240189987146922,NA,0.624068929718528
"102","ant-aphid","spiders","Genotype","Chisq",9,NA,14.6097009808218,NA,0.102229965172223
"103","ant-aphid","spiders","scale(Ant.mound.dist):Aphid.treatment","Chisq",1,NA,0.00435929489082682,NA,0.947357956328213
"104","ant-aphid","spiders","scale(Ant.mound.dist):Genotype","Chisq",9,NA,8.85178671966264,NA,0.451066684756654
"105","ant-aphid","spiders","Aphid.treatment:Genotype","Chisq",9,NA,12.2836054108443,NA,0.197789076600395
"106","ant-aphid","ant_black","(Intercept)","Chisq",1,NA,46.2011820539303,NA,1.06712579590764e-11
"107","ant-aphid","ant_black","scale(Ant.mound.dist)","Chisq",1,NA,1.28555257957741,NA,0.256869174144687
"108","ant-aphid","ant_black","Aphid.treatment","Chisq",1,NA,14.707082965105,NA,0.000125573755142847
"109","ant-aphid","ant_black","Genotype","Chisq",9,NA,20.6495510503964,NA,0.0143007141919504
"110","ant-aphid","ant_black","scale(Ant.mound.dist):Aphid.treatment","Chisq",1,NA,0.733666060575105,NA,0.391697450477644
"111","ant-aphid","ant_black","scale(Ant.mound.dist):Genotype","Chisq",9,NA,6.76101116521079,NA,0.661985667232339
"112","ant-aphid","ant_black","Aphid.treatment:Genotype","Chisq",9,NA,4.88889586114059,NA,0.84388389949416
"113","ant-aphid","leaftier_Tortricid","(Intercept)","Chisq",1,NA,111.194428508681,NA,5.36430688290799e-26
"114","ant-aphid","leaftier_Tortricid","scale(Ant.mound.dist)","Chisq",1,NA,11.8654666352952,NA,0.000571844402460013
"115","ant-aphid","leaftier_Tortricid","Aphid.treatment","Chisq",1,NA,0.0327124163756415,NA,0.856472959805127
"116","ant-aphid","leaftier_Tortricid","Genotype","Chisq",9,NA,24.5522228229458,NA,0.00350855938005739
"117","ant-aphid","leaftier_Tortricid","scale(Ant.mound.dist):Aphid.treatment","Chisq",1,NA,3.64563189025661,NA,0.0562164678361225
