sample,sd_Intercept,sd_sc.Aphid.treatment,sd_sc.Ant.mound.dist,sd_sc.Aphid.treatment.sc.Ant.mound.dist,sd_Block__Intercept,sd_Genotype__Intercept,sd_Genotype__sc.Aphid.treatment,sd_Genotype__sc.Ant.mound.dist,sd_Genotype__sc.Aphid.treatment.sc.Ant.mound.dist,sd_Plot_code__Intercept,sigma,Experiment,Year,Response
11,0,0.07306674297126721,0.1265012727549179,0.03608217228045201,0.18638617196937493,0.4379880865050358,0.10688314661631261,0.08541524378004259,0.012782594244347769,0.49022157426072294,0.7486040603355917,Ant-Aphid,2012,Trait PC1
12,0,0.024242736122330064,0.03615039789049036,0.030741879114692634,0.3190021258275591,0.3368536567477498,0.13587493053364363,0.06763993060508615,0.009656322688461814,0.5889505401771006,0.7929192929836164,Ant-Aphid,2012,Trait PC1
13,0,0.09712578992351646,0.07595898539748666,0.08083009944570307,0.27746921231818816,0.39553399157670177,0.06370203067595759,0.017804624803635965,0.012416218437167724,0.5391724188112382,0.682706136583238,Ant-Aphid,2012,Trait PC1
14,0,0.07950639897823158,0.07939774797866668,0.0323844024918424,0.46163485654873215,0.4588946497165159,0.0806457315384779,0.004900479026111534,0.016739028022148893,0.46625980732253464,0.6974834251833042,Ant-Aphid,2012,Trait PC1
15,0,0.011721813115911594,0.06526081031803573,0.04004696800208634,0.7300419473674449,0.36604279032101095,0.5415891436587703,0.1283416550516148,0.022407222237295223,0.35974074442214943,0.8440188622865089,Ant-Aphid,2012,Trait PC1
16,0,0.048598941422177806,0.23348666698138004,0.052201734673951235,0.22553591507513207,0.4183641916148436,0.14763945073396367,0.06522217203549065,0.16769682526684238,0.4981694714157645,0.7178695744123476,Ant-Aphid,2012,Trait PC1
17,0,0.0546613161871583,0.18056693669968985,0.08562358423887861,0.8649446129603907,0.49301187328996343,0.059690820759383756,0.12798072521383833,0.015813398657580625,0.47982837863188205,0.7678780681435514,Ant-Aphid,2012,Trait PC1
18,0,0.005902779095195311,0.056124959270386826,0.06677262644852609,1.0018436939789737,0.8420858459126456,0.028966376644111155,0.07535625986535223,0.12069764966664054,0.4549234246035261,0.7831053501997938,Ant-Aphid,2012,Trait PC1
19,0,0.09350611211190424,0.049203654597584995,0.08969540564630714,0.2363642669010654,0.4025289838116901,0.0627181223079558,0.018067562487191463,0.15797904850298625,0.6267869374478379,0.7648124386416528,Ant-Aphid,2012,Trait PC1
20,0,0.08945619703508322,0.1173037441154441,0.018701911366876947,0.5317679950971363,0.3428367953424411,0.12251078856057562,0.08976229580650724,0.008040268301625884,0.40128087962406744,0.7543601660946214,Ant-Aphid,2012,Trait PC1
21,0,0.03183569830344126,0.18931097648094308,0.02127176032446111,0.14672999786219115,0.3501290026109911,0.10175249721690713,0.15111788329773299,0.09652033781177467,0.6520883469612551,0.7400309779669656,Ant-Aphid,2012,Trait PC1
22,0,0.041479750728036516,0.21971778096948597,0.028504092446282193,0.16092072461482235,0.32789540135995265,0.08017495365565011,0.31801269384515907,0.10170110687183732,0.5762397439014985,0.8236874072730038,Ant-Aphid,2012,Trait PC1
23,0,0.03772075704403425,0.24983409563931835,0.10415745980391077,0.10504620132024445,0.3281784379015241,0.06659088228262075,0.050329036647231415,0.030500071164777976,0.6015653509614665,0.8450671754396814,Ant-Aphid,2012,Trait PC1
24,0,0.026839095391896002,0.05355810650291308,0.09369339850902379,0.23299913421967,0.23178763703995323,0.008776262603305758,0.01634136679409279,0.013121252112960512,0.5423050542442658,0.8191830326717905,Ant-Aphid,2012,Trait PC1
25,0,0.05059365802584507,0.062035049085064076,0.058002194321047966,0.47221011490942394,0.4391139165697163,0.037424255092633474,0.0630634209260411,0.008773550541392929,0.6070058415039485,0.735380543634597,Ant-Aphid,2012,Trait PC1
26,0,0.11170076725087646,0.10651367899695194,0.019017871775960926,0.2433404929869007,0.3460576665813029,0.07801289156037168,0.004267216060300526,0.10972592651103685,0.3117166171414288,0.7577344437786717,Ant-Aphid,2012,Trait PC1
27,0,0.01680124733653833,0.13072946442194044,0.005753162597818069,1.3297091569533783,0.3282503816349338,0.08781354995396184,0.006023059884832866,0.009088934292109352,0.578363028191052,0.7971051603632732,Ant-Aphid,2012,Trait PC1
28,0,0.04488003083351502,0.08462706747740018,0.016444596229846807,0.4599691108272279,0.27322686193337065,0.08114569920163417,0.07911260734240495,0.033784094353995674,0.6020635798079128,0.7699321703889775,Ant-Aphid,2012,Trait PC1
29,0,0.040243036908338504,0.0323191695112572,0.03632080824902119,0.44370805676623104,0.37843992628614953,0.08528365338467951,0.012189145332409727,0.15333148701810198,0.5532816925593659,0.7305994848063401,Ant-Aphid,2012,Trait PC1
30,0,0.009259900878688691,0.1274962266022954,0.028828455821904,0.6192927196527839,0.2944880102261985,0.11493018250228927,0.013489796604346325,0.03308776888760874,0.5239750132286944,0.8408433238470104,Ant-Aphid,2012,Trait PC1
31,0,0.08983393787240557,0.10060103695067436,0.032295742768021184,0.04318973532448403,0.4480951894372093,0.03583062646869572,0.028124951636923922,0.02397007995545271,0.6850946763617171,0.7368676775538393,Ant-Aphid,2012,Trait PC1
32,0,0.06772786141507546,0.191990805632525,0.0311014119139031,0.08040299810111994,0.5936701924468096,0.050895864959914064,0.06974236852414578,0.028459731305067626,0.7177399318350803,0.7612753113762094,Ant-Aphid,2012,Trait PC1
33,0,0.016009329114756117,0.2157939544184464,0.015932737620280114,0.14984956599713536,0.48056769451188014,0.0504080058195645,0.07854637761803906,0.15291577294458356,0.5352623474212238,0.7527195932624291,Ant-Aphid,2012,Trait PC1
34,0,0.05433153370266533,0.019634520829203667,0.004691617064570092,0.010044820708910827,0.6154895388200228,0.007506541514971744,0.008062158684819798,0.03959703580298689,0.6159498397366135,0.775461041006489,Ant-Aphid,2012,Trait PC1
35,0,0.042198968766298514,0.2528954939274105,0.031338984171546916,0.08981199078278025,0.2557044801645416,0.025620818731690087,0.061341537616067296,0.10141702051495449,0.5017461580960612,0.7799655251971568,Ant-Aphid,2012,Trait PC1
36,0,0.09630905242274083,0.11653790083579778,0.007817081286437362,0.1676011808264518,0.17512147075339773,0.05849472381941396,0.02428086695843803,0.009205161485711728,0.9030447888641269,0.7646933533924427,Ant-Aphid,2012,Trait PC1
37,0,0.11612443724801633,0.0812381398614545,0.07584112811547686,0.1934499844256783,0.19550262180417982,0.04551329712931027,0.04802623464837328,0.05856418687390247,0.3428783399505652,0.7907672529402137,Ant-Aphid,2012,Trait PC1
38,0,0.021168257955063368,0.025476856977878427,0.11224270192348661,0.5919277180707563,0.24288453190026055,0.024952055984300142,0.13328684951366618,0.10753083448289953,0.37927684446186066,0.8135993821114993,Ant-Aphid,2012,Trait PC1
39,0,0.15454609357019075,0.09292941328230836,0.09733039649387329,0.2097135093999522,0.4974387031749562,0.07478036963362306,0.14029659014599988,0.102372682328384,0.3019429056458526,0.7710195787908184,Ant-Aphid,2012,Trait PC1
40,0,0.029236373274886856,0.03476758531423952,0.04205812292180296,0.7186093804036394,0.6091585749676108,0.16826417843248997,0.11839068344547053,0.07613924719456612,0.3302839532806863,0.8128373495581256,Ant-Aphid,2012,Trait PC1
41,0,0.07987298569022393,0.18423420132596835,0.013288313536350639,0.31343162745105585,0.5027133434361849,0.13749956136046176,0.038277637900951095,0.06080384665264522,0.36310397719538856,0.7496011940017366,Ant-Aphid,2012,Trait PC1
42,0,0.045831459054990545,0.06345565670160513,0.045604330288558585,0.20169936082224948,0.5566447237979486,0.12260328757570482,0.11910285537820836,0.048215201964232665,0.6736450859425634,0.7891929788718611,Ant-Aphid,2012,Trait PC1
43,0,0.09914880847185077,0.24551329714802628,0.011978250251552493,0.39183595357419204,0.3888599649299874,0.003989768235385625,0.07752658464800026,0.0297217324424126,0.7098459609126319,0.7920446100596558,Ant-Aphid,2012,Trait PC1
44,0,0.08015754769637047,0.22600131262526169,0.006550823497879642,0.4637130459043826,0.4796842972456675,0.004874980845503108,0.06845518112615277,0.0243898716068202,0.6258982128842627,0.795422980763572,Ant-Aphid,2012,Trait PC1
45,0,0.014525070220182713,0.21489438864176263,0.06868511529000955,1.0597094789651251,0.4183207797260365,0.006097005220091133,0.1124755018285745,0.05729551571680397,0.666895847198959,0.8069601186049452,Ant-Aphid,2012,Trait PC1
46,0,0.11706056921209035,0.07178177382088143,0.021010934628030345,0.25029087714726816,0.21913579696239624,0.060183035432957784,0.12821801313548928,0.026007998354142095,0.5227634925737175,0.8088042681504304,Ant-Aphid,2012,Trait PC1
47,0,0.0787992151372921,0.007946474793924707,0.05480940611144461,0.8343424535675769,0.23152547571404633,0.033989170777927444,0.09976452504721799,0.08704256189007589,0.40291677355148275,0.8091810942669329,Ant-Aphid,2012,Trait PC1
48,0,0.05621762410091689,0.07071219485546275,0.07596950691279525,5.984314131369577e-4,0.4898233183037562,0.12615756327135513,0.05251909976318635,0.0657692778856973,0.9822428097997932,0.7248307596630162,Ant-Aphid,2012,Trait PC1
49,0,0.046101776581649476,0.38874106403844644,0.010682657668447925,1.7600856130971079,0.26284018892676364,0.20808078642847752,0.08650518854782376,0.07859501677292156,0.7720043558843785,0.7886786824654168,Ant-Aphid,2012,Trait PC1
50,0,0.017301072104430954,0.03837710731992312,0.011778598202852448,0.1573397262042775,0.317540106278597,0.08626503785577196,0.06571613879581756,0.06578280089710303,0.4468408612016071,0.7358349795632801,Ant-Aphid,2012,Trait PC1
51,0,0.005957229251469061,0.11967868430490286,0.03582518976518107,0.33306612600506313,0.32968519391837703,0.04215453058316286,0.048215824155622616,0.03628176548718456,0.45354270745946845,0.7901767081537336,Ant-Aphid,2012,Trait PC1
52,0,0.019031992319846487,0.12177638568505061,0.048328060133668076,0.4971102486078968,0.35771464929030405,0.08213154454669694,0.04210150622428879,0.007457134051692235,0.6109473380123687,0.734724832753275,Ant-Aphid,2012,Trait PC1
53,0,0.08120755242577973,0.16052786715238465,0.08719238617653804,0.49408348909646094,0.35938644754690546,0.02773968191033401,0.038913471933185534,0.010054944974978249,0.7066001161017474,0.7264615548352835,Ant-Aphid,2012,Trait PC1
54,0,0.0320865722070167,0.0897233113064046,0.07623979851448587,0.6391679058166453,0.5716309559556201,0.016413810480830033,0.045541935584101696,0.07577672177819422,0.41222665314151985,0.7995171534635794,Ant-Aphid,2012,Trait PC1
55,0,0.06605670695797795,0.3761009467987547,0.0999929578203856,0.7288967592035187,0.363036264810115,0.04682040657330511,0.09537851799860496,0.09176188688420996,0.8406529531208607,0.72807684083266,Ant-Aphid,2012,Trait PC1
56,0,0.05948431909797634,0.016331610087794074,0.05001249905664773,0.54914574571149,0.5166895556535005,0.10011516400232251,0.05571248425183787,0.021588377765781416,0.5911758347263397,0.7906015659888337,Ant-Aphid,2012,Trait PC1
57,0,0.05754069814624696,0.02023630085332708,0.08316174951424311,0.642477989687286,0.27516011372722093,0.09362880294168537,0.02974812031486147,0.07207435825090415,0.6047578614335848,0.7068830700547858,Ant-Aphid,2012,Trait PC1
58,0,0.013568983172486372,0.09245932934214784,0.028326762975612232,0.35735675032786474,0.36547633079409886,0.03744323049585552,0.08547823067127082,0.025840395587062033,0.7235098582160793,0.789413406292115,Ant-Aphid,2012,Trait PC1
59,0,0.027836483838462562,0.26079180263874535,0.049775521080351603,0.3712947809028247,0.47911814214493265,0.055757644600128053,0.0017095952359328433,0.1304690429832668,0.522176706394515,0.7478680151289195,Ant-Aphid,2012,Trait PC1
60,0,0.08993835231970312,0.21696569506102115,0.015543185909778585,0.02718114416445024,0.3756435211209466,0.015296140066648155,0.01177316779190035,0.07016434083245507,0.6793139762815783,0.7886302447571223,Ant-Aphid,2012,Trait PC1
61,0,5.980912464880239e-4,0.043426217031582004,0.014357911895111476,0.25850298553982276,0.30413208185664636,0.01382973530206842,0.027269876472589917,0.1531683465896031,0.8821561697820383,0.7160984507706699,Ant-Aphid,2012,Trait PC1
62,0,0.09965577533897618,0.1070375903307185,0.025802300518385553,0.15186019013245156,0.3410572788676532,0.013705560187433071,0.09858948311281149,0.02833964466638932,0.6262848619763752,0.8227117629323626,Ant-Aphid,2012,Trait PC1
63,0,0.14378973178535825,0.3297265998031291,0.020518254336876113,0.5932149362348389,0.2806682129042997,0.009405592655348217,0.14436667429636968,0.020299644457191377,0.5445744226112502,0.736374567403492,Ant-Aphid,2012,Trait PC1
64,0,0.10474709234646726,0.33716063283278624,0.016179027623300205,0.43955002350206374,0.35928954751999936,0.04089597089000435,0.10016833510725585,0.051878008670349696,0.7045774129914183,0.7784683384947617,Ant-Aphid,2012,Trait PC1
65,0,0.11034486048330001,0.11975876628158276,0.04343789456177546,0.19608752426429957,0.448984003342891,0.11828319830064582,0.013655655430886317,0.033615514867161723,0.7171099723492992,0.726888899125526,Ant-Aphid,2012,Trait PC1
66,0,0.032066000057279435,0.1517382544970649,0.022574294900740543,0.5675518393886416,0.5226320433272159,0.025553816641577944,0.12893242910194033,0.04538777983242642,0.6318148685842625,0.7787494854074561,Ant-Aphid,2012,Trait PC1
67,0,0.0435386266904999,0.024437187424604843,0.011137766685586685,0.28212934759154007,0.5373128498134537,0.019831213132272842,0.09953230606513405,0.045469947089948136,0.5679895794310109,0.7190502336904807,Ant-Aphid,2012,Trait PC1
68,0,0.05159825118117068,0.24672102639352123,0.0399171549134895,0.22661450461884738,0.842642076474077,0.05474531624322947,0.008250413385215349,0.12772843448489113,0.5935751524204586,0.7871722684395982,Ant-Aphid,2012,Trait PC1
69,0,0.06470129421989379,0.1472090131665738,0.08313024363895438,0.7731186190325934,0.44047961021466225,0.24043879330734078,0.2254181879477747,0.03755942961689555,0.5761307722425674,0.8216552624421757,Ant-Aphid,2012,Trait PC1
70,0,0.0957322107052233,0.183897884449801,0.07116057067941112,0.6326945128511219,0.342266681581188,0.1496988852583488,0.09535350774473177,0.051447515852878975,0.4691122851736798,0.6916830709183617,Ant-Aphid,2012,Trait PC1
71,0,0.027414475234965072,0.16059841786859574,0.001725062074234448,0.6294119563673213,0.36239242819851725,0.04435356481031004,0.014504775744294091,0.01769836153033668,0.4790503833746653,0.7372724693115259,Ant-Aphid,2012,Trait PC1
72,0,0.07801334849536944,0.002542956549134192,0.05744875909128496,0.43693084075080746,0.8864251280715046,0.09692805028889429,0.17756623802089963,0.09156991647854658,0.5139473733281696,0.7733895489013615,Ant-Aphid,2012,Trait PC1
73,0,0.05307826982106407,0.05440325706416154,0.048499271234764045,0.34595891082608116,0.3419402539633465,0.014966838846247936,0.08396822322503023,0.01787887207163365,0.5336892376783456,0.8161582762346894,Ant-Aphid,2012,Trait PC1
74,0,0.07138261348488957,0.06149401843712127,0.09898539891238284,0.6185662067341988,0.33220276671664584,0.049660928702094466,0.025362972382245986,0.053537875580847744,0.6286489786903005,0.7396048460352224,Ant-Aphid,2012,Trait PC1
75,0,0.05651026966978796,0.26537452598546873,0.003604802049604454,0.018674715081103344,0.6124800430209134,0.050176757086862714,0.008275699713009548,0.020588354214265452,0.7153468531954852,0.8221419313085694,Ant-Aphid,2012,Trait PC1
76,0,0.12997086591147514,0.11074057029916672,0.06533420380001193,0.22280619288014888,0.3080750963638063,0.03879765660200486,0.041468178715216526,0.013821735854851625,0.7691944247018839,0.7073493031113014,Ant-Aphid,2012,Trait PC1
77,0,0.09919771717158475,0.2849934196607975,0.052964296444361306,0.06623543717924249,0.6585788843712345,0.14397332570648572,0.0526553005807485,0.14651913910612965,0.5826654906507975,0.8373920883874795,Ant-Aphid,2012,Trait PC1
78,0,0.046335895426289055,0.3028720785651148,0.007087395940873134,0.7162290262259707,0.3798744230709908,0.11155006531973918,0.08033055642939853,0.09795715452196585,0.6487105059836038,0.7891967608254898,Ant-Aphid,2012,Trait PC1
79,0,0.039319802001617894,0.2995540884699699,0.058937076188047416,0.36668840837182987,0.30769778330504566,0.10668768394400907,0.06732687081652984,0.06419125817597608,0.6308057234980382,0.8130729464224518,Ant-Aphid,2012,Trait PC1
80,0,0.05033237493033491,0.1897957423762494,0.019926234469672705,0.472077139827847,0.3206576950687037,0.09642530527838006,0.04160633545028069,0.01747760057435167,0.4323853676061362,0.7246821000271465,Ant-Aphid,2012,Trait PC1
81,0,0.07723626467791163,0.12176668405426934,0.04034209404255134,0.31208659633471875,0.41363171285717876,0.18910964240485223,0.022549265152222962,0.09041745138602766,0.7296760740316559,0.8138493162919523,Ant-Aphid,2012,Trait PC1
82,0,0.12258653813098878,0.23993144872621514,0.03617545926894286,0.46024071133033856,0.35813903392092417,0.08192494262604406,0.013293319431326635,0.05579034939112753,0.5784997557328578,0.7142173634351467,Ant-Aphid,2012,Trait PC1
83,0,0.05804230500769468,0.21979870740882462,0.07425552124133013,0.4569571374262887,0.4769819983593763,0.14508449998102735,0.17541534829357508,0.07159845548590427,0.7669810082354404,0.808808592338455,Ant-Aphid,2012,Trait PC1
84,0,0.012036201744486174,0.28375418250077666,0.09459796910469753,0.03215239417445938,0.4456092804465438,0.06925390104408098,0.04871240183771488,0.08182848897441214,0.7726804578125085,0.7163303655613489,Ant-Aphid,2012,Trait PC1
85,0,0.07531723331465823,0.10730622491507684,0.12215032971543731,0.9944367034848127,0.5571949414666194,0.13558930085626855,0.07643305959056532,0.02916780732263864,0.4785560468741494,0.8019590111106121,Ant-Aphid,2012,Trait PC1
86,0,0.06510505657606169,0.1106029844499951,0.1270437085258852,0.7050105053118737,0.2638344362035039,0.0015781431189270294,0.06944477456001356,0.2498031386142095,0.6389278055858959,0.7369572591354596,Ant-Aphid,2012,Trait PC1
87,0,0.015133487144268053,0.0819539078358739,0.03642756555237437,0.6994543496313121,0.3862422866394671,0.012311509837174758,0.11470005857311243,0.12002710806718889,0.3837197611183502,0.7842794169183175,Ant-Aphid,2012,Trait PC1
88,0,0.09068912306008399,0.14679410839974824,0.030883272569459098,0.3828311498918376,0.315313983931022,0.024943028773866952,0.08727612885468157,0.1688714986554261,0.4180775347424306,0.744627822284085,Ant-Aphid,2012,Trait PC1
89,0,0.022340683100642713,0.1647656123480295,0.05659610868199762,0.5794316010840248,0.5538405543852785,0.028824008876307552,0.06465847200616014,0.007250164092717976,0.4597426271016099,0.8562416990261448,Ant-Aphid,2012,Trait PC1
90,0,0.07275108966317106,0.08739683212362467,0.025996671646359753,0.3530706033134721,0.3467707635608138,0.036775188770474136,0.29692958133821146,0.10742265054959536,0.5154179119343075,0.6882835085850989,Ant-Aphid,2012,Trait PC1
91,0,0.054882367842639425,0.3947522211395831,0.11381022559977112,0.38052602059515295,0.8385361187848315,0.029758393633351705,0.012521214516428498,0.0611879118888302,0.7384941804528152,0.8213415626514011,Ant-Aphid,2012,Trait PC1
92,0,0.06464795636732523,0.3091403672837578,0.08861964106832196,0.478308210285416,0.7460192118298444,0.07890681893918418,0.005932133220621132,0.16166112764261312,0.5980239318507905,0.8062701234248874,Ant-Aphid,2012,Trait PC1
93,0,0.04096856069690955,0.13277813795900256,0.04847040246158906,0.2544714671207625,0.3260043818160831,0.0027037271568721944,0.04160574991695959,0.02915464467173654,0.6946072213776114,0.739517003602083,Ant-Aphid,2012,Trait PC1
94,0,0.038566354535868146,0.07889052052892738,0.07108955439994027,0.7959239131885625,0.3752940743928032,0.0017907842363613685,0.18075075456077075,0.04323434855685073,0.49668166504295636,0.7834007045895182,Ant-Aphid,2012,Trait PC1
95,0,0.0649496016811755,0.01926638321152576,0.06107617267125649,0.7129635103457606,0.48663397919428536,0.07167517013513758,0.02691724506485814,0.08472548566599811,0.6207726516344171,0.7745634599682866,Ant-Aphid,2012,Trait PC1
96,0,0.016904674698974425,0.31232110778351735,0.012063963179864847,0.18882506127670687,0.28597303299715426,4.023370230273117e-4,0.05333071785790446,0.12621938947157238,1.0960703027123075,0.8328498879194443,Ant-Aphid,2012,Trait PC1
97,0,0.0744632566343304,0.013011483911481976,0.018437470238224098,0.07283682956352383,0.31397244555921605,3.952428079607267e-4,0.021676787728503927,0.08194495573876892,0.5088053101995414,0.6935198148179508,Ant-Aphid,2012,Trait PC1
98,0,0.07122340260834546,0.20142394079090759,0.010552299407981287,0.6959208172195326,0.33244944555938555,0.07390699629733966,0.09943676574241786,0.08523910869304653,0.5205646674621156,0.821582117058553,Ant-Aphid,2012,Trait PC1
99,0,0.13753196205699963,0.11202312442046579,0.11830658025083061,0.6425779478983281,0.28503773346320616,0.017427970183222438,0.08755611922490535,0.05535991969715218,0.6378075244301874,0.7930559410032002,Ant-Aphid,2012,Trait PC1
100,0,0.03125883411715521,0.0697714082348581,0.011099293387215997,0.3662307655390692,0.4296702653483182,0.018856541725359378,0.11946660788062242,0.02728814735863556,0.5995218086165627,0.7679617890229252,Ant-Aphid,2012,Trait PC1
101,0,0.06559449565670492,0.22531331812801667,0.041843595340696683,0.217178778130811,0.27175894595755223,0.07041007034763246,0.029011279453775754,0.05352797944490641,0.5808940532334721,0.7676197515510715,Ant-Aphid,2012,Trait PC1
102,0,0.04318133416715025,0.18638194372895567,0.009424767446598531,0.7866618442126571,0.3020302254052025,0.03952740630392245,0.06950895938858873,0.03211963135107819,0.5498717877262809,0.802426883836371,Ant-Aphid,2012,Trait PC1
103,0,0.07628795043506875,0.0495197047414285,0.03937714010495261,0.8732108920154606,0.4986046657094783,0.07754228304013003,0.13225986753469232,0.05210070269170992,0.38411380539418044,0.7532261891444311,Ant-Aphid,2012,Trait PC1
104,0,0.1088045703438037,0.1693970864370306,0.013366373588628805,0.7188248891898519,0.2939331405988385,0.09999930853187183,0.09440991595374992,0.09334248375149146,0.4414348772984446,0.7662313124731975,Ant-Aphid,2012,Trait PC1
105,0,0.058939174012323896,0.06693953157908686,0.04235577666462927,0.9881351313813862,0.2678520263759867,0.17183363038637753,0.056183684772749855,0.06933469164308452,0.5969994587645104,0.7449167563491034,Ant-Aphid,2012,Trait PC1
106,0,0.016130903403281556,0.1002186241088305,0.003401704805637317,0.5666503205605933,0.39952075953995125,0.09636085968593779,0.05569418088242346,0.023332875777027133,0.6569457775997563,0.7702252151522864,Ant-Aphid,2012,Trait PC1
107,0,0.044707887921061,0.25425201737765785,0.01662066637396934,0.5025965708805584,0.34691790625149616,0.0702602087364446,0.06835995126903405,0.04178848487799732,0.6913458597830031,0.7911872263923726,Ant-Aphid,2012,Trait PC1
108,0,0.004030303799358521,0.24132841049258194,0.0055756553174074195,0.253840759232217,0.316396297912631,0.21802844679920874,0.1079776999089014,0.031382703135483914,0.823690461597026,0.7212002659406886,Ant-Aphid,2012,Trait PC1
109,0,0.11867307567164449,0.05057951745473973,0.016726778241199114,0.5884820680951923,0.424316981011408,0.06910518179230361,0.03095153554109002,0.011314785949830307,0.6493403331846451,0.796409836834613,Ant-Aphid,2012,Trait PC1
110,0,0.07668739859271496,0.2253352705869568,0.12222510292861608,0.28094378993019525,0.35154105484118536,0.06035004397298081,0.2551085517172194,0.05454269448462262,0.5998919352753549,0.7922166240647341,Ant-Aphid,2012,Trait PC1
111,0,0.02209570930070714,0.09080230195462115,0.06931565396795944,0.6317684588916311,0.4361433742997106,0.08260145380721588,0.2059253956983037,0.13326802317559672,0.6168175645239624,0.76670434201243165,Ant-Aphid,2012,Trait PC1
112,0,0.06897585111317471,0.0027909861368774084,0.03926377296522603,0.19277148313924589,0.4989602339135388,0.06871707592851964,0.111104742712422,0.04821919163997091,0.6294756900733733,0.7518788253070788,Ant-Aphid,2012,Trait PC1
113,0,0.027189756049657295,0.223176218846058,0.03516504577461903,0.29169566740992264,0.3166479111892213,0.045834865465132026,0.05388748915141862,0.044270277467833095,0.37378136135653756,0.7854152827756288,Ant-Aphid,2012,Trait PC1
114,0,0.0850419168028132,0.12695333276759463,0.017822938370412423,0.07555334412551583,0.4203765933030771,0.1503322417815237,0.12921463127793684,0.0940105881617548,0.7496962265700303,0.742198789220887,Ant-Aphid,2012,Trait PC1
115,0,0.09463145508709019,0.11167415999756207,0.002614470300582946,0.06717807421870245,0.40463297566664375,0.11025040940844635,0.0697672746329931,0.0805595172852792,0.7226855989269699,0.7328754263716155,Ant-Aphid,2012,Trait PC1
116,0,0.07595703584476762,0.15302404841887365,0.02224936877550014,0.041429819999400506,0.457622260183549,0.13171814240234664,0.0828463166688904,0.069363035262407155,0.7393525912199922,0.7445013355832332,Ant-Aphid,2012,Trait PC1
117,0,0.027931692003620105,0.17631463086014554,0.05747998620960533,0.19839554771732834,0.36124133352925863,0.10795306904775673,0.08126663917521013,0.029484479780063445,0.48518239994455714,0.7940527013332894,Ant-Aphid,2012,Trait PC1
118,0,0.1892298708777917,0.15720297821862553,0.03976618389170936,0.24954764161801937,0.5118678181085095,0.25274453704853617,0.022911600090980776,0.04167609620336987,0.49935867016091423,0.7700694071697328,Ant-Aphid,2012,Trait PC1
119,0,0.115032509050707,0.1608022635910203,0.01118016379772978,0.16005496152847584,0.4981471236874787,0.14210102013806003,0.022441266963029966,0.030071108159959885,0.4430841564770225,0.7599561684464582,Ant-Aphid,2012,Trait PC1
120,0,0.1642290225900351,0.012273442808336896,0.08369772146849487,0.0840703042138798,0.41965016376724074,0.09161799878752575,0.08421158655314256,0.03984907394849173,0.5268038984643783,0.7699529895978001,Ant-Aphid,2012,Trait PC1
