term,SD_mean,SD_SD,lower_50,upper_50,lower_95,upper_95,VarComp_mean,Experiment,Year,Trait
sd_Block__Intercept,0.14020535096611111,0.08675389655127305,0.08226592876683826,0.18473397913236086,0.013717668314050135,0.32815497470218236,0.0654383053209208,Wind,2013,Root %N
sd_Genotype__Intercept,0.04466778214037742,0.03692276398042697,0.017680573995772244,0.06324758492109554,0.0010780952239468667,0.13172138535707334,0.006641889476549753,Wind,2013,Root %N
sd_Genotype:Wind.Exposure__Intercept,0.042190418425007974,0.03260415868349707,0.016601792126163157,0.058613424402477604,0.001961746613164301,0.12200422779573374,0.005925575432103473,Wind,2013,Root %N
sd_Plot_code__Intercept,0.13582375321110357,0.07322966210263453,0.08627081567850738,0.17701037592085433,0.01258790967971278,0.3023333902778201,0.06141215257488123,Wind,2013,Root %N
sd_Wind.Exposure__Intercept,0.3438041466967205,0.40987493823227505,0.0689556297330853,0.4779287777484347,0.005494142731100613,1.417084966133958,0.39348219642660387,Wind,2013,Root %N
sd_Ant.mound.dist__Intercept,0.41390959192809795,0.3816211093318387,0.1414679541396156,0.5793577517137519,0.01199553617774998,1.3413912970822177,0.06286477145082701,Ant-Aphid,2012,Trait.PC1
sd_Aphid.treatment__Intercept,0.4606800013561712,0.47544189945439724,0.11912442555232641,0.6235439111322112,0.010302598568976343,1.7855310150453512,0.07787446538063561,Ant-Aphid,2012,Trait.PC1
sd_Aphid.treatment:Ant.mound.dist__Intercept,0.17893336549512234,0.18334502367779112,0.05687713220100718,0.23355874817149652,0.007299367063798208,0.6603645988161744,0.011748407998966107,Ant-Aphid,2012,Trait.PC1
sd_Block__Intercept,0.5314079670252694,0.34355325608176646,0.2850203437820167,0.7076207820225477,0.03179485383920139,1.3082835739563756,0.10362212201211664,Ant-Aphid,2012,Trait.PC1
sd_Genotype__Intercept,0.48045975054676,0.19362134730772518,0.3667356024728906,0.58029158981444,0.0707028582065326,0.9019629666055197,0.08470526046542258,Ant-Aphid,2012,Trait.PC1
sd_Genotype:Ant.mound.dist__Intercept,0.11652536961337816,0.0874842138573221,0.046114627268940465,0.16723844427059725,0.004480749828705651,0.31741362929103206,0.004982385622216724,Ant-Aphid,2012,Trait.PC1
sd_Genotype:Aphid.treatment__Intercept,0.19621555050029846,0.14017665583865135,0.08491312135993748,0.28022405587114924,0.008316406426229947,0.5397553351062506,0.014127431351543141,Ant-Aphid,2012,Trait.PC1
sd_Genotype:Aphid.treatment:Ant.mound.dist__Intercept,0.0973267843427753,0.07599919884823744,0.038715670294535307,0.13533340897011173,0.0032412007069637884,0.28523849861566974,0.003475850658500112,Ant-Aphid,2012,Trait.PC1
sd_Plot_code__Intercept,0.7745225776008142,0.19721230778828983,0.6266971517410267,0.8901945077440678,0.46196286796532177,1.1976445672479215,0.22012254406525505,Ant-Aphid,2012,Trait.PC1
sd_Ant.mound.dist__Intercept,0.24597196247176556,0.29713770875699375,0.05896416535594473,0.3048842527768093,0.007637985190783993,1.0886503867142305,0.031272603588661595,Ant-Aphid,2012,Trait.PC2
sd_Aphid.treatment__Intercept,0.42914919292973847,0.43734134500029753,0.10934794421204523,0.6061450740511779,0.008537811061786863,1.6343710994564637,0.09519396749481679,Ant-Aphid,2012,Trait.PC2
sd_Aphid.treatment:Ant.mound.dist__Intercept,0.209615559924629,0.20397371667928912,0.07960585259375444,0.2636724100172673,0.011008712436104833,0.7369467651667476,0.022711188533800306,Ant-Aphid,2012,Trait.PC2
sd_Block__Intercept,0.19363742884663457,0.17720614037093108,0.07552467322284559,0.25642645653842205,0.004922272287496784,0.6703056399409862,0.01938078850205529,Ant-Aphid,2012,Trait.PC2
sd_Genotype__Intercept,0.6233960684015512,0.19913178746963608,0.4835135667035358,0.7295173968251519,0.31754491058040085,1.1265467853937927,0.20087271309682808,Ant-Aphid,2012,Trait.PC2
sd_Genotype:Ant.mound.dist__Intercept,0.10433096992005964,0.0753806504029346,0.04413715619822544,0.1513377357660035,0.006810567845953983,0.2845838796983089,0.0056262537730934654,Ant-Aphid,2012,Trait.PC2
sd_Genotype:Aphid.treatment__Intercept,0.1483324696952966,0.11934688110539564,0.060226286541918736,0.2059902515158466,0.006195730587894276,0.45015120980822015,0.01137274451145018,Ant-Aphid,2012,Trait.PC2
sd_Genotype:Aphid.treatment:Ant.mound.dist__Intercept,0.10963809399408234,0.08100591434322306,0.044270335458738826,0.15856614029756125,0.00495716140514334,0.30865008073538125,0.0062132064061755435,Ant-Aphid,2012,Trait.PC2
sd_Plot_code__Intercept,0.1808345767309131,0.10985415665911683,0.10295847227285726,0.24559850452396653,0.013178710679982514,0.41290775324880136,0.016902688014135546,Ant-Aphid,2012,Trait.PC2
