term,group,level,BLUP,SD,lower_50,upper_50,lower_95,upper_95,Experiment,Year,Response
Intercept,Plot_code,2_Exposed,0.12892873824917356,0.24191107875554244,-0.02081992164401022,0.271364946543902,-0.30825799861847447,0.6724720235138363,Wind,2012,Trait PC1
Intercept,Plot_code,2_Unexposed,-0.29000502666687134,0.28124958942513995,-0.465755835768095,-0.07241995673086309,-0.9305116714761967,0.14879822879282054,Wind,2012,Trait PC1
Intercept,Plot_code,3_Exposed,0.005974099913947911,0.2355951401954786,-0.12679280807360838,0.14100824776007925,-0.482033436107373,0.48554927244785107,Wind,2012,Trait PC1
Intercept,Plot_code,3_Unexposed,0.06473944301187612,0.2380517520697948,-0.06906572726689604,0.1885624398218843,-0.3947518076311533,0.6017526284594258,Wind,2012,Trait PC1
Intercept,Plot_code,4_Exposed,0.0738998824234848,0.23834780087443092,-0.05934548891445983,0.2068855774659423,-0.3986755838467174,0.6128185338548463,Wind,2012,Trait PC1
Intercept,Plot_code,4_Unexposed,0.04790316917258288,0.24027662269929154,-0.09417280248567773,0.18989525604623664,-0.4178270286741867,0.5579214387667613,Wind,2012,Trait PC1
Intercept,Plot_code,5_Exposed,-0.061679535089734776,0.24398774702963483,-0.195090047469698,0.07927565213195771,-0.5779313682289953,0.4264790226940685,Wind,2012,Trait PC1
Intercept,Plot_code,5_Unexposed,0.10873959589409027,0.2379348750786627,-0.028866336911991225,0.2462188280334953,-0.3429952360497323,0.632094023761907,Wind,2012,Trait PC1
Intercept,Plot_code,6_Exposed,-0.21688724361502745,0.2708422239553997,-0.38078006308209383,-0.019688730757172108,-0.841049763439137,0.2231369451381992,Wind,2012,Trait PC1
Intercept,Plot_code,6_Unexposed,-0.09420389568505126,0.24774709126206879,-0.23710901342599067,0.05115863556572171,-0.6424785594936735,0.3635580200928749,Wind,2012,Trait PC1
Intercept,Plot_code,7_Exposed,0.20031127520705205,0.25863730996994033,0.012336792229008891,0.36055334070818035,-0.22167023196593802,0.7924990803628336,Wind,2012,Trait PC1
Intercept,Plot_code,7_Unexposed,-0.06207366144214654,0.23641626761688794,-0.19561372234137722,0.07170618023282803,-0.5787804273396052,0.4072595657543122,Wind,2012,Trait PC1
Intercept,Plot_code,8_Exposed,0.053154451500283154,0.23885336297552587,-0.08225913526653358,0.19349576795607165,-0.41923488825484245,0.57173122314296,Wind,2012,Trait PC1
Intercept,Plot_code,8_Unexposed,0.1527279592399127,0.2542608040374082,-0.010916318189867706,0.3031896823821518,-0.28467434427539284,0.7289706850575551,Wind,2012,Trait PC1
Intercept,Plot_code,9_Exposed,-0.34379856558641764,0.30789088068539017,-0.5359160869808144,-0.09509836187647719,-1.0312512762962056,0.09131639225369272,Wind,2012,Trait PC1
Intercept,Plot_code,9_Unexposed,0.19457832414410758,0.26456183242871595,0.006938295040433609,0.35545594500370203,-0.24815720962899482,0.7747631647858437,Wind,2012,Trait PC1
Intercept,Wind.Exposure,Exposed,-0.3840584119330284,0.7321277053097672,-0.7585942334072509,-0.0032276533099176046,-1.9081109975627892,1.125916734406784,Wind,2012,Trait PC1
Intercept,Wind.Exposure,Unexposed,0.41506951971129863,0.7377824305731548,0.03910393193200587,0.7774643103731091,-1.0083759007433735,2.020384015808403,Wind,2012,Trait PC1
Intercept,Block,1,-0.09361808190097645,0.08813244424799391,-0.15194435632628783,-0.018805567874477368,-0.28793380055714146,0.025409248636900496,Wind,2012,log(Trait PC2 + min(Trait PC2) + 1)
Intercept,Block,2,0.03279917338878009,0.06548414979446417,-0.006352216445877527,0.06935016712223764,-0.08035245293083873,0.18174256986296983,Wind,2012,log(Trait PC2 + min(Trait PC2) + 1)
Intercept,Block,3,0.01090720829252928,0.06039914246911287,-0.021638572635522532,0.04227221478093586,-0.10785916692320467,0.14365320186477312,Wind,2012,log(Trait PC2 + min(Trait PC2) + 1)
Intercept,Block,4,0.009265118801545827,0.060483992588941826,-0.023327427527115415,0.040411744768222416,-0.11041188621321507,0.13824331016540561,Wind,2012,log(Trait PC2 + min(Trait PC2) + 1)
Intercept,Block,5,0.03347770649967423,0.06599959375358563,-0.0063145240733892,0.06963259219681082,-0.08406512585182191,0.1855225783121739,Wind,2012,log(Trait PC2 + min(Trait PC2) + 1)
Intercept,Block,6,0.04749048152743979,0.06842168321316805,5.205553813768517e-4,0.08783436808107928,-0.06340100833517022,0.2044925710471289,Wind,2012,log(Trait PC2 + min(Trait PC2) + 1)
Intercept,Block,7,0.01855361009488796,0.06142563709211322,-0.015259757614358965,0.04972692420875828,-0.09652813134354916,0.16193798453129502,Wind,2012,log(Trait PC2 + min(Trait PC2) + 1)
Intercept,Block,8,-0.01181823851329981,0.0595412454357986,-0.042415859930312674,0.019791029750087747,-0.1451621215285377,0.10682117164544397,Wind,2012,log(Trait PC2 + min(Trait PC2) + 1)
Intercept,Block,9,-0.021049473761363013,0.06177989091470911,-0.05546334125124741,0.014274372278005121,-0.16169722806374434,0.09525772508018923,Wind,2012,log(Trait PC2 + min(Trait PC2) + 1)
Intercept,Block,10,-0.02549276393967978,0.06356978778321119,-0.059867698674191304,0.009941010561276796,-0.16607350548236363,0.0903156402900614,Wind,2012,log(Trait PC2 + min(Trait PC2) + 1)
Intercept,Genotype,F,-0.18217836247855326,0.10403784689551969,-0.2484165311436471,-0.11450881734231948,-0.3946809861014391,0.0212259230238681,Wind,2012,log(Trait PC2 + min(Trait PC2) + 1)
Intercept,Genotype,G,0.00235089050620046,0.0979100203216357,-0.05977452893271325,0.06429045259007672,-0.18778046267322804,0.19804628792066659,Wind,2012,log(Trait PC2 + min(Trait PC2) + 1)
Intercept,Genotype,I,-0.046168894409116895,0.09647552107805098,-0.10787878861942876,0.01651368784869177,-0.23610920100899147,0.1407033375627056,Wind,2012,log(Trait PC2 + min(Trait PC2) + 1)
Intercept,Genotype,J,0.09037639883990393,0.10056054083263576,0.02561883992064802,0.15519163996082264,-0.10995421484411216,0.2923032565016179,Wind,2012,log(Trait PC2 + min(Trait PC2) + 1)
Intercept,Genotype,L,0.2148473172602628,0.10496321851763077,0.14677007298237413,0.2848479402823737,0.0077756456851739994,0.43164139272798413,Wind,2012,log(Trait PC2 + min(Trait PC2) + 1)
Intercept,Genotype,S,-0.08695526947894652,0.09589828254568492,-0.14751537547579652,-0.02351795297690829,-0.27436565716340255,0.10387480785304155,Wind,2012,log(Trait PC2 + min(Trait PC2) + 1)
Intercept,Genotype,T,-0.16299547434108932,0.10277445811433733,-0.23128606773130922,-0.09512727758810503,-0.3690941328389542,0.03295242340624524,Wind,2012,log(Trait PC2 + min(Trait PC2) + 1)
Intercept,Genotype,U,-0.08856659468847702,0.09663271731265238,-0.1503075968767851,-0.02705253126460018,-0.28547049811497,0.10009999199247165,Wind,2012,log(Trait PC2 + min(Trait PC2) + 1)
Intercept,Genotype,W,-0.008687561647261354,0.09444730404021287,-0.06894732803383895,0.05139065710822496,-0.19540940820404634,0.17592414838557258,Wind,2012,log(Trait PC2 + min(Trait PC2) + 1)
Intercept,Genotype,X,0.26781216496353505,0.11071501688380117,0.19768758465572944,0.3389677057037801,0.04044178983849662,0.48187260429696643,Wind,2012,log(Trait PC2 + min(Trait PC2) + 1)
Intercept,Genotype:Wind.Exposure,F_Exposed,-0.03132272928306273,0.07232170073761574,-0.05644780941330881,0.006517405688340697,-0.226117001961588,0.07633248438074647,Wind,2012,log(Trait PC2 + min(Trait PC2) + 1)
Intercept,Genotype:Wind.Exposure,F_Unexposed,-0.0012449870198318045,0.06437340050837884,-0.025496135935908694,0.026248697533010804,-0.14744291212016378,0.13298078076219338,Wind,2012,log(Trait PC2 + min(Trait PC2) + 1)
Intercept,Genotype:Wind.Exposure,G_Exposed,0.014290788582685114,0.06328885115517054,-0.015176741886227856,0.04146867510004086,-0.10606660275993815,0.16684885433118413,Wind,2012,log(Trait PC2 + min(Trait PC2) + 1)
Intercept,Genotype:Wind.Exposure,G_Unexposed,-0.013724820916875153,0.06186049271100036,-0.03903947168144671,0.01423745369892134,-0.1688878657452738,0.10304469504184807,Wind,2012,log(Trait PC2 + min(Trait PC2) + 1)
Intercept,Genotype:Wind.Exposure,I_Exposed,0.009391278835505784,0.060912700249791285,-0.018826071931638894,0.03509206213345156,-0.11225028186844596,0.1526119161252254,Wind,2012,log(Trait PC2 + min(Trait PC2) + 1)
Intercept,Genotype:Wind.Exposure,I_Unexposed,-0.01900273914692882,0.06478067737666678,-0.04399979551195982,0.013252179755663555,-0.17629604037346067,0.09646414104333624,Wind,2012,log(Trait PC2 + min(Trait PC2) + 1)
Intercept,Genotype:Wind.Exposure,J_Exposed,0.015179200467647234,0.06129373250209965,-0.01363610095468342,0.038062296299201256,-0.09385648196584927,0.1705594025630141,Wind,2012,log(Trait PC2 + min(Trait PC2) + 1)
Intercept,Genotype:Wind.Exposure,J_Unexposed,0.001075931358635661,0.06269348930496992,-0.026632458622342738,0.027822234810814583,-0.12856098855198017,0.13851386479640546,Wind,2012,log(Trait PC2 + min(Trait PC2) + 1)
Intercept,Genotype:Wind.Exposure,L_Exposed,0.0033927007331302204,0.06121583975865579,-0.024396269856882292,0.026293132354782256,-0.1160671219688106,0.15142576213146647,Wind,2012,log(Trait PC2 + min(Trait PC2) + 1)
Intercept,Genotype:Wind.Exposure,L_Unexposed,0.03448513004341961,0.07468969754870845,-0.005662178655234485,0.06138569401738129,-0.07516368042166237,0.23607171805075572,Wind,2012,log(Trait PC2 + min(Trait PC2) + 1)
Intercept,Genotype:Wind.Exposure,S_Exposed,-0.02460031671236865,0.06398975006092238,-0.050044136124273865,0.008833289287128954,-0.18977643061204671,0.08110033941045236,Wind,2012,log(Trait PC2 + min(Trait PC2) + 1)
Intercept,Genotype:Wind.Exposure,S_Unexposed,0.011949442135495644,0.05950063451558929,-0.01427674370849269,0.03600908587751169,-0.11010112984528155,0.14941415256822443,Wind,2012,log(Trait PC2 + min(Trait PC2) + 1)
Intercept,Genotype:Wind.Exposure,T_Exposed,-0.003372736941839693,0.0612172190765609,-0.028139664565659507,0.024667306491733647,-0.14795389484748098,0.12163168106692426,Wind,2012,log(Trait PC2 + min(Trait PC2) + 1)
Intercept,Genotype:Wind.Exposure,T_Unexposed,-0.027969790754284615,0.06639782523621322,-0.0517600366550588,0.006682773148272215,-0.19984742134969372,0.07502324378503847,Wind,2012,log(Trait PC2 + min(Trait PC2) + 1)
Intercept,Genotype:Wind.Exposure,U_Exposed,0.025832603984113054,0.06478291283322382,-0.006573726043728512,0.053100673419924714,-0.08743681452607958,0.18746154800916837,Wind,2012,log(Trait PC2 + min(Trait PC2) + 1)
Intercept,Genotype:Wind.Exposure,U_Unexposed,-0.041962974956275004,0.07294045354807063,-0.07266385932863108,0.001706763236180482,-0.23102604079471623,0.061862334163961974,Wind,2012,log(Trait PC2 + min(Trait PC2) + 1)
Intercept,Genotype:Wind.Exposure,W_Exposed,-0.01503210474463332,0.060407533054702346,-0.03909693211667881,0.01327262473861745,-0.1546752162120651,0.09857413024953081,Wind,2012,log(Trait PC2 + min(Trait PC2) + 1)
Intercept,Genotype:Wind.Exposure,W_Unexposed,0.010181154725929783,0.0591437042491248,-0.01644314143577145,0.03455465492232943,-0.10917435204046892,0.14839370233459065,Wind,2012,log(Trait PC2 + min(Trait PC2) + 1)
Intercept,Genotype:Wind.Exposure,X_Exposed,0.021249323444779682,0.07106839000520707,-0.01294886569598486,0.04315580697696066,-0.0905679770737723,0.21060786592601902,Wind,2012,log(Trait PC2 + min(Trait PC2) + 1)
Intercept,Genotype:Wind.Exposure,X_Unexposed,0.030476162143534293,0.0743214142565121,-0.008078703236211793,0.055327135756691695,-0.07326231396775651,0.2366980580302136,Wind,2012,log(Trait PC2 + min(Trait PC2) + 1)
Intercept,Plot_code,10_Exposed,-0.0325212236415566,0.07518318132115157,-0.0785638216993589,0.013330829231914889,-0.1931093920499935,0.1056046705636746,Wind,2012,log(Trait PC2 + min(Trait PC2) + 1)
Intercept,Plot_code,10_Unexposed,-0.007367723717764625,0.0716333640683716,-0.04620545237638583,0.03410533229421941,-0.1594204707583596,0.13302580623631374,Wind,2012,log(Trait PC2 + min(Trait PC2) + 1)
Intercept,Plot_code,1_Exposed,-0.045368812839122995,0.08508329982647175,-0.09498084611000024,0.007026182247357515,-0.23903213521903546,0.11002179337424939,Wind,2012,log(Trait PC2 + min(Trait PC2) + 1)
Intercept,Plot_code,1_Unexposed,-0.10135232057419653,0.09792451196619875,-0.16756251207103187,-0.02205762797687002,-0.3154020484032695,0.04556277480125195,Wind,2012,log(Trait PC2 + min(Trait PC2) + 1)
Intercept,Plot_code,2_Exposed,-0.07403404407780347,0.08248674655485078,-0.12502512930449203,-0.012886833116200161,-0.26297446714648165,0.05872168375680635,Wind,2012,log(Trait PC2 + min(Trait PC2) + 1)
Intercept,Plot_code,2_Unexposed,0.12179443579120239,0.09843684263050002,0.042567200986592904,0.18619460347634748,-0.02327915672045274,0.34523635380938583,Wind,2012,log(Trait PC2 + min(Trait PC2) + 1)
Intercept,Plot_code,3_Exposed,0.010178031943607287,0.07201155631385589,-0.03006051988863423,0.051756469767629265,-0.1367754292597666,0.16111053537268447,Wind,2012,log(Trait PC2 + min(Trait PC2) + 1)
Intercept,Plot_code,3_Unexposed,0.004756403554379823,0.06856317041181464,-0.03277517068971429,0.044438523250493106,-0.1392426825858542,0.14470972977461558,Wind,2012,log(Trait PC2 + min(Trait PC2) + 1)
Intercept,Plot_code,4_Exposed,0.014826162284282244,0.07152493742011817,-0.025769293485662547,0.05468689968503196,-0.12759758237596794,0.17617255821440111,Wind,2012,log(Trait PC2 + min(Trait PC2) + 1)
Intercept,Plot_code,4_Unexposed,-0.0029990979724287673,0.0727116637143451,-0.043227206524417354,0.037447475231745304,-0.15370288724703368,0.14888990527156445,Wind,2012,log(Trait PC2 + min(Trait PC2) + 1)
Intercept,Plot_code,5_Exposed,0.032123959914669105,0.07589520644864454,-0.011948369917125768,0.07448922563455451,-0.1121908473068832,0.20094615852084816,Wind,2012,log(Trait PC2 + min(Trait PC2) + 1)
Intercept,Plot_code,5_Unexposed,0.023468012343964652,0.07179017202645067,-0.017884001115776163,0.06538866740544039,-0.1135644011688044,0.1741620138865214,Wind,2012,log(Trait PC2 + min(Trait PC2) + 1)
Intercept,Plot_code,6_Exposed,0.04564395981763773,0.0755067529494503,-0.0038441453481602383,0.0907888638281738,-0.08266052567543884,0.21331447121183597,Wind,2012,log(Trait PC2 + min(Trait PC2) + 1)
Intercept,Plot_code,6_Unexposed,0.024729981950222576,0.07461254105976078,-0.01807658924685538,0.06567987197025221,-0.11556628823731317,0.19151340892980895,Wind,2012,log(Trait PC2 + min(Trait PC2) + 1)
Intercept,Plot_code,7_Exposed,0.0553994751011344,0.07925106691581284,5.35709109817044e-4,0.10174088631830444,-0.07620970207715773,0.23600409203396333,Wind,2012,log(Trait PC2 + min(Trait PC2) + 1)
Intercept,Plot_code,7_Unexposed,-0.027805160888121145,0.07282194541512438,-0.06997156853105785,0.014376659873466873,-0.18873757293489304,0.1085029762598775,Wind,2012,log(Trait PC2 + min(Trait PC2) + 1)
Intercept,Plot_code,8_Exposed,0.015770562690936372,0.07125078814269693,-0.024658901242863036,0.056177354544617766,-0.1259324156119617,0.16776391429023665,Wind,2012,log(Trait PC2 + min(Trait PC2) + 1)
Intercept,Plot_code,8_Unexposed,-0.03825192679232563,0.07421639573731406,-0.08123867619808306,0.006586384109046857,-0.20501424105299149,0.09720103183367257,Wind,2012,log(Trait PC2 + min(Trait PC2) + 1)
Intercept,Plot_code,9_Exposed,-0.007959213362936106,0.07187177605289649,-0.04793550630362956,0.03209320577412193,-0.15874267507890166,0.13555475398407246,Wind,2012,log(Trait PC2 + min(Trait PC2) + 1)
Intercept,Plot_code,9_Unexposed,-0.027014057722676017,0.07214153772341214,-0.0694164556982295,0.01586777255083788,-0.1794810811053043,0.11049442721014115,Wind,2012,log(Trait PC2 + min(Trait PC2) + 1)
Intercept,Wind.Exposure,Exposed,0.002457972502724803,0.39033085439666587,-0.06184382597587232,0.10357797634277571,-0.9559232946155153,0.7782218306514349,Wind,2012,log(Trait PC2 + min(Trait PC2) + 1)
Intercept,Wind.Exposure,Unexposed,-0.04449563100349812,0.39293920988263914,-0.11335181397183759,0.053497393700505755,-1.0481820450870398,0.7421306847770379,Wind,2012,log(Trait PC2 + min(Trait PC2) + 1)
Intercept,Block,1,0.8424092308146589,0.5795697533990586,0.39290565845112435,1.2710803032186284,-0.13776364768433164,1.9837604483994693,Wind,2013,Trait PC1
Intercept,Block,2,0.6891215011298333,0.5255596493183593,0.2820414872931931,1.051137447403133,-0.17687334339738336,1.7928863390344918,Wind,2013,Trait PC1
Intercept,Block,3,0.03562670277951151,0.4222570548081751,-0.21286915990336655,0.2795580547648435,-0.8017074659991057,0.9000992286683582,Wind,2013,Trait PC1
Intercept,Block,4,-0.3521812834202138,0.445324843837062,-0.6214045159260195,-0.037194032485851826,-1.3140579606032579,0.47696916345086765,Wind,2013,Trait PC1
Intercept,Block,5,-0.16157958359047075,0.4164356175244087,-0.40950324778230784,0.08903643272493092,-1.0561922543459148,0.6196520799890075,Wind,2013,Trait PC1
Intercept,Block,6,-0.2800820752616643,0.44275396848962056,-0.5579773965942851,0.01191403986003716,-1.2053442638126186,0.5498038544607666,Wind,2013,Trait PC1
Intercept,Block,7,-0.14428674532845995,0.42019117494575436,-0.40628522572911496,0.10743141164466098,-1.031021106533234,0.6449107715584791,Wind,2013,Trait PC1
Intercept,Block,8,-0.26123310520349075,0.42775456514567484,-0.5330033466569388,0.014544553386438216,-1.1514814234358342,0.553538861124029,Wind,2013,Trait PC1
Intercept,Block,9,0.10590388211561547,0.4225422412783597,-0.1427112348698022,0.34983074070203896,-0.7212067057323783,0.9623596680137534,Wind,2013,Trait PC1
Intercept,Block,10,-0.47079232611358485,0.4713113913365886,-0.7754510998404817,-0.11568535098023032,-1.4501933438516652,0.3422539167326528,Wind,2013,Trait PC1
Intercept,Genotype,F,-0.1197929087095421,0.2942639549127276,-0.2925922057022648,0.05537386996205421,-0.7639692571765567,0.4304834372061649,Wind,2013,Trait PC1
Intercept,Genotype,G,-0.23964068329104093,0.32413932722083705,-0.4321741177308226,-0.010616964794060008,-0.9567964554594587,0.31448546447481907,Wind,2013,Trait PC1
Intercept,Genotype,I,-0.11274756532398668,0.2972041660273671,-0.2936881441575438,0.061213256152533146,-0.7619639592974221,0.4522500566457842,Wind,2013,Trait PC1
Intercept,Genotype,J,-0.2635408116799787,0.3250637407624125,-0.4696033226822648,-0.026113935826125784,-0.9504460703320611,0.27503731422290834,Wind,2013,Trait PC1
Intercept,Genotype,L,0.34491243651872777,0.34759922571974705,0.0715780463064668,0.564016764739841,-0.19998740421522068,1.113092692362853,Wind,2013,Trait PC1
Intercept,Genotype,S,-0.20312446859885477,0.30908009551426874,-0.3928372152888497,0.0037841621175862365,-0.8691218771684182,0.35560105464178543,Wind,2013,Trait PC1
Intercept,Genotype,T,-0.04892828530865842,0.28616077404921697,-0.20752852852490034,0.12017679059249556,-0.6512585549153167,0.5246210214685206,Wind,2013,Trait PC1
Intercept,Genotype,U,0.13638842110986346,0.295928532395684,-0.03806831839817372,0.3025320794066385,-0.4025262234701384,0.8138564571974787,Wind,2013,Trait PC1
Intercept,Genotype,W,0.4696815296919281,0.3909701965866866,0.15311813279426323,0.7279083866521431,-0.140063510886492,1.2872858446327153,Wind,2013,Trait PC1
Intercept,Genotype,X,0.019635334006948255,0.2892770172076089,-0.14241936692073287,0.18143922725108944,-0.5582718691532893,0.6250121837995501,Wind,2013,Trait PC1
Intercept,Genotype:Wind.Exposure,F_Exposed,-0.27663519675800347,0.34367814073183656,-0.4847867692301808,-0.02548364753141011,-1.0466725782908664,0.27228629896392764,Wind,2013,Trait PC1
