term,SD_mean,SD_SD,lower_50,upper_50,lower_95,upper_95,VarComp_mean,Experiment,Year,Response
sd_Genotype__Intercept,0.4022457549510885,0.22251058690839978,0.24890889088309165,0.5314659410515832,0.03176563930620231,0.9068122898959868,0.048216221713354136,Wind,2013,Trait PC1
sd_Genotype:Wind.Exposure__Intercept,0.36499993548183846,0.19457797371122015,0.22181616525039527,0.49058443044773214,0.035350126790706614,0.7832930737172725,0.039700484951970746,Wind,2013,Trait PC1
sd_Plot_code__Intercept,0.6310899089126476,0.23029742654910124,0.4719527753771902,0.7765521978161875,0.21710318372105297,1.1211457208984552,0.11868414574683579,Wind,2013,Trait PC1
sd_Wind.Exposure__Intercept,0.7286735924825058,0.4972362255449086,0.36278198562936076,1.0003685818603805,0.05144066736221339,1.9255994311489917,0.15822543485610038,Wind,2013,Trait PC1
sd_Block__Intercept,0.22092900680659783,0.14714079498924085,0.10904206204882567,0.30714288097720466,0.01060857064064415,0.5509878871946632,0.02472912949296209,Wind,2013,Trait PC2
sd_Genotype__Intercept,0.3071095981736476,0.18027173654434733,0.17606779314278442,0.4132300489363346,0.02113655530432675,0.7161241343755531,0.04778483909103489,Wind,2013,Trait PC2
sd_Genotype:Wind.Exposure__Intercept,0.2597583510422345,0.1572051075830718,0.1357618801108807,0.3649419302039873,0.015297526800169733,0.5921941200041784,0.03418553538089303,Wind,2013,Trait PC2
sd_Plot_code__Intercept,0.15533117637541388,0.1137015143316419,0.06408476797373919,0.22434875392969433,0.005791618946464834,0.42496877896661883,0.01222420462282903,Wind,2013,Trait PC2
sd_Wind.Exposure__Intercept,0.5779164886216046,0.4676782972291697,0.2266014430127575,0.80283096912078,0.036419550348350885,1.7621619351423823,0.1692129198562181,Wind,2013,Trait PC2
sd_Block__Intercept,0.3122779783437817,0.2110569768618566,0.14720249961843843,0.4391615005730299,0.014008169558851279,0.7927413600863163,0.11969131629720532,Wind,2013,log(Soil PC1 + min(Soil PC1) + 1)
sd_Wind.Exposure__Intercept,0.5112213710323678,0.4647205525635303,0.1680589485986679,0.71530843536509,0.016566184343127562,1.7199844941424032,0.3207730889780133,Wind,2013,log(Soil PC1 + min(Soil PC1) + 1)
sd_Block__Intercept,1.0352410540781334,0.46100949219129983,0.7527790175459075,1.339011108364218,0.10146661181576966,1.9231849526749973,0.35276589822916704,Wind,2013,Soil PC2
sd_Wind.Exposure__Intercept,0.635835279321101,0.5020530017541143,0.25678102098631256,0.8976563519561545,0.02280475748875927,1.9017364206842773,0.13307389387749546,Wind,2013,Soil PC2
sd_Block__Intercept,0.19811910984413064,0.12293875722614815,0.10742334201447679,0.27112697090933474,0.013455765729400281,0.4737554496643454,0.0653706382208101,Wind,2013,log(Root C:N)
sd_Genotype__Intercept,0.08844559933143868,0.0705864781601639,0.03439641908606811,0.12538705678334486,0.0032409020750344144,0.26141939726030883,0.013028140916272074,Wind,2013,log(Root C:N)
sd_Genotype:Wind.Exposure__Intercept,0.06832219255789383,0.051349469110784134,0.028316818839793402,0.09557254884505358,0.0025582452633041313,0.19165477385201596,0.0077741618706826466,Wind,2013,log(Root C:N)
sd_Plot_code__Intercept,0.24341323979476903,0.10508030256519667,0.17475209037615103,0.31087907017722055,0.039765225357102606,0.4599685350167987,0.09867755555924712,Wind,2013,log(Root C:N)
sd_Wind.Exposure__Intercept,0.38604766021390446,0.4113477919837136,0.09483257388944515,0.5360091472526357,0.009161426075594826,1.527426160952974,0.24820574997192685,Wind,2013,log(Root C:N)
sd_Ant.mound.dist__Intercept,0.3874063768157093,0.3698247986127829,0.1241475207899825,0.5389018881942251,0.014099397653014547,1.3870013573659563,0.056256075616115835,Ant-Aphid,2012,Trait PC1
sd_Aphid.treatment__Intercept,0.4257279938798584,0.42266799247425535,0.12101753706013343,0.6039190644431848,0.01108081358707269,1.6007895772763017,0.06793605425001288,Ant-Aphid,2012,Trait PC1
sd_Aphid.treatment:Ant.mound.dist__Intercept,0.16784290252102183,0.16415977401792653,0.05556219936240426,0.22648622987037798,0.007862261224332128,0.6011918534306343,0.010559463786501862,Ant-Aphid,2012,Trait PC1
sd_Block__Intercept,0.538674648262835,0.3547531941980177,0.27689914921576775,0.7220156401669123,0.03623949110502947,1.3754159249643119,0.10876495292553949,Ant-Aphid,2012,Trait PC1
sd_Genotype__Intercept,0.48116414781596273,0.19070784009212718,0.35969840096057315,0.5838811655735512,0.13477643560590796,0.914917605824864,0.08678055488570709,Ant-Aphid,2012,Trait PC1
sd_Genotype:Ant.mound.dist__Intercept,0.1112487625035753,0.08289573062837462,0.04491075149681907,0.15996027431789406,0.005406145530359902,0.3040329660573553,0.004639020376897432,Ant-Aphid,2012,Trait PC1
sd_Genotype:Aphid.treatment__Intercept,0.20411626933460364,0.1419186838681903,0.0945281005092313,0.2823726683365031,0.012018402220969143,0.5501006419540935,0.015616767579229949,Ant-Aphid,2012,Trait PC1
sd_Genotype:Aphid.treatment:Ant.mound.dist__Intercept,0.10533795029091095,0.07866543304723711,0.04151660046079495,0.15399096938593093,0.0039793402170487735,0.29005984718969363,0.004159160017875983,Ant-Aphid,2012,Trait PC1
sd_Plot_code__Intercept,0.7672650884525135,0.18882068777256422,0.6342042205025282,0.8772126303913361,0.4590316925755472,1.2042736189955845,0.22066160772853383,Ant-Aphid,2012,Trait PC1
sd_Ant.mound.dist__Intercept,0.262431675409906,0.3055164767660495,0.07022136634285503,0.33532567580586464,0.006250066725599098,1.123917355720758,0.03554119767793574,Ant-Aphid,2012,Trait PC2
sd_Aphid.treatment__Intercept,0.43746159240196986,0.43559046265693335,0.12030883275010171,0.6131859089382863,0.01071496013954478,1.6262751557318402,0.09875962030960397,Ant-Aphid,2012,Trait PC2
sd_Aphid.treatment:Ant.mound.dist__Intercept,0.1972274138071711,0.1718516349200383,0.08158658605718033,0.2614760751860981,0.008911269130850849,0.6331590951942696,0.020074008907168255,Ant-Aphid,2012,Trait PC2
sd_Block__Intercept,0.20278542720523057,0.17015061293849382,0.08560582915208123,0.2719195795362237,0.00932004280043062,0.6247085787206748,0.021221351391101713,Ant-Aphid,2012,Trait PC2
sd_Genotype__Intercept,0.6201286775505078,0.19000354883273382,0.4912129434975719,0.7185179129808054,0.32830323659716787,1.0683673396022748,0.19845552021137544,Ant-Aphid,2012,Trait PC2
sd_Genotype:Ant.mound.dist__Intercept,0.10324850370335925,0.07843217012800237,0.04187937961305402,0.14849466488326832,0.0033382467447640183,0.2828538337270329,0.005501322253730569,Ant-Aphid,2012,Trait PC2
sd_Genotype:Aphid.treatment__Intercept,0.13949431145538074,0.10835311047767722,0.055196381454402886,0.19786423864125136,0.0051884965060963965,0.40065989867374674,0.010041822666353296,Ant-Aphid,2012,Trait PC2
sd_Genotype:Aphid.treatment:Ant.mound.dist__Intercept,0.11638108825666642,0.08393677417535676,0.04918256121146475,0.16845527636491522,0.00581254125609562,0.3094351079820412,0.006989794060167598,Ant-Aphid,2012,Trait PC2
sd_Plot_code__Intercept,0.1727615093118447,0.10792054273801337,0.09038479595749321,0.23752037836380102,0.00925038123868407,0.4084374329917497,0.015402582075977814,Ant-Aphid,2012,Trait PC2
sd_Block__Intercept,0.18627626292835006,0.1439496094299159,0.076570826677936,0.2663225958112447,0.007185356958540376,0.5379219299778123,0.020700220591189446,Wind,2012,Arthropod Richness
sd_Genotype__Intercept,0.36185154711707807,0.1948806040780419,0.2304178525855382,0.46919178806677875,0.029599476280785027,0.7933658032323396,0.0781125486356525,Wind,2012,Arthropod Richness
sd_Genotype:Wind.Exposure__Intercept,0.18374400094071983,0.1413307451168781,0.07206955611361722,0.2642110439113494,0.007684552641805524,0.5297826956872377,0.020141243403027573,Wind,2012,Arthropod Richness
sd_plant_ID__Intercept,0.17283651070133657,0.12550011880752168,0.07054479892976037,0.25536718104171685,0.006501255112782764,0.46250753865710725,0.017820952820882113,Wind,2012,Arthropod Richness
sd_Plot_code__Intercept,0.2190426896754651,0.1473119969823871,0.10042609325940897,0.3143845697904478,0.009003751717925418,0.5406708502212835,0.02862315271515634,Wind,2012,Arthropod Richness
sd_Wind.Exposure__Intercept,0.6783052033419824,0.4730665355392902,0.3291530503642829,0.9206436643090856,0.06637372282252321,1.827877897338216,0.274479704585931,Wind,2012,Arthropod Richness
sd_Block__Intercept,0.22119477051951367,0.16995641246293341,0.09019846519637961,0.31022780111371184,0.009870732922037133,0.6435848619808281,0.0049268349472135434,Wind,2012,Arthropod Composition
sd_Block:Species__Intercept,0.251778432667182,0.1684128268177061,0.11549736149625285,0.36156602116754794,0.011710862044965345,0.621887828062586,0.006383448432873169,Wind,2012,Arthropod Composition
sd_Genotype__Intercept,0.42793078986479505,0.22939111768381462,0.27254695267485507,0.562346105936652,0.03546216692576827,0.9400739568973442,0.018440189240976748,Wind,2012,Arthropod Composition
sd_Genotype:Species__Intercept,0.3309713982595746,0.20713197911298595,0.15968366795439518,0.4797938001807618,0.013618467500831809,0.7687578648120303,0.011030602444985866,Wind,2012,Arthropod Composition
sd_Genotype:Wind.Exposure__Intercept,0.22166826575520207,0.17158608114772822,0.08998420845109269,0.31903398434709584,0.009374657376394115,0.6246129408657451,0.004947950543483556,Wind,2012,Arthropod Composition
sd_Genotype:Wind.Exposure:Species__Intercept,0.44431040015149403,0.22979563335151149,0.2718037874798691,0.6104849297008064,0.03383156824837016,0.892913343809482,0.01987885020269254,Wind,2012,Arthropod Composition
sd_Plot_code__Intercept,0.3228948972717276,0.18369501458251436,0.18665778951626483,0.4417280989832021,0.01902653410075296,0.7247014555704562,0.010498824275052653,Wind,2012,Arthropod Composition
sd_Species__Intercept,2.234277583809048,0.3892023286261663,1.956600720684086,2.475249871107622,1.563796683758105,3.0793137107163457,0.5026811033053565,Wind,2012,Arthropod Composition
sd_Wind.Exposure__Intercept,0.7896034217974633,0.4971533227513982,0.4205987948637184,1.0567658051917705,0.0915787307529984,1.9644018590079224,0.06278217344413162,Wind,2012,Arthropod Composition
sd_Wind.Exposure:Species__Intercept,0.5192378400120183,0.2928694123196565,0.3056020718777625,0.6947364938032008,0.05281980004862753,1.1857527154913314,0.027148820881637652,Wind,2012,Arthropod Composition
sd_Block__Intercept,0.3169806284120497,0.16602655873377536,0.20506025902182418,0.40989110428177117,0.027385185859104384,0.6756123783017388,0.05944203102543321,Wind,2013,Arthropod Richness
sd_Genotype__Intercept,0.19770141104760586,0.13435851107764246,0.09546844995105003,0.2719092176020993,0.010336098226025072,0.5214123144780622,0.023123189265503104,Wind,2013,Arthropod Richness
sd_Genotype:Wind.Exposure__Intercept,0.13037721965284335,0.10187713277511393,0.05088175470165277,0.18830461612885918,0.0045777980560291745,0.37250742090583255,0.010056147308519342,Wind,2013,Arthropod Richness
sd_plant_ID__Intercept,0.1577062160109721,0.11169790732018148,0.06625799318639955,0.22851640925500222,0.007723708396153953,0.4181867285855992,0.014713832873524365,Wind,2013,Arthropod Richness
sd_Plot_code__Intercept,0.24173953944877166,0.15104178212672345,0.1226677650885349,0.3406898642848839,0.014546473064865109,0.5670055244871367,0.03457192615533301,Wind,2013,Arthropod Richness
sd_Wind.Exposure__Intercept,0.8317470350631414,0.47942115212062103,0.47300634101627365,1.0740228531672493,0.19926395553457152,1.99897829865558,0.4092707607570799,Wind,2013,Arthropod Richness
sd_Block__Intercept,0.40508293753522484,0.21845913948300866,0.2613412127618139,0.5294745863509994,0.026814027876942526,0.890291962371066,0.019608089291641546,Wind,2013,Arthropod Composition
sd_Block:Species__Intercept,0.38227188586736427,0.19733525828649812,0.23552705207057664,0.5179479541505687,0.026338106228363894,0.7674170364972679,0.017461923960111304,Wind,2013,Arthropod Composition
sd_Genotype__Intercept,0.217630672620723,0.16012736011619966,0.09528237438228271,0.30512119523699793,0.008750785080188239,0.5974594651838429,0.0056596240472474545,Wind,2013,Arthropod Composition
sd_Genotype:Species__Intercept,0.42540921543001964,0.2064273246801131,0.27192683315470695,0.5693030242710311,0.046125622796090934,0.8227679942588878,0.021625251238383363,Wind,2013,Arthropod Composition
sd_Genotype:Wind.Exposure__Intercept,0.14818527321132485,0.11737814885684938,0.05900963924828178,0.20936707616086989,0.005195365169306301,0.43420824068558256,0.0026239615386731783,Wind,2013,Arthropod Composition
sd_Genotype:Wind.Exposure:Species__Intercept,0.29673634344920136,0.1926313678193178,0.136504790147046,0.4331729029629684,0.014319333922294687,0.6989464473951084,0.01052177125912854,Wind,2013,Arthropod Composition
sd_Plot_code__Intercept,0.32083709630765955,0.18584697930659108,0.18174808680278734,0.44484440869784236,0.01650097082638139,0.704279696997938,0.012300323367182538,Wind,2013,Arthropod Composition
sd_Species__Intercept,1.6245620679676882,0.33367433752227615,1.4022782441564328,1.828626459407121,1.006717133496424,2.34831457219332,0.315369719515486,Wind,2013,Arthropod Composition
sd_Wind.Exposure__Intercept,0.9054508473129567,0.5135279711426467,0.533695547848571,1.1831133800122768,0.14530888853947502,2.0971995185814003,0.0979663964648341,Wind,2013,Arthropod Composition
sd_Wind.Exposure:Species__Intercept,0.9317603192235534,0.302067843927839,0.7141177019383382,1.112195000155526,0.41924590749005025,1.6175205614555406,0.10374228205261725,Wind,2013,Arthropod Composition
sd_Block__Intercept,0.20395246741896364,0.15997325207519839,0.0810307916479466,0.2889667614673081,0.006944635033173196,0.5808468534310699,0.030922803980050817,Wind,2013,scale(Fungi Rarefied Richness)
sd_Genotype__Intercept,0.17089227520115952,0.13054940075753854,0.07057918888379791,0.2389964112155995,0.007955139298462694,0.4782927028817798,0.02171029894503472,Wind,2013,scale(Fungi Rarefied Richness)
sd_Genotype:Wind.Exposure__Intercept,0.15397510116208468,0.11379479529643881,0.06323388754832751,0.22133278525387293,0.006869404572024389,0.4231037828383221,0.01762470822694847,Wind,2013,scale(Fungi Rarefied Richness)
sd_Plot_code__Intercept,0.424238997070442,0.15234184690604852,0.32571524679105135,0.517285378219848,0.1302485773500929,0.7462916288553137,0.1337956872598613,Wind,2013,scale(Fungi Rarefied Richness)
sd_Wind.Exposure__Intercept,0.48949866141117193,0.4698548243539144,0.152086649490699,0.6778785280513672,0.01735036913739787,1.7892710843573962,0.17812462248433544,Wind,2013,scale(Fungi Rarefied Richness)
sd_Block__Intercept,0.27226501215590904,0.15824212425833392,0.15765020535910673,0.36503334329571274,0.019416552661134442,0.6380350800252731,0.05264098854035616,Wind,2013,scale(Bacteria Rarefied Richness)
sd_Genotype__Intercept,0.2103148007246736,0.14604710091540374,0.09810131789473193,0.2948191500275151,0.010364613653827187,0.556288308114612,0.03141087536157085,Wind,2013,scale(Bacteria Rarefied Richness)
sd_Genotype:Wind.Exposure__Intercept,0.1830817705532336,0.12389404736939996,0.08369891363946749,0.25627194732039893,0.010197934115448446,0.4673386063185169,0.023802938434967065,Wind,2013,scale(Bacteria Rarefied Richness)
sd_Plot_code__Intercept,0.14195264930639273,0.10799335158608543,0.05455384719290935,0.20518846294611853,0.005547027496828839,0.3942266432923132,0.014309595928786773,Wind,2013,scale(Bacteria Rarefied Richness)
sd_Wind.Exposure__Intercept,0.5980613505008893,0.46853154938384384,0.2519745089547969,0.8197818157429856,0.033484201296228665,1.791691507473793,0.25399890255978474,Wind,2013,scale(Bacteria Rarefied Richness)
sd_Ant.mound.dist__Intercept,0.21691427459020718,0.26277616012888866,0.054048319820335616,0.2720696044769484,0.004980734655310125,1.0045412093310855,0.05792526952683846,Ant-Aphid,2012,Arthropod Richness
sd_Aphid.treatment__Intercept,0.3986283102749433,0.43606757124940015,0.08707952483124153,0.5715293284678247,0.007563830456069798,1.5664374153406821,0.19562667574426737,Ant-Aphid,2012,Arthropod Richness
sd_Aphid.treatment:Ant.mound.dist__Intercept,0.11194480686729052,0.11356375877045255,0.03540131989077532,0.14818713696836935,0.0029102565965003816,0.41907989825537617,0.015427647257715218,Ant-Aphid,2012,Arthropod Richness
sd_Block__Intercept,0.20105505177662852,0.1485306501126747,0.10178696646170332,0.26186807107086296,0.014809575028236445,0.5713860740462804,0.0497647443377033,Ant-Aphid,2012,Arthropod Richness
sd_Genotype__Intercept,0.2551099276257495,0.11671712848467022,0.18289374331824756,0.3178156570947036,0.040900884380225676,0.5324682479375621,0.08012102870708764,Ant-Aphid,2012,Arthropod Richness
sd_Genotype:Ant.mound.dist__Intercept,0.07408833929706034,0.05715491054169864,0.029503663564919284,0.10722182469600214,0.003055477405324041,0.2112274882742932,0.006757585010898247,Ant-Aphid,2012,Arthropod Richness
sd_Genotype:Aphid.treatment__Intercept,0.10710795173860901,0.0821231033794603,0.042876793543316374,0.15291144647485166,0.004144175394225046,0.30729897562526765,0.014123268840415079,Ant-Aphid,2012,Arthropod Richness
sd_Genotype:Aphid.treatment:Ant.mound.dist__Intercept,0.07709967188784324,0.05800386682456335,0.0312471010882838,0.11191825477544502,0.0032510802911786705,0.21282913907715661,0.007318075020775586,Ant-Aphid,2012,Arthropod Richness
sd_plant_ID__Intercept,0.06518837820192218,0.04850347491749752,0.02590141870246623,0.09415276972167576,0.0021935511814860035,0.17553576924733832,0.0052315713250895264,Ant-Aphid,2012,Arthropod Richness
sd_Plot_code__Intercept,0.1479693551334081,0.08895662225451981,0.08316121542698512,0.2031399655050222,0.007579243866297024,0.3392689366285989,0.026954753207372895,Ant-Aphid,2012,Arthropod Richness
sd_Ant.mound.dist__Intercept,0.2753315464042529,0.302188460907495,0.07516331062344113,0.3563593272453153,0.007680576718279287,1.14323789895721,0.008657939159296824,Ant-Aphid,2012,Arthropod Composition
sd_Ant.mound.dist:Species__Intercept,0.37592785071600643,0.13589512691630865,0.29121592188379564,0.4598279563117095,0.10368833961477612,0.6526240928614061,0.016140299345921785,Ant-Aphid,2012,Arthropod Composition
sd_Aphid.treatment__Intercept,0.7126217294067039,0.5105753807919338,0.3204994486514179,0.9989686788262712,0.046690922396973755,1.9397539728569253,0.05799902638950278,Ant-Aphid,2012,Arthropod Composition
sd_Aphid.treatment:Ant.mound.dist__Intercept,0.1586647012109528,0.16870418552959904,0.04937446788429375,0.2131654431472741,0.004920504481079246,0.5974053087461035,0.0028751679463328785,Ant-Aphid,2012,Arthropod Composition
sd_Aphid.treatment:Ant.mound.dist:Species__Intercept,0.1555408655144446,0.11375998638093242,0.06423342773331331,0.22539929821207189,0.007959338964401765,0.42477866760268274,0.002763068197358896,Ant-Aphid,2012,Arthropod Composition
sd_Aphid.treatment:Species__Intercept,1.1808645869182002,0.3015747480120349,0.9629774977253269,1.3445986782194157,0.7145516326146966,1.9124352942341343,0.15925855797024416,Ant-Aphid,2012,Arthropod Composition
sd_Block__Intercept,0.20295514398075226,0.18153435021867992,0.07179930683419147,0.2763742031261238,0.007954153175516369,0.6785013629787093,0.0047043833905304625,Ant-Aphid,2012,Arthropod Composition
sd_Block:Species__Intercept,0.5722725421231413,0.10374775386901176,0.49894384029048566,0.6351529247422294,0.388574527854356,0.8007669205963887,0.03740316896928515,Ant-Aphid,2012,Arthropod Composition
sd_Genotype__Intercept,0.413687310549699,0.17916606966645932,0.2990349201496467,0.506626069311367,0.08001315965531211,0.8201717264465584,0.019545508820446596,Ant-Aphid,2012,Arthropod Composition
sd_Genotype:Ant.mound.dist__Intercept,0.1277191129096167,0.09256157468135699,0.05245322020975144,0.18468863338939734,0.007416274230717243,0.3393823401247872,0.0018630064929182576,Ant-Aphid,2012,Arthropod Composition
sd_Genotype:Ant.mound.dist:Species__Intercept,0.2543727381653021,0.1384869861714165,0.14596188978099145,0.3549907165658538,0.015119685356063449,0.5198644469640175,0.007389987630815004,Ant-Aphid,2012,Arthropod Composition
sd_Genotype:Aphid.treatment__Intercept,0.1542721032695682,0.12204767842457244,0.06011379337464873,0.2217984799385052,0.005120342788214842,0.45909793155491174,0.002718174805238071,Ant-Aphid,2012,Arthropod Composition
sd_Genotype:Aphid.treatment:Ant.mound.dist__Intercept,0.18161482862230116,0.10708297537142938,0.09923816691502474,0.2549073320729588,0.009795818172723183,0.4058601430919295,0.0037670830260212156,Ant-Aphid,2012,Arthropod Composition
sd_Genotype:Aphid.treatment:Ant.mound.dist:Species__Intercept,0.17998398258161663,0.12260219779575891,0.07974385049695999,0.26342979701460123,0.009265480465669393,0.45103071458313854,0.003699732260051828,Ant-Aphid,2012,Arthropod Composition
sd_Genotype:Aphid.treatment:Species__Intercept,0.23739618410832408,0.13392151660617604,0.1299386159600881,0.3358191797868348,0.011779862791692781,0.5017456749759582,0.006436504086872883,Ant-Aphid,2012,Arthropod Composition
sd_Genotype:Species__Intercept,0.2310896898199361,0.13094521392540753,0.1276092323448058,0.3261645726962762,0.013740705129900105,0.490489120772037,0.006099071447713272,Ant-Aphid,2012,Arthropod Composition
sd_Plot_code__Intercept,0.13526497854821617,0.09215240730232889,0.06317836224996758,0.1880930611218543,0.007881944733796796,0.3624230300486645,0.0020896488756266584,Ant-Aphid,2012,Arthropod Composition
sd_Species__Intercept,1.5681583776570844,0.4144340384747104,1.3091279873206036,1.8382837969338937,0.697038251277468,2.39534629207469,0.28085517254522535,Ant-Aphid,2012,Arthropod Composition
