"","Factors","var","var_percent","response","experiment"
"53","Block:fact.Ant.Mound.Dist.(Intercept)",0.0165743017134074,0.0508726622870368,"all.shoot.count","ant-aphid"
"54","Genotype.(Intercept)",0.0517461586039522,0.158828100081033,"all.shoot.count","ant-aphid"
"55","Block.(Intercept)",0.0347922685047666,0.106790340639878,"all.shoot.count","ant-aphid"
"56","var_Resid",0.22268704198387,0.683508896992052,"all.shoot.count","ant-aphid"
"57","(Intercept)",0,0,"mature.shoot.avg.length","ant-aphid"
"58","scale(moisture.vwc.July9_13)",0.00713347071818162,0.0173756038857974,"mature.shoot.avg.length","ant-aphid"
"59","Block:Ant.Mound.Dist.(Intercept)",0.0981178182531762,0.238993949994153,"mature.shoot.avg.length","ant-aphid"
"60","Genotype.(Intercept)",0.0567785314411798,0.138300318388455,"mature.shoot.avg.length","ant-aphid"
"61","Block.(Intercept)",0.0484668423386291,0.118054827354234,"mature.shoot.avg.length","ant-aphid"
"62","var_Resid",0.200048534127568,0.487275300377361,"mature.shoot.avg.length","ant-aphid"
"63","(Intercept)",0,0,"leaf_WC","ant-aphid"
"64","Block:fact.Ant.Mound.Dist.(Intercept)",0.00708850183313275,0.118509926223171,"leaf_WC","ant-aphid"
"65","Genotype.(Intercept)",0.0026836753450463,0.0448673322847716,"leaf_WC","ant-aphid"
"66","Block.(Intercept)",0.000889664085966888,0.014873950472655,"leaf_WC","ant-aphid"
"67","var_Resid",0.0491517292867639,0.821748791019403,"leaf_WC","ant-aphid"
"68","(Intercept)",0,0,"leaf_trichome.density","ant-aphid"
"69","X.(Intercept)",2.0201132501231,0.728061241664492,"leaf_trichome.density","ant-aphid"
"70","Block:Ant.Mound.Dist.(Intercept)",0,0,"leaf_trichome.density","ant-aphid"
"71","Genotype.(Intercept)",0.59508570605624,0.214472549012633,"leaf_trichome.density","ant-aphid"
"72","Block.(Intercept)",0.043802211503969,0.0157865864665197,"leaf_trichome.density","ant-aphid"
"73","var_Resid",0.115646258273223,0.0416796228563546,"leaf_trichome.density","ant-aphid"
