"","Factors","var","var_percent","response","experiment"
"38","Wind.Exposure1",0.0141535009577685,0.0023834890868159,"Tortricidiae_leaftier","wind"
"39","Year1",0.86998418489785,0.146507766282964,"Tortricidiae_leaftier","wind"
"40","Wind.ExposureExposed:Genotype1",0.320467567112484,0.0539676332499063,"Tortricidiae_leaftier","wind"
"41","Wind.ExposureUnexposed:Genotype1",0.00642917594437581,0.001082691183359,"Tortricidiae_leaftier","wind"
"42","Wind.ExposureExposed:Genotype2",0.0794564767857498,0.0133806925834649,"Tortricidiae_leaftier","wind"
"43","Wind.ExposureUnexposed:Genotype2",0.0206677639675231,0.0034805091696016,"Tortricidiae_leaftier","wind"
"44","Wind.ExposureExposed:Genotype3",0.119021139260194,0.0200434922337261,"Tortricidiae_leaftier","wind"
"45","Wind.ExposureUnexposed:Genotype3",0.0147790604839041,0.00248883505797504,"Tortricidiae_leaftier","wind"
"46","Wind.ExposureExposed:Genotype4",0.110386675562121,0.0185894244340862,"Tortricidiae_leaftier","wind"
"47","Wind.ExposureUnexposed:Genotype4",0.0120054460358123,0.00202175063923035,"Tortricidiae_leaftier","wind"
"48","Wind.ExposureExposed:Genotype5",0.000427604655458559,7.20098181219073e-05,"Tortricidiae_leaftier","wind"
"49","Wind.ExposureUnexposed:Genotype5",9.80479194649745e-05,1.65115434497146e-05,"Tortricidiae_leaftier","wind"
"50","Wind.ExposureExposed:Genotype6",0.201584043209495,0.0339473158266427,"Tortricidiae_leaftier","wind"
"51","Wind.ExposureUnexposed:Genotype6",0.0188533473497091,0.00317495634416278,"Tortricidiae_leaftier","wind"
"52","Wind.ExposureExposed:Genotype7",0.194557717051774,0.0327640628797352,"Tortricidiae_leaftier","wind"
"53","Wind.ExposureUnexposed:Genotype7",0.0065602893693735,0.00110477105028023,"Tortricidiae_leaftier","wind"
"54","Wind.ExposureExposed:Genotype8",0.00241846336496493,0.000407275984539645,"Tortricidiae_leaftier","wind"
"55","Wind.ExposureUnexposed:Genotype8",0.0140687579506628,0.00236921812776322,"Tortricidiae_leaftier","wind"
"56","Wind.ExposureExposed:Genotype9",0.190644971049939,0.0321051455261644,"Tortricidiae_leaftier","wind"
"57","Wind.ExposureUnexposed:Genotype9",0.083349578769691,0.0140363018295639,"Tortricidiae_leaftier","wind"
"58","plant_code.(Intercept)",1.85836013183252,0.312953035917619,"Tortricidiae_leaftier","wind"
"59","Block:Wind.Exposure.(Intercept)",0.069479207070052,0.011700492500493,"Tortricidiae_leaftier","wind"
"60","Genotype.(Intercept)",0,0,"Tortricidiae_leaftier","wind"
"61","Block.(Intercept)",0.0228768366995912,0.00385252318681031,"Tortricidiae_leaftier","wind"
"62","var_Resid",1.70751381879352,0.287550095543525,"Tortricidiae_leaftier","wind"
"63","(Intercept)",0,0,"Spider","wind"
"64","Wind.Exposure1",0.200869124075866,0.063932291559279,"Spider","wind"
"65","Year1",0.176464061652901,0.0561646887804762,"Spider","wind"
"66","plant_code.(Intercept)",0.395938619621532,0.12601868697183,"Spider","wind"
"67","Block:Wind.Exposure.(Intercept)",0.127662032062225,0.0406320597672822,"Spider","wind"
"68","var_Resid",2.24097018599663,0.713252272921132,"Spider","wind"
"69","(Intercept)",0,0,"total.abund","ant-aphid"
"70","scale(Ant.mound.dist)",0.000177224240413897,0.000153663197754008,"total.abund","ant-aphid"
"71","Aphid.treatment1",0.00584575494688136,0.00506859217636496,"total.abund","ant-aphid"
"72","scale(Ant.mound.dist):Aphid.treatment1",0.0735519816950545,0.0637736275918612,"total.abund","ant-aphid"
"73","fact.Ant.mound.dist:Block.(Intercept)",0.113806991407789,0.09867694275705,"total.abund","ant-aphid"
"74","Genotype.(Intercept)",0.323146456787951,0.28018581305213,"total.abund","ant-aphid"
"75","Genotype.Aphid.treatmentnone",0.398594244907915,0.345603209447254,"total.abund","ant-aphid"
"76","Block.(Intercept)",0.0247405019974811,0.021451380703304,"total.abund","ant-aphid"
"77","var_Resid",0.213465962531974,0.185086771074282,"total.abund","ant-aphid"
"78","(Intercept)",0,0,"total.rich","ant-aphid"
"79","fact.Ant.mound.dist:Block.(Intercept)",0.00119421181436271,0.00242042448676624,"total.rich","ant-aphid"
"80","Genotype.(Intercept)",0.0586765088435601,0.118925350674662,"total.rich","ant-aphid"
"81","Block.(Intercept)",0.0203407545392379,0.0412265728524435,"total.rich","ant-aphid"
"82","var_Resid",0.413177936822137,0.837427651986128,"total.rich","ant-aphid"
"83","(Intercept)",0,0,"total.rarerich","ant-aphid"
"84","fact.Ant.mound.dist:Block.(Intercept)",0.00832296620221018,0.0881262559403654,"total.rarerich","ant-aphid"
"85","Block.(Intercept)",0.00771692335355405,0.0817092783996761,"total.rarerich","ant-aphid"
"86","var_Resid",0.0784037710014515,0.830164465659958,"total.rarerich","ant-aphid"
"87","(Intercept)",0,0,"aphid_Aphis","ant-aphid"
"88","fact.Ant.mound.dist:Block.(Intercept)",0.460480784270768,0.348909266207692,"aphid_Aphis","ant-aphid"
"89","Genotype.(Intercept)",0.721725467577679,0.546856051104752,"aphid_Aphis","ant-aphid"
"90","Block.(Intercept)",0.0265330588614199,0.0201042701754519,"aphid_Aphis","ant-aphid"
"91","var_Resid",0.111032987904473,0.0841304125121045,"aphid_Aphis","ant-aphid"
"92","(Intercept)",0,0,"ant_F_obscuripes","ant-aphid"
"93","Aphid.treatment1",2.04390096998769,0.368915236945103,"ant_F_obscuripes","ant-aphid"
"94","Block:fact.Ant.mound.dist.(Intercept)",0.926000980500769,0.167139150158971,"ant_F_obscuripes","ant-aphid"
"95","var_Resid",2.57039773166274,0.463945612895926,"ant_F_obscuripes","ant-aphid"
"96","(Intercept)",0,0,"LTF_Caloptilia","ant-aphid"
"97","scale(Ant.mound.dist)",0.0329797979057552,0.0190539250928694,"LTF_Caloptilia","ant-aphid"
"98","Aphid.treatment1",0.00190621618244211,0.00110130754757382,"LTF_Caloptilia","ant-aphid"
"99","scale(Ant.mound.dist):Aphid.treatment1",0.0156597834312514,0.00904736715859475,"LTF_Caloptilia","ant-aphid"
"100","fact.Ant.mound.dist:Block.(Intercept)",0.234181161336988,0.135297078503246,"LTF_Caloptilia","ant-aphid"
"101","Genotype.(Intercept)",0.216030801990313,0.124810792674919,"LTF_Caloptilia","ant-aphid"
"102","Block.(Intercept)",0,0,"LTF_Caloptilia","ant-aphid"
"103","var_Resid",1.2301085958231,0.710689529022797,"LTF_Caloptilia","ant-aphid"
"104","(Intercept)",0,0,"Aphids_nonAphis","ant-aphid"
"105","fact.Ant.mound.dist:Block.(Intercept)",0.776478046071081,0.135640283486563,"Aphids_nonAphis","ant-aphid"
"106","Genotype.(Intercept)",1.69173838730334,0.295523969544298,"Aphids_nonAphis","ant-aphid"
"107","Genotype.Aphid.treatmentnone",2.54951184817893,0.445365469879215,"Aphids_nonAphis","ant-aphid"
"108","Block.(Intercept)",0.159478857055241,0.0278588138976254,"Aphids_nonAphis","ant-aphid"
"109","var_Resid",0.547331516959763,0.0956114631922984,"Aphids_nonAphis","ant-aphid"
"110","(Intercept)",0,0,"leafhopper","ant-aphid"
"111","Block:fact.Ant.mound.dist.(Intercept)",4.50833671534917e-15,2.56522775854803e-15,"leafhopper","ant-aphid"
"112","Genotype.(Intercept)",0.0999870043080845,0.056892254314526,"leafhopper","ant-aphid"
"113","Block.(Intercept)",0.270627074963147,0.153985855259339,"leafhopper","ant-aphid"
"114","var_Resid",1.3868660120486,0.789121890426132,"leafhopper","ant-aphid"
"115","(Intercept)",0,0,"spiders","ant-aphid"
"116","Block.(Intercept)",0.325198166305344,0.190074352883049,"spiders","ant-aphid"
"117","var_Resid",1.38570160198394,0.809925647116951,"spiders","ant-aphid"
"118","(Intercept)",0,0,"ant_black","ant-aphid"
"119","Aphid.treatment1",0.128176910875654,0.0897823291742568,"ant_black","ant-aphid"
"120","Block:fact.Ant.mound.dist.(Intercept)",0.0959940302426642,0.0672396265687151,"ant_black","ant-aphid"
"121","Genotype.(Intercept)",0.0859828818450907,0.0602272542568622,"ant_black","ant-aphid"
"122","var_Resid",1.11748691719692,0.782750790000166,"ant_black","ant-aphid"
"123","(Intercept)",0,0,"leaftier_Tortricid","ant-aphid"
"124","scale(Ant.mound.dist)",0.299126118127704,0.118679072860543,"leaftier_Tortricid","ant-aphid"
"125","Block:fact.Ant.mound.dist.(Intercept)",0.0358705082050589,0.0142317183248955,"leaftier_Tortricid","ant-aphid"
"126","Genotype.(Intercept)",0.229116015444813,0.0909023807773403,"leaftier_Tortricid","ant-aphid"
"127","var_Resid",1.9563495670838,0.776186828037221,"leaftier_Tortricid","ant-aphid"
