"# Began survey at 10:30 and ended by 14:50.  At beginning, there was 100% cloud cover (not really cold though), and at 13:30 the sun came out.",,,,,,,,,,,,,,,,,,,,,,,,,,
"# based on survey, Calop_pre_tentmines are not visible from the top of the leaf and may be too hard to consistently survey.  Same thing may be true for damage that usually occurs along the midvein of the leaf",,,,,,,,,,,,,,,,,,,,,,,,,,
"# I'm worried that the same Caloptilia pruniella larva could make multiple LTFs, if it is on a plant in poor condition that has small leafs.  Therefore, I think I should only use Calop_tent_mine as representatives of their abundance.",,,,,,,,,,,,,,,,,,,,,,,,,,
"# Need to trim Carex sp. (slough sedge) in plots.  Also, Site 2's Unexposed plants don't appear to have the best wind break",,,,,,,,,,,,,,,,,,,,,,,,,,
Block,Wind Exposure,Genotype,Plant Position,Calop_LTF,Calop_tent_mine,Calop_pre_tentmine,Leaf_bundle,Colladonus_reductus,LH_nymph_black_banded_abdomen,LH_nymph_,gall_shoot_top,spider_Theridion_sp.,spider_black_with_yellow_legs,leaf_bumps,gall_bud,looper_rattlesnake,leaf_edge_roll_and_silk,sawfly_larva,mite_leaf_gall,gall_Pontania_leaf,spider_Tetragnathid,Calop_cocoon,new_leaf_bundler,Dead,miscellaneous_arthropods_present_see_notes,Notes
3,Unexposed,F,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"sawfly had a black head, don't know if it changes as it gets bigger or if a different species"
3,Unexposed,L,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,caterpillar or sawfly herbivory but I couldn't find the culprit
3,Unexposed,I,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,Unexposed,S,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
3,Unexposed,U,6,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"sawfly had light colored head, but it was bigger; leaf hopper molt (I know that there used to be a leaf hopper on this tree as well because I took a picture of it and posted it on facebook a couple of weeks ago)"
3,Unexposed,X,7,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,1,large shoot top gall! Found dead sawfly; found one leaf hopper molt
3,Unexposed,J,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
3,Unexposed,T,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"dead fly, likely from spider"
3,Unexposed,G,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,Exposed,W,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
4,Exposed,F,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,Exposed,L,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1 parasitoid wasp temporarily on plant
4,Exposed,S,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
4,Exposed,I,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1 parasitoid wasp temporarily on plant (I think it was a male based off fuzzy antenna)
4,Exposed,J,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,tetragnathid web attached to dead material at top of plant.  Does that count?  The tetragnathid wasn't on the plant
4,Exposed,X,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,Exposed,U,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,Exposed,T,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,Exposed,G,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
4,Unexposed,F,1,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"all LTFs with exits, all tent mines with exits; one mine dropped from plant during survey"
4,Unexposed,W,2,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,early shoot top galls
4,Unexposed,L,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,temporary leaf hopper that I also have seen on vegetation surrounding willows in plots
4,Unexposed,J,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,Unexposed,I,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,Unexposed,X,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,stem broken off
4,Unexposed,U,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
4,Unexposed,T,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,old web
4,Unexposed,S,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,Unexposed,G,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,Exposed,W,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,possible leaf gall on one leaf
5,Exposed,F,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,Exposed,L,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,Exposed,U,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
5,Exposed,X,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,Exposed,J,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,Exposed,S,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
5,Exposed,T,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,Exposed,I,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,stem broken off
5,Exposed,G,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
5,Unexposed,W,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,Unexposed,F,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,Unexposed,U,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
5,Unexposed,J,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,Unexposed,X,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"juvenile spider, but same shape and patterninig as adult Theridion sp. (although color was different)"
5,Unexposed,L,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,Unexposed,S,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,Unexposed,T,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,black head sawfly
5,Unexposed,I,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,Unexposed,G,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,one leaf hopper molt
6,Exposed,W,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,Exposed,F,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,juvenile spider
6,Exposed,L,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,Exposed,J,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,Exposed,U,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,Exposed,X,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
6,Exposed,T,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,Exposed,S,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
6,Exposed,I,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
6,Exposed,G,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
6,Unexposed,F,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,almost all leaves chewed off
6,Unexposed,W,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,Unexposed,U,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
6,Unexposed,J,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,Unexposed,L,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,Unexposed,T,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,Unexposed,X,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
6,Unexposed,S,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,Unexposed,I,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,Unexposed,G,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,Exposed,W,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,Exposed,F,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,Exposed,U,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"appeared to have some damage near midvein that I have seen before, but because of its small size, I don't know if it has been consistently sampled…"
7,Exposed,L,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,Exposed,J,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,Exposed,S,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
7,Exposed,T,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,tetragnathid on top of dead part of plant with web connecting outside to other vegetation.  Do I count it?
7,Exposed,X,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,Exposed,I,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
7,Exposed,G,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,stem missing completely
7,Unexposed,W,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,Unexposed,F,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,Unexposed,J,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,tetragnathid was actually in the leaves of the plant.
7,Unexposed,S,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
7,Unexposed,L,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"another possible shoot gall (on main part of stem, not at top like most of the others I've seen on these surveys)"
7,Unexposed,U,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,all leaves browned
7,Unexposed,T,7,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,maybe a third shoot top gall
7,Unexposed,X,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
7,Unexposed,I,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,Unexposed,G,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,Exposed,F,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,Exposed,W,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,one vagrant male fly
8,Exposed,J,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,small brown orb weaver had web attached to dead part of plant at top.  Do I include?  Note: it had caught a parasitoid and I took a picture
8,Exposed,S,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,Exposed,T,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,Exposed,U,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
8,Exposed,L,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,Exposed,I,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,Exposed,X,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
8,Exposed,G,10,0,0,0,1*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"old little leaf bundle, nothing inside though"
8,Unexposed,W,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,Unexposed,J,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,one sawfly egg on leaf edge
8,Unexposed,F,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
8,Unexposed,L,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,Unexposed,T,5,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,
8,Unexposed,G,6,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LTF with exit; tent mine with tiny exit that fell from tree (I dissected and inspected with a handlens but saw nothing but frass); leaf bundle was active
8,Unexposed,U,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
8,Unexposed,S,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,alive! Also had a large old stem gall (looks different from new gall_shoot_top)
8,Unexposed,I,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
8,Unexposed,X,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,barely alive
9,Exposed,W,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9,Exposed,J,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
9,Exposed,F,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4 leaves had damage near the midvein (but may have missed with other plants because it is not that noticeable.  Debating about whether to include it or not…)
9,Exposed,L,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
9,Exposed,G,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9,Exposed,T,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9,Exposed,I,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
9,Exposed,X,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,alive!
9,Exposed,S,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
9,Exposed,U,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,alive!
9,Unexposed,J,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"lots of ragged herbivory, possibly from grasshopper"
9,Unexposed,W,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9,Unexposed,F,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"some ragged herbivory, possibly from grasshopper"
9,Unexposed,L,4,0,0,0,1*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,old little leaf bundle
9,Unexposed,G,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9,Unexposed,T,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9,Unexposed,S,7,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,all Caloptilia with exit holes; collected one weird cocoon that appeared to have a sawfly inside (I put it in a collecting vial and decided to see what would emerge)
9,Unexposed,X,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9,Unexposed,I,9,6,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2 mines with exits; 2 LTF with exits; 1 of these LTFs fell and I dissected it (only frass and head molt); one old stem gall with a couple of possible parasitoid exit holes
9,Unexposed,U,10,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2 mines with exits (1 big and 1 small exit); 5 LTFs with exits (2 fell off and I dissected them but nothing but frass in both); both Calop cocoons had exits.
10,Exposed,J,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
10,Exposed,W,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10,Exposed,F,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10,Exposed,G,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10,Exposed,T,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10,Exposed,I,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10,Exposed,L,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10,Exposed,S,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
10,Exposed,U,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10,Exposed,X,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10,Unexposed,J,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10,Unexposed,W,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,no Caloptilia damage with exits…but LTF didn't have regular 1/4 turn (maybe leaf edge roll and silk?)
10,Unexposed,F,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,doesn't appear dead! Two shoots sprouting from below soil
10,Unexposed,G,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,alive! A bit of growth from the bottom
10,Unexposed,T,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10,Unexposed,I,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,black hairy moth larva with a bit of white on back in large leaf bundle.  I never saw any of these from my leaf bundle dissections last year.
10,Unexposed,L,7,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"leaf bundle had one of the big larva from last year (larva 322, which appeared to just be a late instar of the smaller larva also found in leaf bundles)"
